Date,KOKUSAI (WORLD ex JP) IMI MIN VOL (USD)
2001-05-31,1000.0
2001-06-01,1004.81812032379
2001-06-04,1008.256653194009
2001-06-05,1013.1826937256823
2001-06-06,1008.1279257953728
2001-06-07,1007.0214016353513
2001-06-08,1008.2533939080739
2001-06-11,1011.5291236179754
2001-06-12,1005.5924730037009
2001-06-13,1002.2093388497029
2001-06-14,989.6042779527937
2001-06-15,983.8285793817265
2001-06-18,980.6865193824443
2001-06-19,983.7442210330722
2001-06-20,991.2017509174882
2001-06-21,988.2833775876205
2001-06-22,983.5116199035411
2001-06-25,974.7738565514336
2001-06-26,973.8738442496142
2001-06-27,972.4020877685015
2001-06-28,984.9017156174278
2001-06-29,990.9989588794625
2001-07-02,994.8776514296954
2001-07-03,991.6203179059562
2001-07-04,992.0861276822601
2001-07-05,997.3633701132356
2001-07-06,981.8144367001479
2001-07-09,977.4067039816047
2001-07-10,967.1657132697837
2001-07-11,960.583263545428
2001-07-12,973.2510708138067
2001-07-13,976.7067688266851
2001-07-16,969.9254216432229
2001-07-17,974.9085609646306
2001-07-18,958.53417904763
2001-07-19,965.3261186537636
2001-07-20,960.3532594106679
2001-07-23,957.501847286879
2001-07-24,943.1107653711839
2001-07-25,944.3017582628271
2001-07-26,950.0718543381465
2001-07-27,955.3054371641814
2001-07-30,956.0350998898626
2001-07-31,961.9651578936465
2001-08-01,962.3611889209808
2001-08-02,960.174291232594
2001-08-03,954.5668463097073
2001-08-06,956.1987236691126
2001-08-07,960.850177789491
2001-08-08,955.3215482652956
2001-08-09,944.1103864682985
2001-08-10,941.5454688792369
2001-08-13,940.9299936796127
2001-08-14,943.8692035317271
2001-08-15,935.2091699251056
2001-08-16,934.3662616628541
2001-08-17,926.3364977150743
2001-08-20,931.2164194325458
2001-08-21,933.3629772115873
2001-08-22,929.8999759456252
2001-08-23,936.0012981455643
2001-08-24,942.6215978202334
2001-08-27,944.492061841172
2001-08-28,938.844147321126
2001-08-29,934.0653181493067
2001-08-30,926.445189731553
2001-08-31,926.1916742330536
2001-09-03,925.7282570360354
2001-09-04,942.8577505772495
2001-09-05,943.508263643063
2001-09-06,932.6206103220369
2001-09-07,912.9914487404686
2001-09-10,911.2389130033822
2001-09-11,894.7159740562781
2001-09-12,896.3177416708436
2001-09-13,896.9353831371711
2001-09-14,878.6135875477657
2001-09-17,864.9754059679154
2001-09-18,860.1288091899476
2001-09-19,845.0948271869614
2001-09-20,827.2559569423792
2001-09-21,815.5621776967082
2001-09-24,828.841785158768
2001-09-25,828.3662171625098
2001-09-26,834.203919381288
2001-09-27,846.6787670676014
