Date,USA QUALITY
1994-06-30,165.5132057
1994-07-29,169.4370832
1994-08-31,179.86405674
1994-09-30,178.6354505
1994-10-31,184.77006145
1994-11-30,183.04237897
1994-12-30,184.76652277
1995-01-31,190.46415282
1995-02-28,197.61990477
1995-03-31,203.65280828
1995-04-28,210.36197158
1995-05-31,218.89065627
1995-06-30,229.04721097
1995-07-31,236.29055618
1995-08-31,234.78417894
1995-09-29,245.39523462
1995-10-31,250.58138394
1995-11-30,259.21368965
1995-12-29,258.88235047
1996-01-31,269.01071208
1996-02-29,273.37037623
1996-03-29,272.20121992
1996-04-30,280.01933256
1996-05-31,291.24216284
1996-06-28,294.82622627
1996-07-31,285.25460633
1996-08-30,289.83316115
1996-09-30,310.52596078
1996-10-31,314.9099808
1996-11-29,343.41264309
1996-12-31,337.96362325
1997-01-01,337.96607638
1997-01-02,336.77340084
1997-01-03,343.37372211
1997-01-06,343.81217868
1997-01-07,346.81297608
1997-01-08,344.30227105
1997-01-09,346.40388129
1997-01-10,349.56279729
1997-01-13,349.05833707
1997-01-14,353.62847074
1997-01-15,352.22537731
1997-01-16,354.46557963
1997-01-17,357.83626001
1997-01-20,359.14158302
1997-01-21,362.47038158
1997-01-22,364.90660372
1997-01-23,359.35919564
1997-01-24,355.80100517
1997-01-27,353.47678306
1997-01-28,353.96358927
1997-01-29,357.82207537
1997-01-30,364.68686166
1997-01-31,367.11998964
1997-02-03,366.75117448
1997-02-04,368.37990822
1997-02-05,360.7158758
1997-02-06,361.81077371
1997-02-07,366.50772726
1997-02-10,363.04300451
1997-02-11,365.34997839
1997-02-12,372.22313478
1997-02-13,375.85259708
1997-02-14,373.81760919
1997-02-17,373.81760919
1997-02-18,377.75856755
1997-02-19,376.96600607
1997-02-20,371.72462665
1997-02-21,369.75356009
1997-02-24,376.04115883
1997-02-25,376.87030217
1997-02-26,374.82754526
1997-02-27,368.62081522
1997-02-28,367.11386215
1997-03-03,369.60931863
1997-03-04,366.50849877
1997-03-05,372.52885278
1997-03-06,369.24918016
1997-03-07,370.549232
1997-03-10,375.22153001
1997-03-11,374.02968078
1997-03-12,370.70812628
1997-03-13,365.00376325
1997-03-14,365.18742281
1997-03-17,367.00559546
1997-03-18,365.13618902
1997-03-19,362.32193758
1997-03-20,360.06202642
1997-03-21,358.75473052
1997-03-24,360.13058419
1997-03-25,360.6797414
1997-03-26,363.85192184
1997-03-27,356.91825093
1997-03-28,356.91825093
1997-03-31,348.01283056
1997-04-01,350.07284453
1997-04-02,346.28397618
1997-04-03,346.82428908
1997-04-04,351.64019712
1997-04-07,353.79518093
1997-04-08,355.28375773
1997-04-09,351.44913723
1997-04-10,350.16973332
1997-04-11,341.43317398
1997-04-14,345.36284087
1997-04-15,350.08120932
1997-04-16,356.21770405
1997-04-17,354.98049551
1997-04-18,359.00699708
1997-04-21,356.85855919
1997-04-22,364.53794658
1997-04-23,364.77026374
1997-04-24,364.61106773
1997-04-25,359.8809708
1997-04-28,364.39476658
1997-04-29,374.49648242
1997-04-30,378.45519095
1997-05-01,376.69307242
1997-05-02,383.31123175
1997-05-05,391.35928451
1997-05-06,389.81275644
1997-05-07,384.49890277
1997-05-08,386.55454889
1997-05-09,389.23299884
1997-05-12,395.19680158
1997-05-13,393.5970613
1997-05-14,394.54367631
1997-05-15,398.40414715
1997-05-16,392.17494688
1997-05-19,394.18331632
1997-05-20,397.68511656
1997-05-21,397.76617454
1997-05-22,395.67197918
1997-05-23,401.60636701
1997-05-26,401.60636701
1997-05-27,405.11041205
1997-05-28,402.83107221
1997-05-29,400.19542793
1997-05-30,399.90087983
1997-06-02,398.9272153
1997-06-03,396.27637482
1997-06-04,393.19882723
1997-06-05,395.06877732
1997-06-06,403.03056394
1997-06-09,406.2873177
1997-06-10,405.02804047
1997-06-11,407.86287798
1997-06-12,414.52437889
1997-06-13,420.2563792
1997-06-16,420.69736465
1997-06-17,421.77518378
1997-06-18,416.36447396
1997-06-19,421.8836685
1997-06-20,422.31180476
1997-06-23,412.9894041
1997-06-24,424.43811469
1997-06-25,420.02771947
1997-06-26,417.65142294
1997-06-27,419.06363318
1997-06-30,418.21905034
1997-07-01,419.3100216
