Date,CANADA QUALITY
1998-11-30,1000.0
1998-12-01,1015.5994890450651
1998-12-02,1003.0288896698102
1998-12-03,998.4495541850952
1998-12-04,1005.3367367444622
1998-12-07,1002.6773399373269
1998-12-08,999.4737730447393
1998-12-09,1006.7710500997315
1998-12-10,990.3087066859183
1998-12-11,977.0305131100025
1998-12-14,993.1945194951138
1998-12-15,995.1976239480242
1998-12-16,1009.0092416115184
1998-12-17,1008.1213521751191
1998-12-18,1018.5685515438498
1998-12-21,1014.5999617815467
1998-12-22,1009.4827176617908
1998-12-23,1015.2720781984532
1998-12-24,1017.4327460357628
1998-12-25,1017.4327460357628
1998-12-28,1016.6127647768685
1998-12-29,1015.2500106033656
1998-12-30,1005.6442866520636
1998-12-31,1026.2072807316522
1999-01-01,1026.2072807316522
1999-01-04,1040.120994393712
1999-01-05,1052.3963609577277
1999-01-06,1089.0593146442602
1999-01-07,1085.9987138194458
1999-01-08,1089.5372840645862
1999-01-11,1091.855390414707
1999-01-12,1073.542402463125
1999-01-13,1038.5005523151406
1999-01-14,1028.960335045801
1999-01-15,1055.9809977177622
1999-01-18,1061.9941057884719
1999-01-19,1053.569388055449
1999-01-20,1042.188603589192
1999-01-21,1052.2942670698174
1999-01-22,1036.2139410350662
1999-01-25,1039.7533856008013
1999-01-26,1036.1041551099304
1999-01-27,1029.7207718884463
1999-01-28,1024.1758408273238
1999-01-29,1043.359860398176
1999-02-01,1049.4781460821293
1999-02-02,1032.3174121894947
1999-02-03,1039.4738373534055
1999-02-04,1043.7041751067661
1999-02-05,1041.5551214594534
1999-02-08,1040.3966151593593
1999-02-09,1010.7608684923264
1999-02-10,1012.0638411726045
1999-02-11,1030.7896952413826
1999-02-12,1020.3991302331789
1999-02-15,1028.8714511344092
1999-02-16,1006.8926737292771
1999-02-17,1000.054085452668
1999-02-18,1008.5244390279288
1999-02-19,1009.9108840263807
1999-02-22,1012.9828720535173
1999-02-23,1011.0108908917716
1999-02-24,996.6454980556313
1999-02-25,992.1600621656283
1999-02-26,996.9739885756596
1999-03-01,977.8617293164627
1999-03-02,960.4703069937194
1999-03-03,953.8332716284937
1999-03-04,968.9738596135606
1999-03-05,990.2912411811993
1999-03-08,1003.30133914769
1999-03-09,999.3001430548388
1999-03-10,1003.3472302532092
1999-03-11,997.4362073126797
1999-03-12,998.7871465552241
1999-03-15,996.8724671014309
1999-03-16,997.4430741603882
1999-03-17,999.7434195625237
1999-03-18,1002.1342810720827
1999-03-19,1009.6906218448212
1999-03-22,1016.8814396795756
1999-03-23,996.4588322867846
1999-03-24,1001.6167855091853
1999-03-25,1013.040047697071
1999-03-26,1012.6824397614554
1999-03-29,1008.2379198566507
1999-03-30,994.1050216840347
1999-03-31,1000.6674029972132
1999-04-01,1000.8915973303302
1999-04-02,1005.43594056452
1999-04-05,1020.9348406596496
1999-04-06,1007.8208948992761
1999-04-07,1007.6562490037173
1999-04-08,1015.4387084782403
1999-04-09,1002.9539338147177
1999-04-12,1006.091428433474
1999-04-13,1005.2858350050931
1999-04-14,1016.3031949208167
1999-04-15,1029.3136919926806
1999-04-16,1049.978111103066
1999-04-19,1045.481348212442
1999-04-20,1038.1080680786195
1999-04-21,1045.277662778829
1999-04-22,1048.3987722933039
1999-04-23,1056.9866620554662
1999-04-26,1046.3346024317452
1999-04-27,1055.735101398551
1999-04-28,1077.627512278719
1999-04-29,1084.3616458966483
1999-04-30,1081.7841352591802
1999-05-03,1096.3594781763686
1999-05-04,1095.650893353629
1999-05-05,1104.1511023813748
1999-05-06,1103.063991888954
1999-05-07,1086.8460576017414
1999-05-10,1088.0997949636126
1999-05-11,1097.6006970484536
1999-05-12,1089.7030657074072
1999-05-13,1096.1866508694143
1999-05-14,1072.7771761029105
1999-05-17,1073.0949259900128
1999-05-18,1080.7200336109972
1999-05-19,1087.3990339571853
1999-05-20,1074.511706741933
1999-05-21,1086.1047439979543
1999-05-24,1088.7907212449095
1999-05-25,1065.0386048973921
1999-05-26,1064.0051309018722
1999-05-27,1053.7916172318457
1999-05-28,1060.3866890192191
1999-05-31,1058.4911757186028
1999-06-01,1057.8400835957975
1999-06-02,1066.1078384692821
1999-06-03,1076.5662897808302
1999-06-04,1090.7828271448705
1999-06-07,1098.501542505445
1999-06-08,1083.8040385863171
1999-06-09,1084.719477296819
1999-06-10,1090.9068408390197
1999-06-11,1095.6180739690446
1999-06-14,1099.246378728783
1999-06-15,1094.727652333687
1999-06-16,1101.144659383651
1999-06-17,1102.0262794590049
1999-06-18,1103.4817300679968
1999-06-21,1091.6327937485792
1999-06-22,1085.1560968818585
1999-06-23,1086.7293623403718
1999-06-24,1082.720103627967
1999-06-25,1103.3927410411961
1999-06-28,1095.754296986543
1999-06-29,1090.9654538544837
1999-06-30,1098.8306437292915
1999-07-01,1107.0582232548663
1999-07-02,1119.4336687156406
1999-07-05,1139.2866735464006
1999-07-06,1128.1885219789283
1999-07-07,1110.8514326467207
1999-07-08,1106.769256455337
1999-07-09,1108.0549913497478
1999-07-12,1098.695370442296
1999-07-13,1084.3328146585532
1999-07-14,1104.312065596727
1999-07-15,1111.8432829307667
1999-07-16,1106.2812341425813
1999-07-19,1099.1036714211414
1999-07-20,1090.4716845634914
1999-07-21,1077.2346912114306
1999-07-22,1072.7719651551379
1999-07-23,1065.0841224119836
1999-07-26,1052.3320854620204
1999-07-27,1056.4857129834843
1999-07-28,1065.4537979289223
1999-07-29,1061.617468564859
1999-07-30,1074.5807473717193
1999-08-02,1069.16616560415
1999-08-03,1074.7110088350184
1999-08-04,1073.019945465566
1999-08-05,1047.3999781652058
1999-08-06,1044.8772544129915
1999-08-09,1050.1044366570393
1999-08-10,1043.276068698679
1999-08-11,1066.7894413372246
1999-08-12,1073.1374357929892
1999-08-13,1079.0279247805333
1999-08-16,1079.3104400772766
1999-08-17,1085.4321987917708
1999-08-18,1084.6276145223492
1999-08-19,1075.9480001708953
1999-08-20,1074.202190868556
1999-08-23,1079.098604873527
1999-08-24,1074.498849419397
1999-08-25,1076.6026834366626
1999-08-26,1072.7139530684306
1999-08-27,1070.5845677037157
1999-08-30,1067.2815806644
1999-08-31,1060.4639096049898
1999-09-01,1064.3717691957079
1999-09-02,1047.543264978903
1999-09-03,1058.128910975395
1999-09-06,1058.5194037462452
1999-09-07,1061.4376964255616
1999-09-08,1058.8204937829055
1999-09-09,1073.5210754792881
1999-09-10,1077.5351487435212
1999-09-13,1078.4750502510847
1999-09-14,1082.7614116277164
1999-09-15,1074.454143617126
1999-09-16,1066.0209654084808
1999-09-17,1069.467745465828
1999-09-20,1069.1725233322863
1999-09-21,1055.9709663657322
1999-09-22,1054.000723844565
1999-09-23,1041.859613025093
1999-09-24,1032.7343904685674
1999-09-27,1062.5941027083982
1999-09-28,1067.6486632267806
1999-09-29,1062.1673782572911
1999-09-30,1065.8390377736425
1999-10-01,1067.6526470545687
1999-10-04,1074.52798454021
1999-10-05,1064.1057598603866
1999-10-06,1064.9729949925427
1999-10-07,1067.2692073833568
1999-10-08,1072.7100797474366
1999-10-11,1073.3659041287779
1999-10-12,1071.5801475193805
1999-10-13,1058.847810110443
1999-10-14,1051.1295138514474
1999-10-15,1040.740705493241
1999-10-18,1036.0364813887243
1999-10-19,1030.9768756157805
1999-10-20,1038.4460419490717
1999-10-21,1040.7265554957792
1999-10-22,1049.1826046981403
1999-10-25,1047.0941715333247
1999-10-26,1046.930825994576
1999-10-27,1039.6658658039607
1999-10-28,1049.8694910069155
1999-10-29,1073.355709703632
1999-11-01,1070.327405738084
1999-11-02,1065.124169037969
1999-11-03,1059.8203903034691
1999-11-04,1059.9081016835044
1999-11-05,1066.5021885933727
1999-11-08,1062.7774382121252
1999-11-09,1061.9303305802578
1999-11-10,1069.583353917191
1999-11-11,1084.411523856415
1999-11-12,1091.1484012998894
1999-11-15,1095.9412571190223
1999-11-16,1096.1324450232828
1999-11-17,1101.7482004516942
1999-11-18,1104.1715295204785
1999-11-19,1110.9847755044366
1999-11-22,1107.836405738718
1999-11-23,1119.371977760762
1999-11-24,1129.7595104889083
1999-11-25,1134.710566021378
1999-11-26,1140.0410481301174
1999-11-29,1126.0421422792397
1999-11-30,1103.8036339834782
1999-12-01,1118.7434084447364
1999-12-02,1125.083542843388
1999-12-03,1138.7408611752928
1999-12-06,1145.0368393756082
1999-12-07,1158.9393844093952
1999-12-08,1140.2953124389212
1999-12-09,1145.95218828242
1999-12-10,1156.4197720848993
1999-12-13,1168.1414575564443
1999-12-14,1154.1054750768253
1999-12-15,1159.9306904174493
1999-12-16,1163.864566178231
1999-12-17,1168.4971886176613
1999-12-20,1159.7066096418237
1999-12-21,1158.0779837985717
1999-12-22,1163.8521740295153
1999-12-23,1178.136287748746
1999-12-24,1187.5014162344378
1999-12-27,1196.996233817943
1999-12-28,1205.3985196791657
1999-12-29,1207.5897789035037
1999-12-30,1196.7554249588404
1999-12-31,1188.7806730648786
2000-01-03,1194.7077008649387
2000-01-04,1186.845253109179
2000-01-05,1192.8211722145545
2000-01-06,1191.718386071089
2000-01-07,1219.0350042438934
2000-01-10,1243.7779067713498
2000-01-11,1227.73163498817
2000-01-12,1221.9500704338127
2000-01-13,1223.2685174679461
2000-01-14,1210.8930098659864
2000-01-17,1225.5210435245372
2000-01-18,1226.4634038445608
2000-01-19,1206.4116204680101
2000-01-20,1198.9973276638343
2000-01-21,1188.3757577220085
2000-01-24,1180.0799468654648
2000-01-25,1179.6670869122408
2000-01-26,1192.3459406741613
2000-01-27,1207.081422666471
2000-01-28,1181.428314232643
2000-01-31,1175.6757130349997
2000-02-01,1201.2327718794015
2000-02-02,1213.7088584289775
2000-02-03,1218.989251420109
2000-02-04,1233.6152106412947
2000-02-07,1235.807771192824
2000-02-08,1233.4302517026504
2000-02-09,1230.7044452882706
2000-02-10,1218.5864793331107
2000-02-11,1216.541521422291
2000-02-14,1231.7365969074506
