Date,AUSTRALIA QUALITY
1998-11-30,1000.0
1998-12-01,989.1301811669516
1998-12-02,1010.3246275559751
1998-12-03,986.5488072119911
1998-12-04,976.6622849563537
1998-12-07,995.4890057135584
1998-12-08,995.8244303420641
1998-12-09,989.074333046579
1998-12-10,998.8970496929051
1998-12-11,990.445479875935
1998-12-14,978.4517488136631
1998-12-15,991.0710994682711
1998-12-16,992.7861500434607
1998-12-17,1014.2434820755378
1998-12-18,1004.207555811579
1998-12-21,992.0526990642444
1998-12-22,995.5013972350627
1998-12-23,989.5445928953344
1998-12-24,986.7421476626524
1998-12-25,986.7421476626524
1998-12-28,981.3231539008982
1998-12-29,991.241798437176
1998-12-30,994.66532910314
1998-12-31,1004.6784707416385
1999-01-01,1004.6784707416385
1999-01-04,1025.2403112156762
1999-01-05,1029.0488277201393
1999-01-06,1055.7862934676343
1999-01-07,1078.2197440528535
1999-01-08,1070.148914152186
1999-01-11,1068.9483866667417
1999-01-12,1060.3587711811988
1999-01-13,1039.8278265605582
1999-01-14,1039.5966743871675
1999-01-15,1048.1627820892136
1999-01-18,1053.3502021883005
1999-01-19,1068.734395955662
1999-01-20,1078.2571350259896
1999-01-21,1074.676362142062
1999-01-22,1063.1926862167493
1999-01-25,1056.3159993064228
1999-01-26,1053.9751328259651
1999-01-27,1056.3069475797965
1999-01-28,1058.236603219414
1999-01-29,1062.4136919250443
1999-02-01,1090.8134140307104
1999-02-02,1091.6800345817305
1999-02-03,1101.3649421779628
1999-02-04,1108.6698142217335
1999-02-05,1109.0767778035947
1999-02-08,1105.5303051318901
1999-02-09,1091.885793063907
1999-02-10,1073.0112725920571
1999-02-11,1084.346324048522
1999-02-12,1089.2416898935085
1999-02-15,1083.540093156295
1999-02-16,1056.9846313896724
1999-02-17,1062.1811000829503
1999-02-18,1062.696605765619
1999-02-19,1088.7836431052194
1999-02-22,1084.9839876937099
1999-02-23,1074.2529586320143
1999-02-24,1067.5821565628362
1999-02-25,1045.918918569216
1999-02-26,1022.9174801864782
1999-03-01,1034.4257670963618
1999-03-02,1033.5548432248297
1999-03-03,1040.9958644582543
1999-03-04,1043.8456474924706
1999-03-05,1063.168751569308
1999-03-08,1078.1337185623925
