Date,JAPAN QUALITY
1994-06-30,1121.02219163
1994-07-29,1104.0972159
1994-08-31,1102.46527725
1994-09-30,1068.10286571
1994-10-31,1071.70936688
1994-11-30,1032.85978665
1994-12-30,1033.66963227
1995-01-31,992.76169475
1995-02-28,933.2681876
1995-03-31,1032.72422856
1995-04-28,1067.39659148
1995-05-31,1015.31317939
1995-06-30,1000.2192452
1995-07-31,1047.33166779
1995-08-31,1006.37653972
1995-09-29,1022.1850055
1995-10-31,984.62737158
1995-11-30,1008.67260619
1995-12-29,1042.00516353
1996-01-31,1030.24271556
1996-02-29,1020.310041
1996-03-29,1050.06267702
1996-04-30,1118.81832565
1996-05-31,1063.45709985
1996-06-28,1080.25130263
1996-07-31,1058.21394348
1996-08-30,1005.97111147
1996-09-30,1043.05371762
1996-10-31,976.48508729
1996-11-29,1006.87636579
1996-12-31,981.98785301
1997-01-01,981.98785301
1997-01-02,985.1707516
1997-01-03,980.8892417
1997-01-06,995.03861679
1997-01-07,980.99001335
1997-01-08,976.05800265
1997-01-09,958.21456805
1997-01-10,937.87822937
1997-01-13,944.55438142
1997-01-14,941.41145515
1997-01-15,939.24146694
1997-01-16,956.56295734
1997-01-17,951.50836726
1997-01-20,935.25609975
1997-01-21,931.64722711
1997-01-22,939.5679786
1997-01-23,934.01612145
1997-01-24,932.16212745
1997-01-27,914.65695504
1997-01-28,917.5374719
1997-01-29,928.03786567
1997-01-30,917.42662795
1997-01-31,935.96957594
1997-02-03,925.68353501
1997-02-04,923.71344598
1997-02-05,910.56458871
1997-02-06,909.02473707
1997-02-07,903.64427589
1997-02-10,933.05526725
1997-02-11,931.23569939
1997-02-12,945.95290642
1997-02-13,955.17263365
1997-02-14,960.84820314
1997-02-17,958.53299434
1997-02-18,946.57328935
1997-02-19,950.27816024
1997-02-20,958.53701495
1997-02-21,962.3627833
1997-02-24,957.17358251
1997-02-25,964.49614792
1997-02-26,962.67846059
1997-02-27,972.80615168
1997-02-28,971.82975071
1997-03-03,964.00511258
1997-03-04,961.80135043
1997-03-05,956.87814803
1997-03-06,944.11678331
1997-03-07,944.06704172
1997-03-10,946.0017313
1997-03-11,946.92766827
1997-03-12,937.66022299
1997-03-13,922.89895419
1997-03-14,923.71075532
1997-03-17,923.50075188
1997-03-18,935.32896101
1997-03-19,935.60551351
1997-03-20,930.37569722
1997-03-21,942.92412132
1997-03-24,929.84349432
1997-03-25,934.00831478
1997-03-26,951.52310263
1997-03-27,954.69432511
1997-03-28,956.3085598
1997-03-31,955.1111437
1997-04-01,959.27506997
1997-04-02,979.22077543
