Date,CANADA IMI MOMENTUM
1998-11-30,1000.0
1998-12-01,1012.0766716479428
1998-12-02,1006.6646410331603
1998-12-03,1000.3607133871038
1998-12-04,1010.9187184846168
1998-12-07,1011.5491735489014
1998-12-08,1002.6198661467257
1998-12-09,1006.6070426544694
1998-12-10,1005.0597643068189
1998-12-11,996.2141528053429
1998-12-14,999.0235097144999
1998-12-15,998.6097741187064
1998-12-16,1008.0917258491777
1998-12-17,1008.3531080650655
1998-12-18,1021.8077937020136
1998-12-21,1023.0475850176416
1998-12-22,1022.6896622911977
1998-12-23,1024.7480017604018
1998-12-24,1030.8069445290687
1998-12-25,1030.8069445290687
1998-12-28,1030.4710213358053
1998-12-29,1036.544540739741
1998-12-30,1032.740108217869
1998-12-31,1051.525379989869
1999-01-01,1051.525379989869
1999-01-04,1057.0564513832903
1999-01-05,1065.0359392381304
1999-01-06,1090.6776338902237
1999-01-07,1100.4158394730318
1999-01-08,1107.7650445461743
1999-01-11,1113.431142661298
1999-01-12,1100.787824580516
1999-01-13,1080.1330836809652
1999-01-14,1079.3269099070617
1999-01-15,1103.8031611509457
1999-01-18,1116.1836872523174
1999-01-19,1122.9668546957912
1999-01-20,1117.8137450737183
1999-01-21,1120.053082580585
1999-01-22,1111.7896130930815
1999-01-25,1117.1082640581767
1999-01-26,1114.4622043481327
1999-01-27,1106.1313533519149
1999-01-28,1103.340037835838
1999-01-29,1116.5400475201534
1999-02-01,1127.4987352467938
1999-02-02,1120.2921245452835
1999-02-03,1121.1503092237065
1999-02-04,1132.1400098257172
1999-02-05,1130.9350618728545
1999-02-08,1123.4587319845725
1999-02-09,1096.36602939184
1999-02-10,1090.1696233928083
1999-02-11,1095.910857308464
1999-02-12,1086.6440389412353
1999-02-15,1092.1303785530224
1999-02-16,1075.425841998001
1999-02-17,1066.6431959231277
1999-02-18,1077.5243084084939
1999-02-19,1086.6636561289508
1999-02-22,1099.8772098522013
1999-02-23,1095.5533561859675
1999-02-24,1085.2763116920946
1999-02-25,1077.9276575847816
1999-02-26,1079.8559377556198
1999-03-01,1071.789725792366
1999-03-02,1063.7160888926417
1999-03-03,1051.60576807056
1999-03-04,1064.5374443526123
1999-03-05,1085.1123739649975
1999-03-08,1104.0247940736047
1999-03-09,1102.134296171388
1999-03-10,1099.304388881278
1999-03-11,1099.6920987128487
1999-03-12,1101.1646955441024
1999-03-15,1098.864415052569
1999-03-16,1101.6682247186686
1999-03-17,1106.5786698871589
1999-03-18,1101.549728621677
1999-03-19,1102.66271889864
1999-03-22,1103.1219440296356
1999-03-23,1083.4628316177668
1999-03-24,1095.608515863486
1999-03-25,1103.151767032175
1999-03-26,1107.8529060897556
1999-03-29,1107.564737799703
1999-03-30,1097.969957779412
1999-03-31,1104.7191410522316
1999-04-01,1115.6581565392394
1999-04-02,1120.7235738220509
1999-04-05,1132.183932768666
1999-04-06,1117.1869043719169
1999-04-07,1117.7107553939295
1999-04-08,1117.3394224751762
1999-04-09,1107.6819391308718
1999-04-12,1107.699852212805
1999-04-13,1107.4441989908978
1999-04-14,1119.1317070344385
1999-04-15,1120.6390133082425
1999-04-16,1136.1387518149327
1999-04-19,1122.8086078647927
1999-04-20,1117.646924580102
1999-04-21,1121.2481995510386
1999-04-22,1130.0884475021664
1999-04-23,1143.7478828671028
1999-04-26,1143.5019513606521
1999-04-27,1160.3896454926735
1999-04-28,1169.9862353462706
1999-04-29,1182.0513636776511
1999-04-30,1183.23217127864
1999-05-03,1191.284811326708
1999-05-04,1186.2314822241126
1999-05-05,1186.2322774462896
1999-05-06,1186.7323224988809
1999-05-07,1175.017777590058
1999-05-10,1168.976339911479
1999-05-11,1177.9340466970036
1999-05-12,1185.1740563966964
1999-05-13,1199.391423250506
1999-05-14,1172.5096063817114
1999-05-17,1167.4430632013477
1999-05-18,1179.9261511126297
1999-05-19,1187.7586768070742
1999-05-20,1178.818228800634
1999-05-21,1184.9512315568954
1999-05-24,1187.1898450576778
1999-05-25,1160.278205209541
1999-05-26,1150.3909885410976
1999-05-27,1148.1839272051006
1999-05-28,1159.0268167391293
1999-05-31,1160.0844937660777
1999-06-01,1149.2705126635028
1999-06-02,1156.27515901242
1999-06-03,1164.0378045371926
1999-06-04,1179.9332600846155
1999-06-07,1192.1283957852777
1999-06-08,1179.8694222743445
1999-06-09,1183.0252848493474
1999-06-10,1183.1638713703012
1999-06-11,1178.315959353379
1999-06-14,1175.1598128067671
1999-06-15,1164.295822212264
1999-06-16,1179.3036011845893
1999-06-17,1177.3789338571726
1999-06-18,1182.8627694871077
1999-06-21,1178.9506316370416
1999-06-22,1175.179485553569
1999-06-23,1170.0991598068242
1999-06-24,1166.1363432511619
1999-06-25,1178.0104629258883
1999-06-28,1177.5914362561791
1999-06-29,1181.8401155293438
1999-06-30,1182.381841512294
1999-07-01,1192.0161679926634
1999-07-02,1212.4988894763778
1999-07-05,1224.7731199776995
1999-07-06,1220.3838687216962
1999-07-07,1212.0441574217405
1999-07-08,1209.4188532267833
1999-07-09,1219.4480708609062
1999-07-12,1215.0988931016257
1999-07-13,1202.6989686649945
1999-07-14,1222.2273832849094
1999-07-15,1233.8823526822719
1999-07-16,1233.5992268924972
1999-07-19,1221.9324896198614
1999-07-20,1201.0528987639348
1999-07-21,1189.4490621948366
1999-07-22,1179.4911321165182
1999-07-23,1171.3430503477575
1999-07-26,1152.6264670029493
1999-07-27,1157.8968596629422
1999-07-28,1171.5621721463356
1999-07-29,1159.4901772569604
1999-07-30,1175.9110162713464
1999-08-02,1170.1143187409016
1999-08-03,1170.0806023976088
1999-08-04,1155.1934787857158
1999-08-05,1141.3838049183828
1999-08-06,1133.8451309140503
1999-08-09,1128.8592821306283
1999-08-10,1118.8681284856223
1999-08-11,1138.6400286385715
1999-08-12,1147.9921376000914
1999-08-13,1167.8306352565342
1999-08-16,1169.3625927737635
1999-08-17,1175.1559708737552
1999-08-18,1171.2496883407573
1999-08-19,1178.5549638028876
1999-08-20,1177.2437278253237
1999-08-23,1182.5767000289693
1999-08-24,1181.3118444867655
1999-08-25,1190.7430678729968
1999-08-26,1181.3200468839152
1999-08-27,1179.6634391840182
1999-08-30,1173.1938720281523
1999-08-31,1161.913042624523
1999-09-01,1164.3393499040926
1999-09-02,1148.8457762768476
1999-09-03,1165.770104554899
1999-09-06,1166.2003213210983
1999-09-07,1175.652309259163
1999-09-08,1177.7189981123352
1999-09-09,1192.9369423145508
1999-09-10,1201.6314792393323
1999-09-13,1197.184354840315
1999-09-14,1198.1961552431321
1999-09-15,1185.5870248961771
1999-09-16,1176.2339939609415
1999-09-17,1183.7979144466672
1999-09-20,1182.7578226965577
1999-09-21,1160.5438210807965
1999-09-22,1154.5603709705085
1999-09-23,1144.620894566076
