Date,AUSTRALIA IMI MOMENTUM
1995-05-31,1000.0
1995-06-30,990.0183523726113
1995-07-31,1079.833883826923
1995-08-31,1109.0945524656283
1995-09-29,1121.9265103977089
1995-10-31,1105.4807055339807
1995-11-30,1130.1504229150544
1995-12-29,1160.5864461417789
1996-01-31,1218.9912971012993
1996-02-29,1247.0297645942624
1996-03-29,1245.0133310566137
1996-04-30,1303.666845857217
1996-05-31,1310.9895545805425
1996-06-28,1283.3395789123133
1996-07-31,1232.3583552099103
1996-08-30,1335.3911364381213
1996-09-30,1376.0552446540948
1996-10-31,1403.9404319427251
1996-11-29,1435.6529935957763
1996-12-31,1427.27521401681
1997-01-01,1427.2752140168102
1997-01-02,1413.3172982021833
1997-01-03,1412.4937246195748
1997-01-06,1413.0324815073388
1997-01-07,1409.6339567601203
1997-01-08,1397.512646310236
1997-01-09,1395.8203883438703
1997-01-10,1393.5420716000556
1997-01-13,1385.6016682859695
1997-01-14,1387.1687332572615
1997-01-15,1388.876418226236
1997-01-16,1386.71288711406
1997-01-17,1388.9447828841214
1997-01-20,1392.623072693263
1997-01-21,1383.7467252633032
1997-01-22,1385.8450755125386
1997-01-23,1379.8159939805669
1997-01-24,1377.1994472299857
1997-01-27,1374.7037133278145
1997-01-28,1360.7545950581648
1997-01-29,1368.7293137759646
1997-01-30,1368.200342433771
1997-01-31,1369.4918222715926
1997-02-03,1383.7392124257206
1997-02-04,1370.2223126435379
1997-02-05,1378.1775215800465
1997-02-06,1387.5259730234293
1997-02-07,1392.4124349522256
1997-02-10,1384.637365772272
1997-02-11,1391.4761032908677
1997-02-12,1392.4605558011015
1997-02-13,1426.6327159227721
1997-02-14,1413.9625725965952
1997-02-17,1425.2324037677943
1997-02-18,1426.12810523639
1997-02-19,1418.0561084990259
1997-02-20,1414.1783789974415
1997-02-21,1419.8901281291562
1997-02-24,1421.6782316400881
1997-02-25,1425.0974638960715
1997-02-26,1417.3328498176627
1997-02-27,1414.024484482074
1997-02-28,1407.714330373156
1997-03-03,1405.3357832644535
1997-03-04,1411.6761901313014
1997-03-05,1407.5501944200084
1997-03-06,1421.1596889188281
1997-03-07,1417.6075400151021
1997-03-10,1425.43050364779
1997-03-11,1435.5087430382725
1997-03-12,1432.782512329035
1997-03-13,1430.037636484024
1997-03-14,1422.090357866064
1997-03-17,1423.1189636128352
1997-03-18,1401.1158513312546
1997-03-19,1387.1566139149074
1997-03-20,1392.8448778838576
1997-03-21,1392.2519576659045
1997-03-24,1408.3355662552838
1997-03-25,1399.7125956834889
1997-03-26,1401.042098982727
1997-03-27,1409.715385472678
1997-03-28,1413.8613421079165
1997-03-31,1412.9600471872118
1997-04-01,1378.236558591475
1997-04-02,1371.2247458897525
1997-04-03,1367.319979433245
1997-04-04,1364.3000002246765
1997-04-07,1363.9092770986251
1997-04-08,1374.5725554346623
1997-04-09,1388.3773191373436
1997-04-10,1388.771143949107
1997-04-11,1394.4351636064546
1997-04-14,1372.770532020032
1997-04-15,1380.2221767737701
1997-04-16,1388.5717216085488
1997-04-17,1397.6682000212695
1997-04-18,1414.7446725913728
1997-04-21,1423.494834217613
1997-04-22,1429.7208413413296
1997-04-23,1440.5714047599392
1997-04-24,1441.7414508171662
1997-04-25,1443.2284528936877
1997-04-28,1445.6387848832785
1997-04-29,1456.7171995104836
1997-04-30,1468.3150355517166
1997-05-01,1475.6159533644486
1997-05-02,1478.8368698240547
1997-05-05,1474.4242888765987
1997-05-06,1480.493217249301
1997-05-07,1475.6801385871318
1997-05-08,1475.58008121607
1997-05-09,1487.1142080671543
1997-05-12,1485.7490621128115
1997-05-13,1491.3994084817712
1997-05-14,1491.366341409618
1997-05-15,1481.0126950371432
1997-05-16,1478.348937679294
1997-05-19,1465.268500658344
1997-05-20,1460.3472920186084
1997-05-21,1495.167057846957
1997-05-22,1496.0261934581235
1997-05-23,1478.6472032058816
1997-05-26,1493.6666558513923
1997-05-27,1489.5325637224623
1997-05-28,1493.3576415996404
1997-05-29,1498.2262066822389
1997-05-30,1504.973193561268
1997-06-02,1508.607734078498
1997-06-03,1507.0370021068334
1997-06-04,1510.1420857900575
1997-06-05,1512.2337662414163
1997-06-06,1510.93794674996
1997-06-09,1514.3196787089835
1997-06-10,1532.266747507168
1997-06-11,1513.6780475128553
1997-06-12,1510.1911018561477
1997-06-13,1521.8694088904283
1997-06-16,1530.2289768145158
1997-06-17,1536.4076752935207
1997-06-18,1529.9706624533808
1997-06-19,1533.0008193293584
1997-06-20,1553.4403270056803
1997-06-23,1553.2339656951776
1997-06-24,1538.2465512722883
1997-06-25,1551.222312157838
1997-06-26,1555.6871311019338
1997-06-27,1550.707917979744
1997-06-30,1574.9046483938887
1997-07-01,1574.3785781553568
1997-07-02,1584.8517640139423
1997-07-03,1596.1395946067796
1997-07-04,1578.7561655896925
1997-07-07,1559.4932103761287
1997-07-08,1551.9509258754968
1997-07-09,1554.4040312521263
1997-07-10,1555.6961367011152
1997-07-11,1557.4532666711857
1997-07-14,1529.9680397071158
1997-07-15,1507.4787879430316
1997-07-16,1514.6551719980062
1997-07-17,1529.2310966809298
1997-07-18,1544.1453717981244
1997-07-21,1530.7609483276412
1997-07-22,1532.1472157337462
1997-07-23,1550.4371864512873
1997-07-24,1546.8899200497046
1997-07-25,1557.2830241674988
1997-07-28,1575.0659732981521
1997-07-29,1597.0272104933795
1997-07-30,1604.9782941365256
1997-07-31,1603.9751667995686
1997-08-01,1590.4234546168657
1997-08-04,1578.5871026432435
1997-08-05,1586.2519539951245
1997-08-06,1590.0459223432529
1997-08-07,1595.768298573353
1997-08-08,1582.8745384984682
1997-08-11,1565.4912907547173
1997-08-12,1552.6746774214457
