Date,KOREA VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,103.30816933145934
2001-01-03,104.03439403872451
2001-01-04,111.25879068086178
2001-01-05,117.89181941164678
2001-01-08,119.0196610182771
2001-01-09,120.60429284815852
2001-01-10,111.55304724482592
2001-01-11,112.45359039778786
2001-01-12,116.54756457697414
2001-01-15,117.87393817122019
2001-01-16,119.17144285330733
2001-01-17,117.6263855399373
2001-01-18,119.18742965102795
2001-01-19,123.0969758421018
2001-01-22,125.41714840959482
2001-01-23,125.41714840959482
2001-01-24,125.28931220688783
2001-01-25,125.18134648544041
2001-01-26,120.12024217647719
2001-01-29,122.80086522971463
2001-01-30,120.74862677288537
2001-01-31,127.83530467150482
2001-02-01,126.88356189720372
2001-02-02,126.50938988847554
2001-02-05,118.9719947704763
2001-02-06,121.61547624151726
2001-02-07,119.24273794282759
2001-02-08,122.14066770999894
2001-02-09,124.77160465475265
2001-02-12,126.530986378415
2001-02-13,128.2732235406403
2001-02-14,130.9485756700464
2001-02-15,129.61698954568485
2001-02-16,129.58254941583283
2001-02-19,127.83609201434756
2001-02-20,133.48661187217044
2001-02-21,130.2530024185306
2001-02-22,128.3985384140155
2001-02-23,128.033084313005
2001-02-26,128.9527826018898
2001-02-27,127.19437409586541
2001-02-28,126.80897937665584
2001-03-01,126.11509994945602
2001-03-02,122.52306787410473
2001-03-05,121.34421204189393
2001-03-06,122.33253974751563
2001-03-07,119.66278157817428
2001-03-08,122.67402432176866
2001-03-09,120.47010925509518
2001-03-12,114.54152088469368
2001-03-13,109.92107699929713
2001-03-14,111.97404527839382
2001-03-15,111.08226165324949
2001-03-16,109.8702818530498
2001-03-19,109.5056801229167
2001-03-20,107.88293815228131
2001-03-21,107.19665072068726
2001-03-22,103.49693104117213
2001-03-23,105.7836668546852
2001-03-26,107.48216118128099
2001-03-27,105.31597666303271
2001-03-28,105.8804687386687
2001-03-29,103.10578233479094
2001-03-30,102.13533393652818
2001-04-02,100.23819397848034
2001-04-03,100.15024237183569
2001-04-04,96.23205687391565
2001-04-05,96.23205687391565
2001-04-06,100.64788605360474
2001-04-09,99.40513296389358
2001-04-10,98.50550498668534
2001-04-11,102.66237633470125
2001-04-12,102.88674127383273
2001-04-13,102.80437313024979
2001-04-16,100.94283857263208
2001-04-17,102.11850513172365
2001-04-18,107.45818433061353
2001-04-19,111.14932682417152
2001-04-20,109.27830625082593
2001-04-23,110.11334783878227
2001-04-24,110.36682107647569
2001-04-25,113.02834194824926
2001-04-26,111.6791448136884
2001-04-27,111.04539899732178
2001-04-30,115.11347852539026
2001-05-01,115.11347852539026
2001-05-02,118.28114634932635
2001-05-03,119.24383994486956
2001-05-04,120.79905873710103
2001-05-07,122.73759867855728
2001-05-08,120.4510896433259
