Date,SOUTH AFRICA VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.93255140409522
2001-01-03,99.65239153083687
2001-01-04,103.16602518682859
2001-01-05,102.92057175372004
2001-01-08,103.13204511913781
2001-01-09,102.40053679475093
2001-01-10,100.15038466845148
2001-01-11,101.8738198381542
2001-01-12,102.50025651727934
2001-01-15,103.01521078638528
2001-01-16,102.22251325752363
2001-01-17,103.07954617334661
2001-01-18,103.6852412527268
2001-01-19,103.99868362323093
2001-01-22,102.83059512634775
2001-01-23,103.25013541444658
2001-01-24,103.59539704106737
2001-01-25,104.536586525095
2001-01-26,104.99947065605168
2001-01-29,106.2459344821717
2001-01-30,108.17510018626854
2001-01-31,109.11565763953791
2001-02-01,114.8793669028747
2001-02-02,114.30624937058462
2001-02-05,114.18606281439722
2001-02-06,114.39905503388476
2001-02-07,113.24895340203395
2001-02-08,111.92734022402358
2001-02-09,113.86197200522098
2001-02-12,115.8554786685537
2001-02-13,116.23487617543934
2001-02-14,115.42006648790309
2001-02-15,116.92160915793114
2001-02-16,117.86444634531888
2001-02-19,119.72557834651587
2001-02-20,119.25504563451875
2001-02-21,118.07234750746493
2001-02-22,117.16236903223206
2001-02-23,116.19603252441458
2001-02-26,117.66256189586048
2001-02-27,119.20806382529848
2001-02-28,117.90267475627165
2001-03-01,116.91105930416829
2001-03-02,115.84947823316527
2001-03-05,116.60914270072475
2001-03-06,117.45524751898272
2001-03-07,118.11781231327427
2001-03-08,119.6407224113706
2001-03-09,118.99977631701542
2001-03-12,116.89511030139384
2001-03-13,115.28288928007262
2001-03-14,111.02525543523092
2001-03-15,111.12882643937297
2001-03-16,108.10909364577722
2001-03-19,107.04625607720074
2001-03-20,107.61628937212897
2001-03-21,107.49706896292795
2001-03-22,103.78583795639058
2001-03-23,106.75957275514159
2001-03-26,109.14107604708009
2001-03-27,108.61967909750578
2001-03-28,106.16235235007734
2001-03-29,105.96530760314816
2001-03-30,102.837641208272
2001-04-02,100.90633551809547
2001-04-03,98.43765119369179
2001-04-04,100.23030128881098
2001-04-05,102.80332863431006
2001-04-06,100.60830347448525
2001-04-09,101.95993073545044
2001-04-10,103.391388585302
2001-04-11,106.68708613751583
2001-04-12,106.91104985841055
2001-04-13,106.91104985841055
2001-04-16,106.67139868811772
2001-04-17,105.26809060717048
2001-04-18,107.12331915218415
2001-04-19,108.16607324884703
2001-04-20,106.9795861597881
2001-04-23,105.88747077716694
2001-04-24,107.22401848564809
2001-04-25,107.21292511022284
2001-04-26,108.31516616649515
2001-04-27,109.02798925941163
2001-04-30,111.93363194414594
2001-05-01,112.04546771978636
2001-05-02,112.6352582919447
2001-05-03,111.05586359122857
2001-05-04,111.01841501472956
2001-05-07,111.98997879815046
