Date,MEXICO VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,97.2593815162866
2001-01-03,98.44765421562495
2001-01-04,101.98332924991709
2001-01-05,99.76236611411785
2001-01-08,101.0078944439083
2001-01-09,100.25562153373342
2001-01-10,97.7507240503112
2001-01-11,99.34803665334275
2001-01-12,98.95871454801384
2001-01-15,98.95595080275905
2001-01-16,98.14876733697473
2001-01-17,99.24392866599459
2001-01-18,101.60000136535386
2001-01-19,104.13380040515044
2001-01-22,103.59896224256984
2001-01-23,106.65842238088536
2001-01-24,107.86973952662761
2001-01-25,108.36290989280609
2001-01-26,109.66059438847104
2001-01-29,108.97197291534846
2001-01-30,109.93117554481726
2001-01-31,111.55560953883182
2001-02-01,110.98294208714016
2001-02-02,109.6956037383674
2001-02-05,109.43756243067295
2001-02-06,109.02167388713791
2001-02-07,107.85888624306173
2001-02-08,108.19632822853114
2001-02-09,106.88764986223877
2001-02-12,107.6578327619274
2001-02-13,107.4276529425694
2001-02-14,108.3142190787659
2001-02-15,109.72656853674621
2001-02-16,108.68616673775348
2001-02-19,108.95612017676483
2001-02-20,107.94396455837366
2001-02-21,104.99837006066525
2001-02-22,105.9018859623546
2001-02-23,104.59614686976417
2001-02-26,106.60734900099212
2001-02-27,106.61200656569105
2001-02-28,106.0965298693846
2001-03-01,107.66628228196522
2001-03-02,110.11286390559799
2001-03-05,110.28087536287106
2001-03-06,112.06037768105902
2001-03-07,113.26911749096585
2001-03-08,113.9569577018942
2001-03-09,112.69055417516138
2001-03-12,108.46528240741861
2001-03-13,108.81134682099484
2001-03-14,106.07735898112372
2001-03-15,105.89029693849481
2001-03-16,107.09440551219335
2001-03-19,107.86694534873308
2001-03-20,106.67638130269465
2001-03-21,106.86697494243673
2001-03-22,103.31532569679803
2001-03-23,102.4216419415358
2001-03-26,104.8433095757332
2001-03-27,107.94678926606464
2001-03-28,105.6635727635692
2001-03-29,105.22471953531972
2001-03-30,106.59118399891388
2001-04-02,105.79716024017337
2001-04-03,103.92567812183276
2001-04-04,103.55432463401836
2001-04-05,105.9122876409528
2001-04-06,106.07497242601173
2001-04-09,108.84829363962491
2001-04-10,111.50444113910883
2001-04-11,112.35686615840231
2001-04-12,111.99539634770507
2001-04-13,111.99539634770507
2001-04-16,111.03621754518613
2001-04-17,113.75218250349566
2001-04-18,116.9573761055481
2001-04-19,113.95011199582898
2001-04-20,112.7100696008613
2001-04-23,109.59680683356082
2001-04-24,111.11838295768929
2001-04-25,111.52997113494395
2001-04-26,114.25901947877219
2001-04-27,113.13869791598283
2001-04-30,114.36308188219485
2001-05-01,114.32599917081929
2001-05-02,115.17831286569645
2001-05-03,114.9907577852671
2001-05-04,115.90453421212966
2001-05-07,113.98566088768989
