Date,MALAYSIA VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,96.64496504260632
2001-01-03,94.95954585229646
2001-01-04,96.21680107288151
2001-01-05,97.77631843459649
2001-01-08,99.7785680482623
2001-01-09,99.12819954399552
2001-01-10,100.77038792143192
2001-01-11,100.07862659769492
2001-01-12,100.62213149699124
2001-01-15,100.03363307932544
2001-01-16,99.54703725559679
2001-01-17,99.10232582664996
2001-01-18,99.9563691046143
2001-01-19,102.51974548007979
2001-01-22,105.94674822279275
2001-01-23,105.94674822279275
2001-01-24,105.94674822279275
2001-01-25,105.94674822279275
2001-01-26,107.48801741587864
2001-01-29,107.37885911907254
2001-01-30,107.66394814383307
2001-01-31,109.69195079480583
2001-02-01,109.69195079480583
2001-02-02,109.86336509188772
2001-02-05,109.30494431945323
2001-02-06,109.01802213579788
2001-02-07,108.29908646742028
2001-02-08,106.21518541721937
2001-02-09,107.05454991084993
2001-02-12,107.18007470290227
2001-02-13,106.6873638946004
2001-02-14,105.77532901619352
2001-02-15,105.66718761876777
2001-02-16,105.85213640185091
2001-02-19,104.22380335779476
2001-02-20,104.54973748258246
2001-02-21,105.154503050941
2001-02-22,106.38470876906595
2001-02-23,105.52260529964185
2001-02-26,104.83727679508655
2001-02-27,104.87638503532783
2001-02-28,104.33271998039297
2001-03-01,103.6798975491134
2001-03-02,103.05063052612397
2001-03-05,103.26897169354395
2001-03-06,103.26897169354395
2001-03-07,103.51583779978742
2001-03-08,102.47792904769156
2001-03-09,101.508918689937
2001-03-12,100.29402496693348
2001-03-13,99.39689433024657
2001-03-14,98.6792401551667
2001-03-15,97.48757054118701
2001-03-16,97.31885843778296
2001-03-19,96.16299050161874
2001-03-20,96.099133193227
2001-03-21,97.23103656583865
2001-03-22,97.43056191341103
2001-03-23,96.83359007909532
2001-03-26,96.83359007909532
2001-03-27,96.79272300837965
2001-03-28,96.05442160276263
2001-03-29,94.84728588579837
2001-03-30,94.1786216474864
2001-04-02,94.44835104407123
2001-04-03,93.03420020152538
2001-04-04,89.64945428611283
2001-04-05,89.34171867150995
2001-04-06,89.6764245742659
2001-04-09,85.97366535295428
2001-04-10,86.03952775134985
2001-04-11,88.03842480808085
2001-04-12,87.63736392042539
2001-04-13,89.6756254406518
2001-04-16,89.48787175846218
2001-04-17,88.34606607290208
2001-04-18,87.77615764067765
2001-04-19,89.24398169473285
2001-04-20,91.2348449113788
2001-04-23,90.7122508096667
2001-04-24,90.0146428557011
2001-04-25,89.99188324730855
2001-04-26,90.36162015119272
2001-04-27,91.78744093478588
2001-04-30,92.40088825326146
2001-05-01,92.40088825326146
2001-05-02,97.58802384487258
2001-05-03,95.61408834823739
2001-05-04,91.99647388782013
2001-05-07,91.99647388782013
2001-05-08,89.89199753238887
2001-05-09,91.2685794574184
2001-05-10,91.61530225086078
2001-05-11,91.4809139316887
2001-05-14,91.09869285149624
2001-05-15,90.35625058193817
2001-05-16,90.89114137933932
2001-05-17,91.38663059389229
2001-05-18,91.10732777442617
2001-05-21,91.41628958084955
2001-05-22,91.35174625959895
2001-05-23,92.46102535909705
2001-05-24,93.46769762419501
2001-05-25,93.05183507940615
2001-05-28,93.4618855456885
2001-05-29,93.74509686779413
2001-05-30,94.12769530849604
2001-05-31,94.90854732686974
2001-06-01,94.92806256757198
2001-06-04,94.92806256757198
2001-06-05,94.12657844969992
2001-06-06,93.31032956964071
2001-06-07,94.12958543077386
2001-06-08,95.25897622255577
2001-06-11,95.50453731926883
2001-06-12,96.00136117202462
2001-06-13,96.32696531033675
2001-06-14,95.76584047070445
2001-06-15,94.71181902408297
2001-06-18,94.42971913463515
2001-06-19,94.98297308566927
2001-06-20,94.34424197147345
2001-06-21,95.57669370940236
2001-06-22,95.6212316397622
2001-06-25,95.46047913389349
2001-06-26,96.1538317418988
2001-06-27,95.95633911977826
2001-06-28,95.72925743695205
2001-06-29,95.95525399752516
2001-07-02,94.76384732115058
2001-07-03,95.58565379769463
2001-07-04,96.01428540862149
2001-07-05,100.66394044170409
2001-07-06,101.27647336667192
2001-07-09,100.7141481219045
2001-07-10,101.0333659409123
2001-07-11,99.67669261810065
2001-07-12,98.45121136719999
2001-07-13,100.30143322729778
2001-07-16,101.95431797973008
2001-07-17,103.4879483376651
2001-07-18,106.57237092582075
2001-07-19,107.73755202601326
2001-07-20,107.43514247926733
2001-07-23,105.20831187431622
2001-07-24,105.66453653044218
2001-07-25,107.11557964333352
2001-07-26,107.63422149203697
2001-07-27,108.15020547586256
2001-07-30,109.51192110597381
2001-07-31,108.98024011912939
2001-08-01,109.95639732355444
2001-08-02,110.3537423112313
2001-08-03,109.8874508516672
2001-08-06,108.5758956647791
2001-08-07,108.49292820087935
2001-08-08,108.7337718726604
2001-08-09,107.51334467035987
2001-08-10,106.95311995661547
2001-08-13,106.7026503085435
2001-08-14,108.76186089125547
2001-08-15,108.07654413211904
2001-08-16,108.19819722473216
2001-08-17,108.15117102096141
2001-08-20,107.95287702294235
2001-08-21,107.83824090818217
2001-08-22,108.57472837423602
2001-08-23,110.05339580047698
2001-08-24,112.39248722675295
2001-08-27,115.50796022714448
2001-08-28,113.75029468041363
2001-08-29,113.5266729500724
2001-08-30,113.72326872348148
2001-08-31,113.72326872348148
2001-09-03,114.49050015844848
2001-09-04,114.60339284513545
2001-09-05,114.78766449309556
2001-09-06,115.05105163449652
2001-09-07,117.2760367724415
2001-09-10,117.44293767746433
2001-09-11,117.26774996267805
2001-09-12,117.26774996267805
2001-09-13,112.35229399672261
2001-09-14,106.37027436775287
