Date,CHINA VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.87739441768849
2001-01-03,98.16271325816531
2001-01-04,101.56550342925804
2001-01-05,101.30447860384265
2001-01-08,104.25767350358876
2001-01-09,105.46977932424741
2001-01-10,106.63476982012156
2001-01-11,101.97282554811324
2001-01-12,103.89466418515642
2001-01-15,105.63172040895063
2001-01-16,104.41690336219835
2001-01-17,100.76245515333164
2001-01-18,103.60214748535196
2001-01-19,103.43341239990637
2001-01-22,105.15821988569078
2001-01-23,106.08203938926354
2001-01-24,106.0827146889316
2001-01-25,106.08338999725791
2001-01-26,106.08203938926354
2001-01-29,105.08124018093618
2001-01-30,103.43216930770565
2001-01-31,104.565675697582
2001-02-01,104.82150156966883
2001-02-02,104.80515869726098
2001-02-05,103.83285609385067
2001-02-06,104.4249747477416
2001-02-07,104.05429479171231
2001-02-08,103.32410358367368
2001-02-09,105.15123221279401
2001-02-12,107.15849049972739
2001-02-13,105.54992940044197
2001-02-14,104.8172719499675
2001-02-15,104.68448619097295
2001-02-16,105.03355127814527
2001-02-19,107.37573504290859
2001-02-20,109.43357525726437
2001-02-21,107.18007851887275
2001-02-22,106.61481233977224
2001-02-23,108.07516080153484
2001-02-26,107.89224402846837
2001-02-27,109.52729768295187
2001-02-28,106.65038283727327
2001-03-01,102.96586606966484
2001-03-02,100.52010072379277
2001-03-05,101.85338945524764
2001-03-06,104.37894252981393
2001-03-07,103.27469243820735
2001-03-08,102.2142882489505
2001-03-09,100.03340125573031
2001-03-12,95.93974746363733
2001-03-13,94.22454897673971
2001-03-14,93.15525794253998
2001-03-15,94.85573277284635
2001-03-16,95.56629576803702
2001-03-19,95.75318135913605
2001-03-20,93.67930127489187
2001-03-21,94.03661530885503
2001-03-22,91.25706348037164
2001-03-23,92.1087178236807
2001-03-26,94.7482166450086
2001-03-27,92.45478486081096
2001-03-28,92.64484963800273
2001-03-29,92.44128867591665
2001-03-30,94.68051152049001
2001-04-02,95.63663042619613
2001-04-03,92.85901752321357
2001-04-04,89.18461380025207
2001-04-05,89.25856029057834
2001-04-06,89.08405181268819
2001-04-09,88.0571066474686
2001-04-10,89.3435905372846
2001-04-11,92.12251662201606
2001-04-12,94.72435851337795
2001-04-13,94.72736613357657
2001-04-16,94.79148589785281
2001-04-17,94.00233145877415
2001-04-18,98.27884457874023
2001-04-19,99.49232507269738
2001-04-20,97.54541493463763
2001-04-23,99.00347887842722
2001-04-24,99.6124564913799
2001-04-25,99.80349899464194
2001-04-26,100.5568205651147
2001-04-27,102.35881595475688
2001-04-30,102.40474086250258
2001-05-01,102.40604097866097
2001-05-02,107.52284729019618
2001-05-03,107.05968720667033
2001-05-04,105.60815624830039
2001-05-07,106.40702560824978
2001-05-08,106.68718406825619
