Date,CZECH REPUBLIC VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,100.59750703618818
2001-01-03,98.96680764927028
2001-01-04,102.18211141180046
2001-01-05,103.50653502513926
2001-01-08,103.2862945645963
2001-01-09,103.56463201928055
2001-01-10,101.98131616172263
2001-01-11,101.50083546174517
2001-01-12,102.82407998075121
2001-01-15,104.36631733002878
2001-01-16,102.55863193371893
2001-01-17,102.22903622277352
2001-01-18,104.07336469622902
2001-01-19,105.61285251593873
2001-01-22,105.16756825901093
2001-01-23,106.29133060649143
2001-01-24,105.73828243052985
2001-01-25,106.50427827110028
2001-01-26,105.37645491008293
2001-01-29,105.9224429913298
2001-01-30,106.51065429996689
2001-01-31,107.62305928207361
2001-02-01,109.8409688194869
2001-02-02,108.11994704046332
2001-02-05,108.82669531281107
2001-02-06,108.15278794570425
2001-02-07,108.3636082294223
2001-02-08,108.88210093877028
2001-02-09,109.56625547312143
2001-02-12,109.43509987293812
2001-02-13,107.72080943072872
2001-02-14,105.6795386765252
2001-02-15,105.37637526590287
2001-02-16,107.40698136068065
2001-02-19,108.00291159204666
2001-02-20,103.31279349648956
2001-02-21,102.62317592020484
2001-02-22,103.52528813779742
2001-02-23,101.90489842314793
2001-02-26,102.39602150217507
2001-02-27,102.42124318497584
2001-02-28,104.10069785417829
2001-03-01,105.2297222694538
2001-03-02,106.16334421394012
2001-03-05,105.77614037228571
2001-03-06,107.5839849192435
2001-03-07,105.40784903844825
2001-03-08,104.6158986237465
2001-03-09,103.83968686882835
2001-03-12,102.58992805377792
2001-03-13,101.62929146700822
2001-03-14,100.20440245704692
2001-03-15,101.21732465057876
2001-03-16,98.71381588133083
2001-03-19,99.46350480993218
2001-03-20,99.10348219917562
2001-03-21,97.51832479203998
2001-03-22,95.58549836687551
2001-03-23,96.17935181942777
2001-03-26,99.46417942282167
2001-03-27,101.48068836443908
2001-03-28,100.42341402365729
2001-03-29,97.13158472967302
2001-03-30,97.30125730309493
2001-04-02,97.02678651738638
2001-04-03,96.47697568112663
2001-04-04,97.39965036654712
2001-04-05,98.61117466269654
2001-04-06,100.38303000452723
2001-04-09,101.82179108694977
2001-04-10,97.52136747344753
2001-04-11,98.76337052811533
2001-04-12,100.23531031672573
2001-04-13,101.98785071915503
2001-04-16,100.98097012508693
2001-04-17,101.51596837535641
2001-04-18,101.14656067809798
2001-04-19,103.15069423806622
2001-04-20,104.91009187587669
2001-04-23,103.50969738920128
2001-04-24,101.91446659063537
2001-04-25,101.73981833317495
2001-04-26,102.68532848026697
2001-04-27,100.96805447687065
2001-04-30,98.17658800706732
2001-05-01,98.6704212843748
2001-05-02,100.48757078653925
2001-05-03,100.88626761883339
2001-05-04,99.318173171262
2001-05-07,99.82350847053206
2001-05-08,99.11653948493077
2001-05-09,101.11231693101813
2001-05-10,102.30949870948645
2001-05-11,101.45684634849673
2001-05-14,100.982579100811
2001-05-15,101.07778693848817
2001-05-16,101.3279499327829
2001-05-17,100.6834046594848
2001-05-18,100.67402950977693
2001-05-21,102.01778989922823
2001-05-22,102.4896238140309
2001-05-23,101.93582515316236
2001-05-24,101.59219632482194
2001-05-25,101.05889212209276
2001-05-28,102.50940611009915
2001-05-29,101.86975730930355
2001-05-30,103.08730197304646
2001-05-31,101.92439077576893
2001-06-01,100.25100564186005
2001-06-04,101.21760617299091
2001-06-05,99.8083282273855
2001-06-06,98.75986160997333
2001-06-07,99.37793018957997
2001-06-08,99.72980399719174
2001-06-11,99.31624915059888
2001-06-12,99.29135323166498
2001-06-13,99.68450943322182
2001-06-14,98.76718885570712
2001-06-15,99.40641342553171
2001-06-18,97.59401491204618
2001-06-19,97.73644418409465
2001-06-20,95.73042265134754
2001-06-21,96.21900644610447
2001-06-22,97.0895421609987
2001-06-25,97.28099090413382
2001-06-26,94.91742124881908
2001-06-27,93.0639916615638
2001-06-28,91.08868551737801
2001-06-29,94.31142170385698
2001-07-02,92.92473560102597
2001-07-03,92.29480902910198
2001-07-04,92.44196380872789
2001-07-05,91.36624858861784
2001-07-06,91.12320729071425
2001-07-09,90.22953695367606
2001-07-10,92.1307692866884
2001-07-11,91.46934895979932
2001-07-12,90.3379620900418
2001-07-13,89.38346497408244
2001-07-16,79.34056758543804
2001-07-17,83.2233873853925
2001-07-18,87.82211790995964
2001-07-19,87.79259851894157
2001-07-20,85.15673484149349
2001-07-23,87.21542663036362
2001-07-24,87.48246669737466
2001-07-25,87.54892408551002
2001-07-26,88.57623860200309
2001-07-27,88.7427961579079
2001-07-30,89.11065335741769
2001-07-31,88.56112910704017
2001-08-01,89.27512424970499
2001-08-02,89.45425945135236
2001-08-03,89.3500905265887
2001-08-06,89.8714650829062
2001-08-07,89.50433166325938
2001-08-08,88.82079137031141
2001-08-09,90.58913833921345
2001-08-10,91.45020794637846
2001-08-13,95.1855553205047
2001-08-14,96.72608727125153
2001-08-15,96.40950096900676
2001-08-16,94.7821762539067
2001-08-17,95.66576065145914
2001-08-20,95.21622290571486
2001-08-21,95.41541601416863
2001-08-22,95.84497659788454
2001-08-23,94.2845618879913
2001-08-24,95.15340732754458
2001-08-27,95.14868855476465
2001-08-28,94.24503747968424
2001-08-29,93.87924712155171
2001-08-30,92.9353077960618
2001-08-31,92.28968035433498
2001-09-03,91.66956937849045
2001-09-04,88.07400787090072
2001-09-05,88.51296337823338
2001-09-06,89.76528196870599
2001-09-07,90.77259084015871
2001-09-10,89.91269878385822
2001-09-11,88.05161147899219
2001-09-12,87.60118061605104
2001-09-13,90.34201014571087
2001-09-14,87.65725763244828
