Date,EM VOTING RIGHTS-ADJUSTED
2018-12-03,1022.1585653080947
2018-12-04,1020.0042911616997
2018-12-05,1007.5161374282001
2018-12-06,984.2454248265695
2018-12-07,986.4914295404441
2018-12-10,968.560812933532
2018-12-11,969.9678897820817
2018-12-12,983.8015250393677
2018-12-13,990.8508564508246
2018-12-14,977.0889253677975
2018-12-17,973.999224158859
2018-12-18,968.5149008023601
2018-12-19,973.6707468933895
2018-12-20,965.6856175887043
2018-12-21,963.3605856195093
2018-12-24,958.7214960041241
2018-12-25,955.9587273609064
2018-12-26,956.0031377156771
2018-12-27,960.0772053948346
2018-12-28,969.7618250731082
2018-12-31,973.533274394318
2019-01-01,973.8181350278795
2019-01-02,961.6108935745631
2019-01-03,954.9764703385173
2019-01-04,969.753446060337
2019-01-07,983.1034792856944
2019-01-08,980.1085497133515
2019-01-09,998.5258432519613
2019-01-10,1003.1363484555698
2019-01-11,1006.1335169552295
2019-01-14,997.2387061217953
2019-01-15,1010.2179763982107
2019-01-16,1014.3583557344291
2019-01-17,1014.2216299840878
2019-01-18,1022.883817749897
2019-01-21,1023.3493485770406
2019-01-22,1016.0013780919617
2019-01-23,1017.0932435388503
2019-01-24,1025.1482183166481
2019-01-25,1038.2640030620898
2019-01-28,1033.8668677081241
2019-01-29,1035.2546420545038
2019-01-30,1042.344993544224
2019-01-31,1054.6228624455005
2019-02-01,1055.7077478396307
2019-02-04,1052.9669521372148
2019-02-05,1056.8631728551854
2019-02-06,1054.4670790352977
2019-02-07,1048.4962431235203
2019-02-08,1042.1948186480377
2019-02-11,1042.0625557291396
2019-02-12,1048.2853027666633
2019-02-13,1049.084388598881
2019-02-14,1045.8482194823343
2019-02-15,1036.6958304072357
2019-02-18,1043.5020831285742
2019-02-19,1042.9954611361243
2019-02-20,1056.0337853525475
2019-02-21,1058.1479740096213
2019-02-22,1066.30388425842
2019-02-25,1075.8860048569848
2019-02-26,1073.3313855619695
2019-02-27,1069.6844831408055
2019-02-28,1059.38080460663
2019-03-01,1060.8614065921527
2019-03-04,1062.564569891628
2019-03-05,1063.8722473538294
2019-03-06,1064.91874162542
2019-03-07,1053.604414184094
2019-03-08,1039.3839711600415
2019-03-11,1049.4264084760111
2019-03-12,1060.4021174139382
2019-03-13,1059.3030632084287
2019-03-14,1057.6518800024971
2019-03-15,1066.6424658037738
2019-03-18,1078.7032880158033
2019-03-19,1080.3180910838248
2019-03-20,1078.390699214929
2019-03-21,1079.9927912844666
2019-03-22,1071.3260012755384
2019-03-25,1058.3284403199293
2019-03-26,1061.157658547365
2019-03-27,1055.9480546801249
2019-03-28,1056.833428964951
2019-03-29,1069.2623166865458
2019-04-01,1080.8415287782807
2019-04-02,1082.5059755100744
2019-04-03,1091.2660962350024
2019-04-04,1091.6752879744497
2019-04-05,1095.4001173125973
2019-04-08,1098.8812976932545
2019-04-09,1104.176495513167
2019-04-10,1106.9369345026757
2019-04-11,1098.774574485968
2019-04-12,1100.9427889641318
2019-04-15,1099.050636816181
2019-04-16,1106.4145744659806
2019-04-17,1109.5751464700647
2019-04-18,1105.3416488100493
2019-04-19,1105.3627609318726
2019-04-22,1101.7724530914918
2019-04-23,1102.265768582213
2019-04-24,1097.0939619442693
2019-04-25,1088.7835061347932
2019-04-26,1089.8167117953417
2019-04-29,1095.2340005391363
2019-04-30,1091.6973556740109
2019-05-01,1092.8965192833919
2019-05-02,1091.755500297075
2019-05-03,1095.3806067338526
2019-05-06,1075.6123879772792
2019-05-07,1071.0867492342961
2019-05-08,1064.1549367430182
2019-05-09,1041.2727950910328
2019-05-10,1046.5741239890947
2019-05-13,1030.1707928604822
2019-05-14,1027.3450694077035
2019-05-15,1029.1429074214311
2019-05-16,1023.9867841567061
2019-05-17,1010.3778201760946
2019-05-20,1008.7590496787667
2019-05-21,1012.82633458666
2019-05-22,1012.1422525833215
2019-05-23,999.8270167096374
2019-05-24,1002.3103281101202
2019-05-27,1005.160493652165
2019-05-28,1004.2431306605346
2019-05-29,1000.4055248141223
2019-05-30,1009.7940212213703
2019-05-31,1013.5846710031376
2019-06-03,1024.3889461087547
2019-06-04,1020.8378230139667
2019-06-05,1021.0753128924454
2019-06-06,1019.2267119875908
2019-06-07,1023.0368086208701
2019-06-10,1038.5106486084985
2019-06-11,1049.016865638003
2019-06-12,1043.6173810456753
2019-06-13,1039.5571359583234
2019-06-14,1032.689368675018
2019-06-17,1028.5899903130141
