Date,CHINA A INTERNATIONAL EQUAL WEIGHTED
2009-04-10,1390.2457492330234
2009-04-13,1429.2327590541022
2009-04-14,1439.2183943215057
2009-04-15,1443.7923442513602
2009-04-16,1446.2677402122656
2009-04-17,1424.5081422242567
2009-04-20,1459.5438532706191
2009-04-21,1444.7533754833037
2009-04-22,1392.9252928090377
2009-04-23,1402.8364481171716
2009-04-24,1397.0718189910347
2009-04-27,1359.126569212864
2009-04-28,1360.257902229446
2009-04-29,1404.409795250293
2009-04-30,1418.933844190253
2009-05-01,1418.933844190253
2009-05-04,1468.5965286306046
2009-05-05,1473.6813700557277
2009-05-06,1495.4366444598088
2009-05-07,1490.93615323465
2009-05-08,1494.804137951797
2009-05-11,1453.9953940645087
2009-05-12,1487.052404544465
2009-05-13,1497.4643051835444
2009-05-14,1487.5876409748535
2009-05-15,1488.9269690836918
2009-05-18,1495.6474688604028
2009-05-19,1510.5554525700825
2009-05-20,1496.0917889449836
2009-05-21,1465.0978986775392
2009-05-22,1459.872352845765
2009-05-25,1460.6389288888597
2009-05-26,1445.3202299210302
2009-05-27,1464.9503806816158
2009-05-28,1464.9503806816158
2009-05-29,1464.9503806816158
2009-06-01,1518.9915544961225
2009-06-02,1524.1581577028753
2009-06-03,1556.7570467811572
2009-06-04,1557.4611821324197
2009-06-05,1551.341081486633
2009-06-08,1547.4035266733267
2009-06-09,1556.2901077020067
2009-06-10,1577.0062862984323
2009-06-11,1557.2784911129627
2009-06-12,1527.6432632068481
2009-06-15,1552.0845182304258
2009-06-16,1554.0517115952596
2009-06-17,1579.781836000966
2009-06-18,1604.4944867869683
2009-06-19,1618.3091812322405
2009-06-22,1619.5892988504415
2009-06-23,1620.762372204827
2009-06-24,1654.0886539155003
2009-06-25,1650.0341856764203
2009-06-26,1653.2258465310329
2009-06-29,1679.9732981309744
2009-06-30,1674.369917684291
2009-07-01,1704.6560659691759
2009-07-02,1725.8106444605255
2009-07-03,1745.5635193851465
2009-07-06,1771.6250304475118
2009-07-07,1758.0110421360134
2009-07-08,1767.1323054694528
2009-07-09,1793.5884437527016
2009-07-10,1797.5728892543284
2009-07-13,1782.1016047855817
2009-07-14,1829.5517676765107
2009-07-15,1854.5760891326981
2009-07-16,1850.8946920304757
2009-07-17,1862.6260809818398
2009-07-20,1906.0622576763258
2009-07-21,1871.5980929340544
2009-07-22,1905.6376794074697
2009-07-23,1927.2480826353371
2009-07-24,1938.1123759153586
2009-07-27,1984.022126984438
2009-07-28,1992.5799638150977
2009-07-29,1885.6473373047704
2009-07-30,1919.331814740768
2009-07-31,1977.276017300057
2009-08-03,2011.3784071232446
2009-08-04,2020.7376918669004
2009-08-05,2001.4121499292405
2009-08-06,1954.654381687025
2009-08-07,1886.9930507949061
2009-08-10,1885.440949784299
2009-08-11,1893.1447214452114
2009-08-12,1803.672561169309
2009-08-13,1827.3054315577556
2009-08-14,1772.5862107247028
2009-08-17,1660.3264781978646
2009-08-18,1685.842602390639
2009-08-19,1599.215310445902
2009-08-20,1667.9090234897708
2009-08-21,1702.3733251416863
2009-08-24,1720.900846137299
2009-08-25,1662.5924137798615
2009-08-26,1699.6217640957937
2009-08-27,1693.3877338716723
2009-08-28,1639.0046894344011
2009-08-31,1520.6770641760118
2009-09-01,1523.306471010898
2009-09-02,1542.5852624267393
2009-09-03,1629.9605887970438
2009-09-04,1642.1879386670632
2009-09-07,1655.027669709377
2009-09-08,1695.0511386289456
2009-09-09,1712.2552317498285
2009-09-10,1696.7315487671092
2009-09-11,1726.4973850823976
2009-09-14,1754.2440387167153
2009-09-15,1761.4854439600408
2009-09-16,1741.5969912882106
2009-09-17,1772.7458264826923
2009-09-18,1711.8991895019087
2009-09-21,1718.3433106561074
2009-09-22,1682.205555717391
2009-09-23,1643.8471795635724
2009-09-24,1644.5833169143323
2009-09-25,1633.0874584436453
2009-09-28,1590.5820402330723
2009-09-29,1586.7548869549764
2009-09-30,1603.8271736561571
2009-10-01,1603.827173656157
2009-10-02,1603.8271736561567
2009-10-05,1603.8271736561564
2009-10-06,1603.8271736561562
2009-10-07,1603.827173656156
2009-10-08,1603.8271736561558
2009-10-09,1688.1832112369098
2009-10-12,1680.583797687579
2009-10-13,1704.4454952553583
2009-10-14,1720.679380192389
2009-10-15,1723.794777915618
2009-10-16,1728.5430085969049
2009-10-19,1776.5199450343096
2009-10-20,1799.016768280281
2009-10-21,1792.0208129145612
2009-10-22,1780.6606637542513
2009-10-23,1815.7450139913155
2009-10-26,1812.7708446122062
2009-10-27,1757.5807884134808
2009-10-28,1766.4583914742366
2009-10-29,1724.7546596200511
2009-10-30,1740.4160338029774
2009-11-02,1792.2588002844118
2009-11-03,1812.068454944935
2009-11-04,1822.3741967641859
2009-11-05,1828.6025708222119
2009-11-06,1841.3549170754463
2009-11-09,1848.1420325550753
2009-11-10,1855.2029972736207
2009-11-11,1849.850426891668
2009-11-12,1853.8207611260634
2009-11-13,1862.5886887390775
2009-11-16,1924.8023466713623
2009-11-17,1923.8497203577224
2009-11-18,1924.8383118387778
2009-11-19,1933.4482374640006
2009-11-20,1927.6944755246593
2009-11-23,1945.8883803480016
2009-11-24,1887.1882811609403
2009-11-25,1934.610111672022
2009-11-26,1865.162923715028
2009-11-27,1808.0204648545284
2009-11-30,1878.7049711507648
2009-12-01,1907.3894628567846
2009-12-02,1926.9129189179225
2009-12-03,1925.6496511770572
2009-12-04,1947.0312541867265
2009-12-07,1957.773983300691
2009-12-08,1934.1339635171355
2009-12-09,1897.5074771666295
2009-12-10,1909.1859544688543
2009-12-11,1909.6490212621306
2009-12-14,1931.171174920303
2009-12-15,1916.1123283963911
2009-12-16,1900.374425534881
2009-12-17,1858.2697806346778
2009-12-18,1806.5208174669795
2009-12-21,1811.9822675345047
2009-12-22,1765.1850723625203
2009-12-23,1781.4595397711869
2009-12-24,1838.497799145827
2009-12-25,1833.8345384188226
2009-12-28,1858.2621570482056
2009-12-29,1865.0688423433385
2009-12-30,1892.3069949523258
2009-12-31,1898.463501671753
2010-01-01,1898.4635016717527
2010-01-04,1874.9763820199032
2010-01-05,1884.0312569893292
2010-01-06,1877.1819156431595
2010-01-07,1842.069723316689
2010-01-08,1845.752975898802
2010-01-11,1840.7656756137058
2010-01-12,1870.8200006794161
2010-01-13,1814.6101872440433
2010-01-14,1840.0896658282638
2010-01-15,1846.2490022774787
2010-01-18,1859.8278245890622
2010-01-19,1862.061327277972
2010-01-20,1804.0363848703878
2010-01-21,1805.4470525841004
2010-01-22,1777.7475824784092
2010-01-25,1755.9814116701293
2010-01-26,1707.1952086285044
2010-01-27,1689.4067982381753
2010-01-28,1697.4167045099762
2010-01-29,1692.9955105039012
2010-02-01,1663.2075428733558
2010-02-02,1658.9790234269472
2010-02-03,1704.730645349836
2010-02-04,1695.2826375619445
2010-02-05,1661.576261127185
2010-02-08,1662.5368380537425
2010-02-09,1671.588361435019
2010-02-10,1693.2971697005737
2010-02-11,1696.7659251141542
2010-02-12,1714.1130005072887
2010-02-15,1714.1130005072891
2010-02-16,1714.1130005072896
2010-02-17,1714.11300050729
2010-02-18,1714.1130005072905
2010-02-19,1714.113000507291
2010-02-22,1707.3552654986472
2010-02-23,1690.5899034636825
2010-02-24,1717.69238919414
2010-02-25,1740.5553277433094
2010-02-26,1731.762567530707
2010-03-01,1754.635050821505
2010-03-02,1744.8937714987862
2010-03-03,1756.931869180448
2010-03-04,1712.4152209993106
2010-03-05,1716.0315027626664
2010-03-08,1730.6518544813705
2010-03-09,1743.6773304160533
2010-03-10,1731.4915866946085
2010-03-11,1727.4645133449867
2010-03-12,1703.1746761640604
2010-03-15,1674.184763633147
2010-03-16,1683.1677815738922
2010-03-17,1719.75491171395
2010-03-18,1717.5858670785935
2010-03-19,1733.7783966284017
2010-03-22,1738.8689197804279
2010-03-23,1726.9786588484492
2010-03-24,1724.8086938514155
2010-03-25,1699.1595940518887
2010-03-26,1723.9571277340635
2010-03-29,1768.1958356968585
2010-03-30,1770.285905263759
2010-03-31,1759.3516980846819
2010-04-01,1784.906508851158
2010-04-02,1798.0723511686515
2010-04-05,1798.0723511686513
2010-04-06,1794.4895042129199
2010-04-07,1783.0935854729573
2010-04-08,1758.2730375557978
2010-04-09,1773.792435092573
2010-04-12,1756.4355415451912
2010-04-13,1774.6551409653073
2010-04-14,1781.7159706201132
2010-04-15,1778.055565970612
2010-04-16,1760.1178682676689
2010-04-19,1662.885456216259
2010-04-20,1654.7484339357668
2010-04-21,1686.54683153151
2010-04-22,1671.4185969645469
2010-04-23,1665.4635558447064
2010-04-26,1654.689162848258
2010-04-27,1619.6235506491216
2010-04-28,1617.4240281170976
2010-04-29,1602.0046384204359
2010-04-30,1606.5552614369144
2010-05-03,1606.5552614369144
2010-05-04,1578.9600313206306
2010-05-05,1586.116112205989
2010-05-06,1510.0010653642369
2010-05-07,1472.4432694029774
2010-05-10,1487.3299343144588
2010-05-11,1460.6443471761697
