Date,CHINA A ONSHORE EQUAL WEIGHTED
2004-11-30,1000.0
2004-12-01,996.9601299115441
2004-12-02,996.7623717550516
2004-12-03,997.9372614099117
2004-12-06,999.4751276898512
2004-12-07,985.8507561202816
2004-12-08,987.303903432305
2004-12-09,997.9389597295791
2004-12-10,979.7507091194192
2004-12-13,973.731362799338
2004-12-14,972.2794594808452
2004-12-15,975.7783875338099
2004-12-16,967.9100250620197
2004-12-17,958.0750464636924
2004-12-20,945.128194481061
2004-12-21,944.4189419610755
2004-12-22,969.7330303808251
2004-12-23,950.8651459272146
2004-12-24,952.6715376237723
2004-12-27,949.3562127920015
2004-12-28,945.5832371519477
2004-12-29,939.9568080222133
2004-12-30,937.8510086849993
2004-12-31,932.0234846858375
2005-01-03,932.0234846858375
2005-01-04,916.05598510535
2005-01-05,926.2141848109486
2005-01-06,917.7773562017352
2005-01-07,918.3600312830122
2005-01-10,926.9160617223671
2005-01-11,928.5394436679725
2005-01-12,928.8386258140085
2005-01-13,929.1488876157131
2005-01-14,919.5114677433422
2005-01-17,899.5489335529394
2005-01-18,906.6208662582275
2005-01-19,898.9711917843802
2005-01-20,887.6587927583857
2005-01-21,908.7230822116389
2005-01-24,924.4658243259008
2005-01-25,922.7477884083243
2005-01-26,914.6551677012202
2005-01-27,900.7866918620588
2005-01-28,892.5955271429266
2005-01-31,874.7045801968883
2005-02-01,873.1521028963765
2005-02-02,921.2516163559698
2005-02-03,908.7693197185888
2005-02-04,928.5651793867896
2005-02-07,928.5763988201107
2005-02-08,928.5651793867897
2005-02-09,928.5651793867897
2005-02-10,928.5651793867897
2005-02-11,928.5651793867897
2005-02-14,928.5651793867897
2005-02-15,928.5651793867897
2005-02-16,935.5399193629976
2005-02-17,936.3699252021659
2005-02-18,922.4994302092161
2005-02-21,938.4006682820947
2005-02-22,959.3633591702923
2005-02-23,960.1219254310842
2005-02-24,962.8170636021316
2005-02-25,963.9975293788626
2005-02-28,959.6982587980954
2005-03-01,957.398811753192
2005-03-02,942.1306007140479
2005-03-03,946.6875068932559
2005-03-04,941.5667160388846
2005-03-07,945.8915468505786
2005-03-08,965.1068986304522
2005-03-09,964.8574625880273
2005-03-10,941.1861203811823
2005-03-11,944.7956340463552
2005-03-14,945.7005637833622
2005-03-15,931.935840107765
2005-03-16,921.985745020305
2005-03-17,911.1276441557991
2005-03-18,893.6636377820844
2005-03-21,895.0688550111531
2005-03-22,875.1072732470725
2005-03-23,872.8426428493264
2005-03-24,880.6498987733216
2005-03-25,878.1600582697472
2005-03-28,875.0696554013
2005-03-29,869.2508421432128
2005-03-30,850.6717345965526
2005-03-31,855.2766474485609
2005-04-01,888.1179684847515
2005-04-04,872.3223754942427
2005-04-05,865.4821147283947
2005-04-06,879.5475742755326
2005-04-07,891.9534629639111
2005-04-08,910.1842415809147
2005-04-11,906.3593531273968
2005-04-12,888.3269239549325
2005-04-13,911.4705349410112
2005-04-14,897.2107480372144
2005-04-15,882.2261509250837
2005-04-18,873.0680585632745
2005-04-19,874.8529491058002
2005-04-20,860.39097217373
2005-04-21,851.6307937206852
2005-04-22,844.9505794235638
2005-04-25,831.9655986198566
2005-04-26,841.5391157755008
2005-04-27,829.6567519412379
2005-04-28,845.6916259683258
2005-04-29,835.0762072009148
2005-05-02,835.0661174744943
2005-05-03,835.0661174744943
2005-05-04,835.0661174744943
2005-05-05,835.0661174744943
2005-05-06,835.0661174744943
2005-05-09,814.4943914556106
2005-05-10,817.1829973664841
2005-05-11,808.652490946367
2005-05-12,799.0569849350765
2005-05-13,801.2257172792683
2005-05-16,789.2872425236432
2005-05-17,796.4919552566921
2005-05-18,799.7162264886032
2005-05-19,799.9885705500504
2005-05-20,797.8272546371763
2005-05-23,779.1323734648133
2005-05-24,787.4935669833408
2005-05-25,788.2655248655129
2005-05-26,777.5606673169397
2005-05-27,770.4568686440285
2005-05-30,777.353600011972
2005-05-31,776.231379059441
2005-06-01,758.2020596565118
2005-06-02,743.6105019914161
2005-06-03,740.9603651602634
2005-06-06,756.7884909439503
2005-06-07,756.6783684524529
2005-06-08,817.3139125058432
2005-06-09,825.6735439287622
2005-06-10,806.7625950420934
2005-06-13,806.0388899027461
