Date,SOUTH AFRICA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,996.6212111837636
1999-01-05,1016.6803792853959
1999-01-06,1079.832085967684
1999-01-07,1058.2793912640623
1999-01-08,1084.148547128419
1999-01-11,1066.722830578145
1999-01-12,1053.014153138555
1999-01-13,1002.6326861656748
1999-01-14,991.7059862142216
1999-01-15,1001.7215225464172
1999-01-18,1041.3682910551279
1999-01-19,1031.299935001086
1999-01-20,1031.0142081249196
1999-01-21,1011.9531780442958
1999-01-22,1006.7361675206564
1999-01-25,995.5522078526006
1999-01-26,999.3017590035296
1999-01-27,1022.1266780669903
1999-01-28,1025.8168662817418
1999-01-29,1031.9182455698774
1999-02-01,1036.7870185031977
1999-02-02,1037.97263890343
1999-02-03,1030.787101049216
1999-02-04,1032.1943469211108
1999-02-05,1043.7400710143152
1999-02-08,1061.6241287154135
1999-02-09,1031.7868990207844
1999-02-10,1020.1931139890501
1999-02-11,1030.0705505984192
1999-02-12,1037.3707657677699
1999-02-15,1035.0095883987601
1999-02-16,1030.412532721016
1999-02-17,1022.4766623728736
1999-02-18,1030.070925346048
1999-02-19,1017.5092132058575
1999-02-22,1034.8474986940294
1999-02-23,1047.2002498493523
1999-02-24,1051.3321716371593
1999-02-25,1049.895395711474
1999-02-26,1039.8499351794403
1999-03-01,1040.6430063244477
1999-03-02,1042.7314706972238
1999-03-03,1063.836867752969
1999-03-04,1077.2533628859956
1999-03-05,1107.1100327691659
1999-03-08,1125.6808920435515
1999-03-09,1142.2605034195524
1999-03-10,1142.4533787472599
1999-03-11,1169.2359715509133
1999-03-12,1162.2093639134189
1999-03-15,1155.2814990604786
1999-03-16,1153.973205180801
1999-03-17,1161.3010369953447
1999-03-18,1150.8682995764095
1999-03-19,1170.343026086989
1999-03-22,1173.9922025603116
1999-03-23,1160.370863509921
1999-03-24,1153.1087192153418
1999-03-25,1157.8699958193047
1999-03-26,1146.9258463133467
1999-03-29,1146.8217429996243
1999-03-30,1151.0792896572016
1999-03-31,1145.2467976039163
1999-04-01,1157.6086842543034
1999-04-02,1156.8582086081094
1999-04-05,1158.7832537216664
1999-04-06,1153.7231800533295
1999-04-07,1148.6937695967122
1999-04-08,1135.9470452300538
1999-04-09,1156.0178149884096
1999-04-12,1174.3145473537043
1999-04-13,1217.3980842717008
1999-04-14,1237.516240957463
1999-04-15,1255.5616298090963
1999-04-16,1287.3692525332822
1999-04-19,1326.553746773906
1999-04-20,1306.2363479099274
1999-04-21,1275.8850040682169
1999-04-22,1262.4496722532956
1999-04-23,1256.8122119431494
1999-04-26,1269.8294633332243
1999-04-27,1269.7771617778335
1999-04-28,1288.5636236089754
1999-04-29,1295.7721553772626
1999-04-30,1292.8389074577206
1999-05-03,1297.2791043479697
1999-05-04,1295.591340822901
1999-05-05,1267.4580558581529
1999-05-06,1278.5434954539776
1999-05-07,1246.1666600342403
1999-05-10,1225.0510806905036
1999-05-11,1229.8068813148548
1999-05-12,1210.185501092618
1999-05-13,1211.094714143579
1999-05-14,1200.152793237786
1999-05-17,1182.4700913037482
1999-05-18,1173.798945983164
1999-05-19,1161.1399846658494
1999-05-20,1146.4953792103988
1999-05-21,1148.5601162030748
1999-05-24,1141.763930344047
1999-05-25,1126.7579595664108
1999-05-26,1112.2157297842375
1999-05-27,1108.5151043904793
1999-05-28,1111.8299150909365
1999-05-31,1122.9056151541636
1999-06-01,1156.5029859870442
1999-06-02,1157.902545873273
1999-06-03,1179.6503773778225
1999-06-04,1188.050732392014
1999-06-07,1231.6832124260754
1999-06-08,1234.211571860326
1999-06-09,1231.1281288663106
1999-06-10,1222.5105967541765
1999-06-11,1242.9889346280663
1999-06-14,1242.9652094946719
1999-06-15,1244.8957689307802
1999-06-16,1247.710538398044
1999-06-17,1248.5948605233236
1999-06-18,1273.2148997343354
1999-06-21,1291.5726977724546
1999-06-22,1299.5232220869618
1999-06-23,1289.9710007436965
1999-06-24,1270.4731155475308
1999-06-25,1263.0964617043737
1999-06-28,1268.284958711707
1999-06-29,1275.9759628310114
1999-06-30,1290.8446635016717
1999-07-01,1320.0119785250533
1999-07-02,1324.2794644209666
1999-07-05,1346.133245587654
1999-07-06,1330.6185596938412
1999-07-07,1316.1671481990763
1999-07-08,1308.6022278500507
1999-07-09,1299.0219977573754
1999-07-12,1305.2353115433643
1999-07-13,1267.2301122416434
1999-07-14,1280.2318786754574
1999-07-15,1279.099604969984
1999-07-16,1268.8941802226095
1999-07-19,1267.05005884262
1999-07-20,1262.5109859431045
1999-07-21,1257.6950375009628
1999-07-22,1263.7033130693937
1999-07-23,1268.280880574915
1999-07-26,1244.7472112470082
1999-07-27,1248.6644223679293
1999-07-28,1246.4441242421594
1999-07-29,1232.868075259747
1999-07-30,1242.8160424345654
1999-08-02,1221.346167257177
