Date,KOREA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1080.8311115367014
1999-01-05,1127.8523433319622
1999-01-06,1189.186037801492
1999-01-07,1223.5701227814511
1999-01-08,1205.0051534745471
1999-01-11,1240.520425994353
1999-01-12,1227.1527641967132
1999-01-13,1223.573523899565
1999-01-14,1122.4364228659924
1999-01-15,1164.6522934801117
1999-01-18,1196.7797699448288
1999-01-19,1177.9334655926045
1999-01-20,1168.9652602694152
1999-01-21,1100.3428173336504
1999-01-22,1044.6713708455363
1999-01-25,1010.6588187161337
1999-01-26,987.0469145525431
1999-01-27,1033.882264099752
1999-01-28,1052.3041870900515
1999-01-29,1060.3484512633065
1999-02-01,1078.1108260894737
1999-02-02,1070.2563494373198
1999-02-03,1042.9037743383021
1999-02-04,1033.1481442705376
1999-02-05,1036.1118677287361
1999-02-08,1020.3036960039187
1999-02-09,968.7024099665688
1999-02-10,979.2755115489706
1999-02-11,978.8571968808199
1999-02-12,1019.7840302330932
1999-02-15,1019.7840302330932
1999-02-16,1020.2613759493727
1999-02-17,1020.2613759493727
1999-02-18,994.2827837833547
1999-02-19,954.5203853000728
1999-02-22,926.4436490702859
1999-02-23,918.763681980572
1999-02-24,905.1065430149271
1999-02-25,892.1717561416984
1999-02-26,928.9008042260086
1999-03-01,932.3298884089594
1999-03-02,954.419794401102
1999-03-03,947.8556071190089
1999-03-04,940.8421987916449
1999-03-05,950.2688099348021
1999-03-08,1009.3338500269812
1999-03-09,1007.1821608415128
1999-03-10,1012.0979041441313
1999-03-11,1032.7554546248448
1999-03-12,1051.1826771358362
1999-03-15,1060.8367607370747
1999-03-16,1075.3137786789268
1999-03-17,1074.0325542684066
1999-03-18,1040.1168261924988
1999-03-19,1080.628515140974
1999-03-22,1088.0669663703657
1999-03-23,1100.3865063002866
1999-03-24,1106.714900657804
1999-03-25,1106.1424218229427
1999-03-26,1105.5294282858274
1999-03-29,1092.4305911946797
1999-03-30,1123.5734887288197
1999-03-31,1122.5001332588972
1999-04-01,1162.5386420616774
1999-04-02,1193.2061500533644
1999-04-05,1191.6495827153412
1999-04-06,1245.922211370018
1999-04-07,1251.0636518126373
1999-04-08,1269.1223156658793
1999-04-09,1286.8355970193008
1999-04-12,1287.847061744878
1999-04-13,1291.1227219400396
1999-04-14,1298.8792102307095
1999-04-15,1359.5488033252336
1999-04-16,1357.834453874773
1999-04-19,1426.7939779348717
1999-04-20,1469.4240132194957
1999-04-21,1437.5362740074856
1999-04-22,1422.559416695412
1999-04-23,1453.276722736039
1999-04-26,1530.9859596905765
1999-04-27,1585.3527670241428
1999-04-28,1603.8438235725248
1999-04-29,1557.9130376733037
1999-04-30,1551.3319810257583
1999-05-03,1567.8208914199179
1999-05-04,1603.2156762829036
1999-05-05,1601.5428719462143
1999-05-06,1676.0956315865194
1999-05-07,1691.6106550560917
1999-05-10,1722.3779390696093
1999-05-11,1662.5427346229728
1999-05-12,1630.2992276683267
1999-05-13,1546.1727274544294
1999-05-14,1501.9275901678025
1999-05-17,1433.4903237342673
1999-05-18,1469.3623263557772
1999-05-19,1496.3383794447202
1999-05-20,1431.2167576101842
1999-05-21,1434.6384974934226
1999-05-24,1412.8857499082185
1999-05-25,1441.7630116704956
1999-05-26,1494.7680939207069
1999-05-27,1507.6651081117404
1999-05-28,1530.2718046239822
1999-05-31,1524.9501401803802
1999-06-01,1535.2589217483837
1999-06-02,1580.1834466668759
1999-06-03,1585.8455186764063
1999-06-04,1612.1698933301845
1999-06-07,1684.5622481053558
1999-06-08,1717.904897665786
1999-06-09,1644.0102523450144
1999-06-10,1721.6974779484926
1999-06-11,1716.121013154348
1999-06-14,1675.3884533963783
1999-06-15,1627.5178263470063
1999-06-16,1653.7612938222983
1999-06-17,1670.871348288328
1999-06-18,1668.3565356073873
1999-06-21,1708.0615628371904
1999-06-22,1738.2282128573809
1999-06-23,1763.622814829748
1999-06-24,1763.5475250303564
1999-06-25,1783.990095830192
1999-06-28,1801.816312189255
1999-06-29,1808.669479959674
1999-06-30,1798.965814591038
1999-07-01,1854.0974082084535
1999-07-02,1915.8165296833217
1999-07-05,1968.6382278277467
1999-07-06,1975.708138515947
1999-07-07,2007.458651867335
1999-07-08,2016.801917665879
1999-07-09,2073.089093811352
1999-07-12,2041.0216709609085
1999-07-13,1991.0200999894116
1999-07-14,1909.0409641467859
1999-07-15,1935.8701757251401
1999-07-16,2017.3510749862382
1999-07-19,2045.1153737054822
1999-07-20,2006.5042224474746
1999-07-21,1925.2979479784215
1999-07-22,1927.5682319208668
1999-07-23,1771.6778004884004
1999-07-26,1679.094819389498
1999-07-27,1783.331001947688
1999-07-28,1825.0209119361382
1999-07-29,1897.981646669692
1999-07-30,1857.3585477074616
1999-08-02,1839.8776566139702
1999-08-03,1875.2586258528781
