Date,INDIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1033.8467151575858
1999-01-05,1047.7410820305663
1999-01-06,1058.6528937660783
1999-01-07,1078.9043128747533
1999-01-08,1114.8557813089237
1999-01-11,1139.2626238277326
1999-01-12,1117.7713463961695
1999-01-13,1108.3793196874797
1999-01-14,1088.4688300718772
1999-01-15,1052.6329342689025
1999-01-18,1068.5739283393025
1999-01-19,1047.1545470453937
1999-01-20,1047.1545470453937
1999-01-21,1084.4837707932431
1999-01-22,1077.0778171268573
1999-01-25,1081.3175201954637
1999-01-26,1081.3175201954637
1999-01-27,1099.4223912768934
1999-01-28,1068.0153390766457
1999-01-29,1059.2690612377114
1999-02-01,1033.6605994654763
1999-02-02,1021.3130498678053
1999-02-03,1034.6162462007653
1999-02-04,1021.3179031358466
1999-02-05,1010.3564506130807
1999-02-08,1002.6196065946542
1999-02-09,1014.1614246442612
1999-02-10,1027.41472006582
1999-02-11,1037.611838702935
1999-02-12,1042.246799320042
1999-02-15,1038.2298506368231
1999-02-16,1054.3996276384883
1999-02-17,1060.5482419141558
1999-02-18,1065.8433585575815
1999-02-19,1061.2886567009502
1999-02-22,1052.4553973660218
1999-02-23,1046.1909393141877
1999-02-24,1047.1649432175286
1999-02-25,1042.435837806392
1999-02-26,1022.3141687640656
1999-03-01,1080.093054378134
1999-03-02,1080.0930543781342
1999-03-03,1108.418612593454
1999-03-04,1084.8342377376205
1999-03-05,1091.2601445593648
1999-03-08,1117.1472696558628
1999-03-09,1125.5768530885507
1999-03-10,1125.5272445688315
1999-03-11,1100.301791610193
1999-03-12,1104.2625153752058
1999-03-15,1121.659887689261
1999-03-16,1113.751739450555
1999-03-17,1102.222033542414
1999-03-18,1102.222033542414
1999-03-19,1109.9463803022697
1999-03-22,1149.1414623266028
1999-03-23,1168.9627614251212
1999-03-24,1144.0963716722913
1999-03-25,1144.0963716722913
1999-03-26,1111.6725903164327
1999-03-29,1111.6725903164327
1999-03-30,1128.6240605415878
1999-03-31,1148.602191098006
1999-04-01,1142.4816503349373
1999-04-02,1142.4816503349373
1999-04-05,1089.975771819357
1999-04-06,1088.6099221560314
1999-04-07,1080.679964879433
1999-04-08,1066.5857108490686
1999-04-09,1031.4689557771437
1999-04-12,1035.155158591075
1999-04-13,1021.1982207539049
1999-04-14,1021.1982207539049
1999-04-15,987.0593829591418
1999-04-16,1048.5362383206063
1999-04-19,1007.2863258826594
1999-04-20,1014.0108765463592
1999-04-21,1019.5816464456057
1999-04-22,1003.7703804233522
1999-04-23,995.5673220806102
1999-04-26,940.7935646149454
1999-04-27,941.2330337564216
1999-04-28,962.5585075502951
1999-04-29,983.367740608061
1999-04-30,983.8849396301199
1999-05-03,998.3327787120343
1999-05-04,1034.0258821433079
1999-05-05,1050.6553718416005
1999-05-06,1074.5563858838186
1999-05-07,1096.5667152014723
1999-05-10,1139.7945714807036
1999-05-11,1174.4800181204378
1999-05-12,1144.128902126694
1999-05-13,1187.254212081848
1999-05-14,1210.0935502428208
1999-05-17,1211.4125879587125
1999-05-18,1237.2420711401182
1999-05-19,1273.0888799008694
1999-05-20,1249.5786737637902
1999-05-21,1205.172066025745
1999-05-24,1209.3908811582353
1999-05-25,1232.0084039655087
1999-05-26,1196.3035601167533
1999-05-27,1157.968495197918
1999-05-28,1120.6451295957665
1999-05-31,1186.8759297219985
1999-06-01,1171.4918316539204
1999-06-02,1177.2410480751296
1999-06-03,1197.1915200787294
1999-06-04,1228.8572943608085
1999-06-07,1248.153968725865
1999-06-08,1266.1335161142283
1999-06-09,1260.5445042518643
1999-06-10,1262.7589362452306
1999-06-11,1234.2689373246972
1999-06-14,1220.2234125459916
1999-06-15,1196.0789588869716
1999-06-16,1229.8820489481418
1999-06-17,1250.8446594682532
1999-06-18,1249.1550213693722
1999-06-21,1296.6412362014582
1999-06-22,1309.3226551375624
1999-06-23,1293.1773846881947
1999-06-24,1277.9692988639285
1999-06-25,1278.8325250348812
1999-06-28,1305.9090380140128
1999-06-29,1307.3281661661965
1999-06-30,1299.7181852743533
1999-07-01,1282.2372374530694
1999-07-02,1297.464696674884
1999-07-05,1357.5453533467646
1999-07-06,1382.719213139961
1999-07-07,1391.3602497477332
1999-07-08,1400.4114849796588
1999-07-09,1448.2728064080154
1999-07-12,1542.1446778145407
1999-07-13,1542.313802944498
1999-07-14,1558.7609082112633
1999-07-15,1528.620991848577
1999-07-16,1516.1040170145816
1999-07-19,1543.188311794409
1999-07-20,1512.008860204005
1999-07-21,1536.116718051271
1999-07-22,1537.2281028738662
1999-07-23,1508.8456223877067
1999-07-26,1492.7432511929528
1999-07-27,1480.9575058376868
1999-07-28,1481.0361388749566
1999-07-29,1468.1134771194595
1999-07-30,1439.0332555884022
1999-08-02,1414.4285573109696
1999-08-03,1429.8258713880405
