Date,MEXICO EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,978.9769159392707
1999-01-05,970.1145787379453
1999-01-06,950.4534454914951
1999-01-07,943.6975906140144
1999-01-08,935.3583109866727
1999-01-11,908.0507221453023
1999-01-12,863.9844306025695
1999-01-13,789.2958109095539
1999-01-14,778.9953741787973
1999-01-15,872.2012413351038
1999-01-18,883.9983627977674
1999-01-19,871.9707721384156
1999-01-20,907.243111482717
1999-01-21,887.4906566454234
1999-01-22,884.7487667091528
1999-01-25,885.0907842851631
1999-01-26,907.2374793555792
1999-01-27,915.4364719492398
1999-01-28,951.4320895971433
1999-01-29,961.8710713845404
1999-02-01,987.6641378647223
1999-02-02,984.2037298559986
1999-02-03,993.4811668080023
1999-02-04,990.279230925219
1999-02-05,992.0006003358167
1999-02-08,988.6087556994715
1999-02-09,974.7959391313284
1999-02-10,980.6981733103011
1999-02-11,1018.9075207314686
1999-02-12,1020.5230019831216
1999-02-15,1023.1818281699217
1999-02-16,1033.1238502838878
1999-02-17,1024.0403488825818
1999-02-18,1032.7123409669264
1999-02-19,1038.6893540815624
1999-02-22,1042.7020559281762
1999-02-23,1035.779711985619
1999-02-24,1045.7849692998534
1999-02-25,1052.166533265538
1999-02-26,1055.2542775823022
1999-03-01,1041.676354298013
1999-03-02,1029.9312437830201
1999-03-03,1019.3802587852902
1999-03-04,1038.0066293697464
1999-03-05,1060.5888559007071
1999-03-08,1100.031266534894
1999-03-09,1122.7470770432658
1999-03-10,1155.5216175973555
1999-03-11,1156.3464892739653
1999-03-12,1159.8831334316092
1999-03-15,1193.2806228750885
1999-03-16,1233.4449430901388
1999-03-17,1225.2955791173258
1999-03-18,1228.5110299089483
1999-03-19,1206.7700313184605
1999-03-22,1188.9382820462833
1999-03-23,1171.4294351501842
1999-03-24,1204.1004853319694
1999-03-25,1217.1746544318808
1999-03-26,1206.9041508512846
1999-03-29,1229.8758438808497
1999-03-30,1239.024832412668
1999-03-31,1258.084755527702
1999-04-01,1256.6323067125463
1999-04-02,1259.6730792590363
1999-04-05,1309.7225641289408
1999-04-06,1307.6963505779383
1999-04-07,1297.2102861320657
1999-04-08,1305.0702327887416
1999-04-09,1307.884500685811
1999-04-12,1332.0272093794886
1999-04-13,1337.2293136668782
1999-04-14,1327.5181180513136
1999-04-15,1389.3463716227277
1999-04-16,1425.9732345112063
1999-04-19,1426.9157629238528
1999-04-20,1401.1168624810573
1999-04-21,1386.420579193449
1999-04-22,1426.3432122689194
1999-04-23,1421.198085769147
1999-04-26,1398.9629288477056
1999-04-27,1387.5667262402478
1999-04-28,1406.6293230070062
1999-04-29,1420.7454027987906
1999-04-30,1386.4109555611603
1999-05-03,1418.4510788338237
1999-05-04,1414.7614842927717
1999-05-05,1414.7614842927717
1999-05-06,1469.7053929228039
1999-05-07,1503.8818212196136
1999-05-10,1544.6098600238297
1999-05-11,1530.7080663612112
1999-05-12,1515.0216793061425
1999-05-13,1566.0721591392119
1999-05-14,1515.3311106604338
1999-05-17,1503.9072824781226
1999-05-18,1515.9359640004998
1999-05-19,1484.7416803647104
1999-05-20,1494.567032346053
1999-05-21,1434.512776001954
1999-05-24,1387.7531663923937
1999-05-25,1341.2070672724064
1999-05-26,1373.9196683632526
1999-05-27,1291.8550876051281
1999-05-28,1294.643868990496
1999-05-31,1307.842938708827
1999-06-01,1291.8807563955686
1999-06-02,1281.941332712809
1999-06-03,1289.8855671962724
1999-06-04,1317.0853915232574
1999-06-07,1349.5078234155635
1999-06-08,1340.9074560626557
1999-06-09,1331.5578898234965
1999-06-10,1324.567281293089
1999-06-11,1293.7677319289471
1999-06-14,1273.0307742030066
1999-06-15,1306.9110176137458
1999-06-16,1386.672836181763
1999-06-17,1407.426295252943
1999-06-18,1414.8343503675892
1999-06-21,1433.6999849280949
1999-06-22,1431.5117205912286
1999-06-23,1393.4026406142511
1999-06-24,1364.0447411997595
1999-06-25,1337.7544170887256
1999-06-28,1364.364207682694
1999-06-29,1382.4412777909251
1999-06-30,1435.1686522237164
1999-07-01,1430.5276781776345
1999-07-02,1448.2141328615005
1999-07-05,1461.1910698468214
1999-07-06,1454.168366286763
1999-07-07,1459.765930332989
1999-07-08,1445.285962723532
1999-07-09,1441.891015624168
1999-07-12,1402.0675884547568
1999-07-13,1423.5889691225093
1999-07-14,1429.686462510719
1999-07-15,1430.0205005243017
1999-07-16,1408.9113133498954
1999-07-19,1427.2436963087487
1999-07-20,1400.8109949650018
1999-07-21,1405.9708546876748
1999-07-22,1382.6050660406102
1999-07-23,1333.874020655933
1999-07-26,1294.3390074272697
1999-07-27,1299.5719724329758
1999-07-28,1315.8412861127663
1999-07-29,1267.0440979092261
1999-07-30,1265.1854010306881
1999-08-02,1238.9915371013658
1999-08-03,1248.5628367139068
1999-08-04,1234.3431305543832
