Date,COLOMBIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1009.4032679336719
1999-01-05,1006.0770178246936
1999-01-06,1018.5335861034262
1999-01-07,1008.042733404888
1999-01-08,989.1121005131586
1999-01-11,989.1121005131586
1999-01-12,949.5940199378053
1999-01-13,904.0284816671785
1999-01-14,889.386197295981
1999-01-15,894.316163463663
1999-01-18,897.637253280271
1999-01-19,874.1722310925064
1999-01-20,894.5101844298164
1999-01-21,877.4727795895893
1999-01-22,868.1432446382356
1999-01-25,856.4551620427294
1999-01-26,808.8030410923442
1999-01-27,836.5043134833217
1999-01-28,797.4282900171364
1999-01-29,777.9750556220582
1999-02-01,772.6748311435726
1999-02-02,765.5523164923006
1999-02-03,752.1049437369612
1999-02-04,743.0476910821627
1999-02-05,755.1208357729329
1999-02-08,753.3314440492695
1999-02-09,770.1281495745783
1999-02-10,799.4139729073689
1999-02-11,821.0635908219191
1999-02-12,831.7135130768914
1999-02-15,832.5054973522984
1999-02-16,828.9486600851535
1999-02-17,837.2652040414359
1999-02-18,852.7888569516839
1999-02-19,863.0923610589388
1999-02-22,860.5352532018784
1999-02-23,860.3100014776917
1999-02-24,837.6343576536212
1999-02-25,823.4340257869986
1999-02-26,833.4397009193145
1999-03-01,824.0167925084119
1999-03-02,815.1956157751239
1999-03-03,828.3905158175019
1999-03-04,825.2627699845074
1999-03-05,828.8192921669956
1999-03-08,833.7225176337278
1999-03-09,833.2509628127125
1999-03-10,829.1894113000864
1999-03-11,817.1880639623112
1999-03-12,823.9890031616759
1999-03-15,825.0484744066814
1999-03-16,836.1299741226682
1999-03-17,846.1384023403768
1999-03-18,849.2029548990074
1999-03-19,860.9996726580338
1999-03-22,860.9996726580338
1999-03-23,866.4020041773082
1999-03-24,868.4608885881077
1999-03-25,885.9427149278733
1999-03-26,879.241241880547
1999-03-29,880.8481318247048
1999-03-30,870.5896701578689
1999-03-31,873.6402394484182
1999-04-01,873.6402394484182
1999-04-02,873.6402394484182
1999-04-05,874.278400603314
1999-04-06,867.4476996218751
1999-04-07,866.1107199483251
1999-04-08,879.1477745780304
1999-04-09,897.5055603809346
1999-04-12,953.6317169289647
1999-04-13,975.1582245400822
1999-04-14,991.838008397301
1999-04-15,970.6828044799433
1999-04-16,988.3682366596356
1999-04-19,1036.8860791770037
1999-04-20,1034.4661241810743
1999-04-21,1030.4473281782914
1999-04-22,1046.9464329610134
1999-04-23,1071.3209567089966
1999-04-26,1104.1934990573716
1999-04-27,1132.8128945597855
1999-04-28,1127.752877029905
1999-04-29,1148.6316470985746
1999-04-30,1149.5782144309246
1999-05-03,1179.941435338902
1999-05-04,1228.422682157998
1999-05-05,1200.7771939179704
1999-05-06,1143.7406340099576
1999-05-07,1202.4978594993042
1999-05-10,1218.8270719347531
1999-05-11,1219.8105498108007
1999-05-12,1250.8282542367258
1999-05-13,1261.38036664553
1999-05-14,1251.826510469102
1999-05-17,1255.61992413719
1999-05-18,1239.8479782894476
1999-05-19,1213.713312143232
1999-05-20,1186.487478045761
1999-05-21,1154.4842155615154
1999-05-24,1143.8273169061886
1999-05-25,1090.1539238603302
1999-05-26,1027.0741140711152
1999-05-27,1091.8359067956267
1999-05-28,1124.8742396844686
1999-05-31,1104.4727338334421
1999-06-01,1067.7369591920085
1999-06-02,1049.5838871161372
1999-06-03,1048.6628775652657
1999-06-04,1027.00909729637
1999-06-07,1028.8133826280662
1999-06-08,1008.7862821921362
1999-06-09,988.2643104258004
1999-06-10,945.2232941482039
1999-06-11,912.3725470778288
1999-06-14,913.1404828110784
1999-06-15,899.5304935693775
1999-06-16,878.7192706245886
1999-06-17,895.1669140715078
1999-06-18,920.657766068984
1999-06-21,911.4929303892187
1999-06-22,895.0045354007415
1999-06-23,874.5089288088171
1999-06-24,859.4547536699039
1999-06-25,840.7121305306106
1999-06-28,863.1511127488133
1999-06-29,868.3936266641302
1999-06-30,858.5421916226871
1999-07-01,851.4811471038009
1999-07-02,858.8560756385504
1999-07-05,858.8560756385504
1999-07-06,832.3704206266206
1999-07-07,824.1292624700358
1999-07-08,784.8209435211363
1999-07-09,773.8977503290429
1999-07-12,746.05614751612
1999-07-13,745.8986303748401
1999-07-14,751.4204614472545
1999-07-15,808.8107351789199
1999-07-16,837.5172232067346
1999-07-19,834.39134154295
1999-07-20,834.39134154295
1999-07-21,845.0071962603245
1999-07-22,830.0495910002419
1999-07-23,803.2486305665642
1999-07-26,800.745653879868
1999-07-27,804.8317669708899
1999-07-28,801.1835351430594
1999-07-29,805.8764601903887
1999-07-30,792.7555707437298
1999-08-02,792.3410335816365
1999-08-03,768.8723352169126
1999-08-04,741.7749756290019
1999-08-05,721.0619229502729
1999-08-06,727.4102613090513
1999-08-09,715.2262764104789
1999-08-10,718.9769512206591
1999-08-11,724.5531449568108
