Date,CHINA ALL SHARES EQUAL WEIGHTED
2008-11-25,1000.0
2008-11-26,1019.3349311902415
2008-11-27,1044.1644910400141
2008-11-28,1048.6818916488317
2008-12-01,1074.274640824588
2008-12-02,1051.3552461919235
2008-12-03,1092.937469459225
2008-12-04,1090.4817540548297
2008-12-05,1114.4596710043363
2008-12-08,1182.7904760520232
2008-12-09,1167.0510126729725
2008-12-10,1214.3035836768547
2008-12-11,1197.5226784196363
2008-12-12,1135.6983862006082
2008-12-15,1154.2131590852732
2008-12-16,1170.4911354694977
2008-12-17,1206.5167756153214
2008-12-18,1241.02576729721
2008-12-19,1238.3695232260354
2008-12-22,1204.3456214150242
2008-12-23,1143.9688866200243
2008-12-24,1140.23918902788
2008-12-25,1135.9105047040978
2008-12-26,1132.6843370173046
2008-12-29,1144.633650255126
2008-12-30,1142.1522866705998
2008-12-31,1147.6732641585334
2009-01-01,1147.6732641585334
2009-01-02,1172.6085504673772
2009-01-05,1216.8878128048616
2009-01-06,1233.5912564832245
2009-01-07,1214.2586012546053
2009-01-08,1159.4129884860272
2009-01-09,1167.9861865330645
2009-01-12,1139.9469920930699
2009-01-13,1112.70355723131
2009-01-14,1147.0136056456265
2009-01-15,1127.5636234109722
2009-01-16,1147.3750712668339
2009-01-19,1157.2974778131422
2009-01-20,1144.7209533107862
2009-01-21,1126.6036491932493
2009-01-22,1136.810462276469
2009-01-23,1124.2972316220353
2009-01-26,1124.3198752266226
2009-01-27,1124.0784337110158
2009-01-28,1124.157634754835
2009-01-29,1148.113842651531
2009-01-30,1162.0105954584085
2009-02-02,1152.1130862048226
2009-02-03,1167.5318151720126
2009-02-04,1203.8254016578564
2009-02-05,1209.4096687909644
2009-02-06,1250.195734781518
2009-02-09,1275.2495724827227
2009-02-10,1287.5558798837124
2009-02-11,1275.5097138058738
2009-02-12,1259.566805465459
2009-02-13,1297.0820165863174
2009-02-16,1311.893328199666
2009-02-17,1268.5403542896702
2009-02-18,1244.3920189565456
2009-02-19,1263.9217975251538
2009-02-20,1257.6278009839616
2009-02-23,1284.8024465182514
2009-02-24,1238.319966983489
2009-02-25,1239.8978825412717
2009-02-26,1190.1652988654994
2009-02-27,1167.9648172240195
2009-03-02,1153.5848465192748
2009-03-03,1156.1586975505404
2009-03-04,1219.0539864431476
2009-03-05,1217.9580874257385
2009-03-06,1208.0248256475832
2009-03-09,1184.7976692999941
2009-03-10,1205.0777652776758
2009-03-11,1210.916252036901
2009-03-12,1205.665577311126
2009-03-13,1220.6773742556356
2009-03-16,1254.2770220774205
2009-03-17,1267.1662218919512
2009-03-18,1281.0306378449468
2009-03-19,1308.1266234994328
2009-03-20,1294.2463654779178
2009-03-23,1349.372541290363
2009-03-24,1368.3056210869352
2009-03-25,1339.9402085918357
2009-03-26,1378.2997684339068
2009-03-27,1396.359856571398
2009-03-30,1357.1623945234385
2009-03-31,1372.7214137316864
2009-04-01,1401.5773840251795
2009-04-02,1449.1242511447153
2009-04-03,1446.5493010384573
2009-04-06,1455.3038298371434
2009-04-07,1443.4020325479394
2009-04-08,1396.8429996797054
2009-04-09,1431.9551400236635
2009-04-10,1453.526837861638
2009-04-13,1471.7107295229798
2009-04-14,1517.8274126291572
2009-04-15,1535.6502447811113
2009-04-16,1531.6018453345591
2009-04-17,1513.0483606685134
2009-04-20,1539.6076478060681
2009-04-21,1516.8800988224673
2009-04-22,1475.2083473447663
2009-04-23,1498.782455282272
2009-04-24,1503.9540580354155
2009-04-27,1450.7734202151878
2009-04-28,1433.8427986437148
2009-04-29,1487.2228258860664
2009-04-30,1526.157362629597
2009-05-01,1526.1679466278167
2009-05-04,1603.2810787181127
2009-05-05,1612.5443390069445
2009-05-06,1646.5158556314932
2009-05-07,1649.4741222703306
2009-05-08,1660.9098798185196
2009-05-11,1620.6741403324786
2009-05-12,1633.0724978853636
2009-05-13,1651.6911165925724
2009-05-14,1633.776909807918
2009-05-15,1658.8784903928672
2009-05-18,1679.973222517832
2009-05-19,1708.194167795343
2009-05-20,1699.7823628945025
2009-05-21,1678.4949561637748
2009-05-22,1662.802412758802
2009-05-25,1686.6588013035832
2009-05-26,1678.3545321542642
2009-05-27,1721.3012736405744
2009-05-28,1721.3140588691172
2009-05-29,1744.4794185026494
2009-06-01,1817.781795394721
2009-06-02,1805.598738115776
2009-06-03,1841.900527246147
2009-06-04,1830.9457068390927
2009-06-05,1839.1856878769488
2009-06-08,1823.1783516156195
2009-06-09,1810.6758233507664
2009-06-10,1851.5139424828938
2009-06-11,1843.6376424406
2009-06-12,1823.6316585377626
2009-06-15,1816.457301938894
2009-06-16,1791.893593854535
2009-06-17,1812.5734634222092
2009-06-18,1814.3472573107324
2009-06-19,1827.0843858873084
2009-06-22,1837.4735673176212
2009-06-23,1815.7893480546102
2009-06-24,1859.226538796564
2009-06-25,1872.8651656430857
2009-06-26,1896.9742119706466
2009-06-29,1914.953684642771
2009-06-30,1895.8453077052886
2009-07-01,1913.906827086574
2009-07-02,1927.9881367189255
2009-07-03,1943.5832497619933
2009-07-06,1955.6342998952484
2009-07-07,1936.4690042921227
2009-07-08,1929.0674042772498
2009-07-09,1953.3607385725898
2009-07-10,1957.3363929455672
2009-07-13,1929.0467760137587
2009-07-14,1982.5497167013186
2009-07-15,2020.32499562403
2009-07-16,2024.027619710395
2009-07-17,2045.3221487218368
2009-07-20,2094.946154562147
2009-07-21,2081.9966787418807
2009-07-22,2096.4157875614314
2009-07-23,2129.830453395375
2009-07-24,2145.841204294163
2009-07-27,2199.346652450033
2009-07-28,2224.654615919611
2009-07-29,2126.3832978783166
2009-07-30,2144.150373587986
2009-07-31,2203.1052028831286
2009-08-03,2253.201197606475
2009-08-04,2254.2223813699443
2009-08-05,2224.687671353859
2009-08-06,2201.7782865480594
2009-08-07,2124.9747058726416
2009-08-10,2143.773745190499
2009-08-11,2153.871601000522
2009-08-12,2074.459530384726
2009-08-13,2104.123391114165
2009-08-14,2069.2826387320256
2009-08-17,1957.952360368702
2009-08-18,1969.9119977755024
2009-08-19,1906.4144768608953
2009-08-20,1965.0846789073107
2009-08-21,1987.632951206688
2009-08-24,2020.1830543705057
2009-08-25,1982.1690697105698
2009-08-26,1999.5542017936618
2009-08-27,1977.6129768816165
2009-08-28,1931.5823531303245
2009-08-31,1847.1901422070607
2009-09-01,1859.1918957472183
2009-09-02,1854.7902300436763
2009-09-03,1934.9945053478064
2009-09-04,1970.903377611527
2009-09-07,1996.173233061374
2009-09-08,2028.9571280002976
2009-09-09,2030.9097422942514
2009-09-10,2030.4934548400267
2009-09-11,2052.530556666277
2009-09-14,2061.6849198872133
2009-09-15,2057.62824170498
2009-09-16,2062.132456145317
2009-09-17,2095.0451449009215
2009-09-18,2050.5288836222694
2009-09-21,2042.40684706784
2009-09-22,2023.6517741620519
2009-09-23,1996.480361450872
2009-09-24,1975.887942590769
2009-09-25,1970.8687927378016
2009-09-28,1919.116103222422
2009-09-29,1933.1153320235792
2009-09-30,1939.7782987167427
2009-10-01,1939.7782987167432
2009-10-02,1923.9706043591934
2009-10-05,1927.4150637572423
2009-10-06,1956.9828135306805
2009-10-07,1976.7045248347522
2009-10-08,1984.8754163484814
2009-10-09,2037.7834485963442
2009-10-12,2025.6237815037998
2009-10-13,2046.0116183258633
2009-10-14,2071.2100115931958
2009-10-15,2077.801577528922
2009-10-16,2075.0448742708945
2009-10-19,2123.3011724897315
2009-10-20,2144.666707744554
2009-10-21,2149.8813871805332
2009-10-22,2142.136291378836
2009-10-23,2174.751097877816
2009-10-26,2171.830291489958
2009-10-27,2124.2988693680136
2009-10-28,2111.302484976311
2009-10-29,2058.26454105685
2009-10-30,2086.3991467210067
2009-11-02,2118.8186027781962
2009-11-03,2123.107446594695
2009-11-04,2148.3085765347264
2009-11-05,2152.739688509371
2009-11-06,2174.781319735156
2009-11-09,2194.757232713766
2009-11-10,2199.0731402419697
2009-11-11,2204.0279751963953
2009-11-12,2214.5064207584464
2009-11-13,2225.5723577368126
2009-11-16,2278.6280776493895
2009-11-17,2281.3376519324497
2009-11-18,2272.159453012141
2009-11-19,2271.4233636712793
2009-11-20,2258.336034406717
2009-11-23,2279.195059318617
2009-11-24,2240.359322619291
2009-11-25,2278.3519479441047
2009-11-26,2230.8414506221047
2009-11-27,2148.0334580750027
2009-11-30,2234.383587552397
2009-12-01,2271.0963138363572
2009-12-02,2300.157783712414
2009-12-03,2320.0282017918366
2009-12-04,2329.1534813112507
2009-12-07,2333.612584814063
2009-12-08,2317.8356106712386
2009-12-09,2277.51565336843
2009-12-10,2272.4813841161595
2009-12-11,2283.0553274834633
2009-12-14,2304.956511172637
2009-12-15,2283.086325883131
2009-12-16,2253.0204626011355
2009-12-17,2208.0730512924115
2009-12-18,2153.767648135993
2009-12-21,2151.8917600699697
2009-12-22,2133.054903116405
2009-12-23,2160.4086846218097
2009-12-24,2204.3569297123445
2009-12-25,2201.93093112438
2009-12-28,2224.3687288962524
2009-12-29,2226.9944938514645
2009-12-30,2240.0759636961166
2009-12-31,2263.3200697678085
2010-01-01,2263.3200697678085
2010-01-04,2258.302904418213
2010-01-05,2296.562596512095
2010-01-06,2298.986504642105
2010-01-07,2272.8256406421983
2010-01-08,2276.8701233508054
2010-01-11,2285.0449673111602
2010-01-12,2302.785932385336
2010-01-13,2234.7057929880452
2010-01-14,2258.5332687977198
2010-01-15,2265.4465925775803
2010-01-18,2262.1161355983304
2010-01-19,2277.372209954298
2010-01-20,2233.9476894644113
2010-01-21,2199.8010576609795
2010-01-22,2166.70140742207
2010-01-25,2144.3553018360412
2010-01-26,2070.9880931928064
2010-01-27,2045.1541310631292
2010-01-28,2063.9033489100875
2010-01-29,2052.8210444014353
2010-02-01,2046.7390652685467
2010-02-02,2052.6174621834966
2010-02-03,2107.274956325912
2010-02-04,2082.153206842709
2010-02-05,2013.9188929585166
2010-02-08,2001.7186877195595
2010-02-09,2013.197084640521
2010-02-10,2044.40211419692
2010-02-11,2067.982955342287
2010-02-12,2079.796508735037
2010-02-15,2079.6412681991133
2010-02-16,2079.810623690397
2010-02-17,2091.851674099022
2010-02-18,2088.0089239040067
2010-02-19,2059.13918675217
2010-02-22,2078.396842704746
2010-02-23,2082.3610009821123
2010-02-24,2098.42378391184
2010-02-25,2106.225435175124
2010-02-26,2114.610911243794
2010-03-01,2153.8029029579634
2010-03-02,2151.3769463452923
2010-03-03,2165.4373572697373
2010-03-04,2121.6703173158976
2010-03-05,2139.6054823255313
2010-03-08,2174.1184488395375
2010-03-09,2185.592721372498
2010-03-10,2182.519614925268
2010-03-11,2178.533437034478
2010-03-12,2159.4543960038877
2010-03-15,2129.8092469072744
2010-03-16,2131.9286963420004
2010-03-17,2173.122609540684
2010-03-18,2173.572304538934
2010-03-19,2188.092321554105
2010-03-22,2174.214833106739
2010-03-23,2159.024055870659
2010-03-24,2156.6328591571187
2010-03-25,2140.685796498871
2010-03-26,2167.060189540567
2010-03-29,2206.5808784852925
2010-03-30,2215.7981948461033
2010-03-31,2198.4210911989203
2010-04-01,2238.625397155336
2010-04-02,2247.338458167707
2010-04-05,2247.513837736756
2010-04-06,2245.288969470476
2010-04-07,2264.6820273837316
2010-04-08,2239.225316438195
2010-04-09,2254.8856619519493
2010-04-12,2230.322122341068
2010-04-13,2229.3263053293413
2010-04-14,2234.869823342359
2010-04-15,2229.484034992241
2010-04-16,2199.711772038733
2010-04-19,2108.997350210646
2010-04-20,2119.2373903627295
2010-04-21,2146.093046114593
2010-04-22,2132.344448946047
2010-04-23,2123.0641857527385
2010-04-26,2135.0405073635793
2010-04-27,2096.102042799317
2010-04-28,2078.412011037176
2010-04-29,2061.271746134025
2010-04-30,2083.631523348891
2010-05-03,2064.9561344287654
2010-05-04,2042.484013217073
2010-05-05,2015.1206932635282
2010-05-06,1937.2971337906215
2010-05-07,1905.2130449726528
2010-05-10,1943.8154250600408
2010-05-11,1918.2641430131928
2010-05-12,1920.1738076206161
2010-05-13,1960.0440867390837
2010-05-14,1940.92888877532
2010-05-17,1855.0214471733009
2010-05-18,1885.6397022170484
2010-05-19,1850.3358553316505
2010-05-20,1820.3825247785653
2010-05-21,1834.3343280387594
2010-05-24,1894.4072592539183
2010-05-25,1825.8972350810564
2010-05-26,1856.0959836776522
2010-05-27,1903.1868578776616
2010-05-28,1920.6010672895484
2010-05-31,1899.8286808057373
2010-06-01,1863.4938070767325
2010-06-02,1863.7130711200796
