Date,INDIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1028.8960973589246
1999-01-05,1044.0955281320425
1999-01-06,1060.6852905331207
1999-01-07,1085.560506741938
1999-01-08,1133.1914314667852
1999-01-11,1159.8570626233006
1999-01-12,1137.1392709601055
1999-01-13,1112.0728125287503
1999-01-14,1092.375987104741
1999-01-15,1066.4833676145458
1999-01-18,1081.9806289147418
1999-01-19,1059.4246558980344
1999-01-20,1062.72090823046
1999-01-21,1099.4173079978984
1999-01-22,1092.0036494225628
1999-01-25,1098.1984934176812
1999-01-26,1097.1072692699038
1999-01-27,1122.3130861139634
1999-01-28,1098.3683761698644
1999-01-29,1095.2729231351054
1999-02-01,1073.7104329446993
1999-02-02,1056.2128220593336
1999-02-03,1070.7721902884264
1999-02-04,1062.2520352145862
1999-02-05,1051.177125001028
1999-02-08,1046.6050964919307
1999-02-09,1053.8752680429413
1999-02-10,1065.620045963246
1999-02-11,1078.4825860561375
1999-02-12,1085.1731726383753
1999-02-15,1084.9832261916874
1999-02-16,1107.4496983492797
1999-02-17,1108.651983501912
1999-02-18,1115.279418807913
1999-02-19,1123.1744447128033
1999-02-22,1120.2372646456229
1999-02-23,1118.7921410588633
1999-02-24,1122.5940882578018
1999-02-25,1107.6647204272517
1999-02-26,1093.557196694333
1999-03-01,1160.012136190171
1999-03-02,1160.6490680425752
1999-03-03,1192.178205484647
1999-03-04,1176.3474038816148
1999-03-05,1180.97066932292
1999-03-08,1205.430904106039
1999-03-09,1213.968881505608
1999-03-10,1206.4357525649934
1999-03-11,1192.8443694763137
1999-03-12,1184.8862417684795
1999-03-15,1203.4988332594248
1999-03-16,1198.9026722737444
1999-03-17,1175.7669175937315
1999-03-18,1178.0678313267913
1999-03-19,1192.947267465965
1999-03-22,1237.4518429428338
1999-03-23,1259.6627719587486
1999-03-24,1230.1576453037158
1999-03-25,1235.645127096977
1999-03-26,1216.1184452944578
1999-03-29,1218.0475311925645
1999-03-30,1231.450290922653
1999-03-31,1249.3017070181857
1999-04-01,1240.8630420439347
1999-04-02,1243.6237106890385
1999-04-05,1193.7176366898711
1999-04-06,1187.8457474252841
1999-04-07,1175.424646868909
1999-04-08,1156.025725461066
1999-04-09,1123.9293103710027
1999-04-12,1120.614865839006
1999-04-13,1111.294203901833
1999-04-14,1109.1869491446423
1999-04-15,1080.4516247399413
1999-04-16,1150.103851149383
1999-04-19,1114.4878622139947
1999-04-20,1117.3483524464527
1999-04-21,1128.6766423179376
1999-04-22,1112.3270600784422
1999-04-23,1098.210359749325
1999-04-26,1041.949392359443
1999-04-27,1037.8842049849545
1999-04-28,1062.9966401682818
1999-04-29,1090.2837970059634
1999-04-30,1092.0429985922476
1999-05-03,1109.3373696736278
1999-05-04,1144.558506958363
1999-05-05,1155.3421083345033
1999-05-06,1170.6618139110951
1999-05-07,1193.588677535529
1999-05-10,1238.9186110906378
1999-05-11,1285.7851587524929
1999-05-12,1258.7186614721227
1999-05-13,1311.8167570332723
1999-05-14,1327.9928517501237
1999-05-17,1332.553846754584
1999-05-18,1362.3062516163754
1999-05-19,1402.697271614915
1999-05-20,1381.0049483925934
1999-05-21,1340.6975496477958
1999-05-24,1343.1639479807598
1999-05-25,1363.5759162604254
1999-05-26,1340.675181778104
1999-05-27,1300.1333895741789
1999-05-28,1258.4684583061528
1999-05-31,1336.423321164172
1999-06-01,1314.500031839098
1999-06-02,1334.5323171330028
1999-06-03,1357.869354247511
1999-06-04,1400.3451675512438
1999-06-07,1423.370688332861
1999-06-08,1425.9409018339159
1999-06-09,1419.1020412422718
1999-06-10,1413.5990093769599
1999-06-11,1381.2449248580247
1999-06-14,1373.3141727916138
1999-06-15,1348.4021865140421
1999-06-16,1400.0862782136262
1999-06-17,1423.673879403505
1999-06-18,1412.3732933830681
1999-06-21,1475.6551382143462
1999-06-22,1491.8223634730084
1999-06-23,1472.7121947144922
1999-06-24,1450.4692143736402
1999-06-25,1434.8070824787017
1999-06-28,1478.3935289351211
1999-06-29,1485.010978593138
1999-06-30,1479.945773632397
1999-07-01,1469.4452506507266
1999-07-02,1490.8243261123173
1999-07-05,1558.181546520149
1999-07-06,1584.0566205166824
1999-07-07,1598.0093635233525
1999-07-08,1615.436108097023
1999-07-09,1669.0066665926806
1999-07-12,1786.125549069117
1999-07-13,1779.1266595683257
1999-07-14,1793.25462571478
1999-07-15,1751.8867847727813
1999-07-16,1742.3029379324448
1999-07-19,1781.0977738594304
1999-07-20,1705.5488992262758
1999-07-21,1717.7269366457526
1999-07-22,1720.5262353330195
1999-07-23,1692.7123073361656
1999-07-26,1644.7909943824009
1999-07-27,1636.411359019388
1999-07-28,1638.579814456982
1999-07-29,1608.8961740620864
1999-07-30,1578.8692365098632
1999-08-02,1557.768461285318
1999-08-03,1574.50464620191
