Date,CHINA ALL SHARES EQUAL WEIGHTED
2008-11-25,1000.0
2008-11-26,1026.885560310169
2008-11-27,1053.2879041301467
2008-11-28,1073.3927345523703
2008-12-01,1107.751104365031
2008-12-02,1073.8019059914836
2008-12-03,1118.55891047133
2008-12-04,1111.8838924214265
2008-12-05,1141.800284531381
2008-12-08,1188.142055219744
2008-12-09,1175.467898611599
2008-12-10,1214.3503326117411
2008-12-11,1175.5290263256168
2008-12-12,1103.1673502336025
2008-12-15,1096.5088329882988
2008-12-16,1104.7809939666317
2008-12-17,1093.8321849568474
2008-12-18,1113.2674424599347
2008-12-19,1154.4190466649738
2008-12-22,1123.58876061763
2008-12-23,1065.691285283379
2008-12-24,1058.8372063843067
2008-12-25,1054.8175479996298
2008-12-26,1046.7698996143981
2008-12-29,1044.2892560770988
2008-12-30,1048.7662271043691
2008-12-31,1072.3341142326558
2009-01-01,1072.3341142326558
2009-01-02,1092.9984106121929
2009-01-05,1159.272300781864
2009-01-06,1197.2264703309636
2009-01-07,1155.5809278691931
2009-01-08,1097.7151111281908
2009-01-09,1122.940601872192
2009-01-12,1108.9114731157392
2009-01-13,1096.8270948178697
2009-01-14,1131.6782672535244
2009-01-15,1121.0040064958441
2009-01-16,1124.6024772178432
2009-01-19,1142.8664569523335
2009-01-20,1151.4141910242395
2009-01-21,1136.447376468636
2009-01-22,1139.2665342628688
2009-01-23,1141.6576712643757
2009-01-26,1111.9487180234817
2009-01-27,1108.418228526643
2009-01-28,1104.0955354050059
2009-01-29,1140.0820053028085
2009-01-30,1177.6975118075543
2009-02-02,1168.532643288293
2009-02-03,1169.287366731241
2009-02-04,1213.731122242838
2009-02-05,1223.4928362547842
2009-02-06,1263.3761683207435
2009-02-09,1267.2972529481312
2009-02-10,1282.568989372217
2009-02-11,1284.0615558586744
2009-02-12,1280.5176837998808
2009-02-13,1304.9693041111652
2009-02-16,1331.473825635482
2009-02-17,1310.2550496253718
2009-02-18,1289.825908160697
2009-02-19,1293.5515784450336
2009-02-20,1294.7619895509247
2009-02-23,1310.4813425514621
2009-02-24,1261.3858069237724
2009-02-25,1268.4647078449873
2009-02-26,1212.3341752609788
2009-02-27,1194.403924735685
2009-03-02,1190.0996851814878
2009-03-03,1195.1282712234008
2009-03-04,1260.7455648304813
2009-03-05,1260.6662129012984
2009-03-06,1239.2738387512984
2009-03-09,1217.8024793343086
2009-03-10,1227.4281469181235
2009-03-11,1231.2506581168254
2009-03-12,1223.612777348459
2009-03-13,1229.8625193415714
2009-03-16,1253.4566970139297
2009-03-17,1268.778081943697
2009-03-18,1269.1095289344141
2009-03-19,1237.4775910273959
2009-03-20,1239.1487077385425
2009-03-23,1291.6900476326086
2009-03-24,1314.1238145951206
2009-03-25,1285.3608648170732
