Date,SOUTH AFRICA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,991.8488492520845
1999-01-05,1013.1428992878823
1999-01-06,1081.9051424467175
1999-01-07,1064.8083417092882
1999-01-08,1101.9791659515654
1999-01-11,1086.0059682732676
1999-01-12,1071.2600124088785
1999-01-13,1005.9737956423666
1999-01-14,995.265804292167
1999-01-15,1014.9020688957121
1999-01-18,1054.433660232374
1999-01-19,1043.3842662947704
1999-01-20,1046.3406368702192
1999-01-21,1025.8879558996066
1999-01-22,1020.6872256183136
1999-01-25,1011.0942571102889
1999-01-26,1013.8938873373608
1999-01-27,1043.4080254891448
1999-01-28,1054.970621151984
1999-01-29,1066.9924711490585
1999-02-01,1076.9579870647792
1999-02-02,1073.4416938062905
1999-02-03,1066.809230924592
1999-02-04,1073.5644037839809
1999-02-05,1085.9095187955165
1999-02-08,1108.1981804107693
1999-02-09,1072.1909435178372
1999-02-10,1058.1298980714942
1999-02-11,1070.6442523037783
1999-02-12,1080.0963129125766
1999-02-15,1081.617949697187
1999-02-16,1082.255739309171
1999-02-17,1068.8535749945224
1999-02-18,1077.8477847866661
1999-02-19,1076.8421374493967
1999-02-22,1101.4953547330167
1999-02-23,1119.8714934525765
1999-02-24,1127.0614895192718
1999-02-25,1115.591049148673
1999-02-26,1112.3149955677138
1999-03-01,1117.643069626819
1999-03-02,1120.5009649656508
1999-03-03,1144.227563049163
1999-03-04,1168.127030537335
1999-03-05,1198.1235482044083
1999-03-08,1214.6389041875857
1999-03-09,1231.9627059843024
1999-03-10,1224.5786216284528
1999-03-11,1267.5763648558925
1999-03-12,1247.0638694890413
1999-03-15,1239.5735565348746
1999-03-16,1242.1992356268556
1999-03-17,1238.7879203232044
1999-03-18,1230.061530767395
1999-03-19,1257.8603252781536
1999-03-22,1264.2123378939389
1999-03-23,1250.4042272887257
1999-03-24,1239.8479200976237
1999-03-25,1250.5208945420268
1999-03-26,1254.6838783616986
1999-03-29,1256.560074383978
1999-03-30,1255.951362088802
1999-03-31,1245.6521416139296
1999-04-01,1257.2926952648713
1999-04-02,1259.2730025103801
1999-04-05,1269.0740866281164
1999-04-06,1258.894618944963
1999-04-07,1249.4013143283985
1999-04-08,1231.2034501212763
1999-04-09,1259.6426662182898
1999-04-12,1271.262890412176
1999-04-13,1324.8039483397847
1999-04-14,1344.143414988716
1999-04-15,1374.3586518791249
1999-04-16,1412.0716872516057
1999-04-19,1467.7336635722781
1999-04-20,1439.3544142384762
1999-04-21,1412.4043988000033
1999-04-22,1398.9822371947646
1999-04-23,1386.3896100274712
1999-04-26,1406.3638267569333
1999-04-27,1400.1651161776888
1999-04-28,1423.0187482581016
1999-04-29,1436.6541907768396
1999-04-30,1434.9601465874837
1999-05-03,1441.5235280630266
1999-05-04,1434.0841136459364
1999-05-05,1393.7468952488045
1999-05-06,1392.8929809684398
1999-05-07,1356.4249170793535
1999-05-10,1331.589587615314
1999-05-11,1346.355333194078
1999-05-12,1331.391131922993
1999-05-13,1338.1585208968222
1999-05-14,1317.083567719131
1999-05-17,1300.717100434123
1999-05-18,1292.4501029778519
1999-05-19,1279.3512803132755
1999-05-20,1267.079716741469
1999-05-21,1277.719403582455
1999-05-24,1268.056649206939
1999-05-25,1247.0856628689926
1999-05-26,1246.4395120243755
1999-05-27,1244.608558904738
1999-05-28,1248.5690984512332
1999-05-31,1264.392691753154
1999-06-01,1297.6814441426534
1999-06-02,1312.6099961304155
1999-06-03,1337.973974341648
1999-06-04,1353.8440220401983
1999-06-07,1404.587755842788
1999-06-08,1389.9898702891553
1999-06-09,1385.9855283267966
1999-06-10,1368.5428935970176
1999-06-11,1391.0032940884462
1999-06-14,1398.9091841176194
1999-06-15,1403.4359222993169
1999-06-16,1420.3820646765905
1999-06-17,1421.1132257143672
1999-06-18,1439.5769062760999
1999-06-21,1469.8868388828307
1999-06-22,1480.6570381676836
1999-06-23,1469.0606610641896
1999-06-24,1441.9611984648059
1999-06-25,1417.1517486684127
1999-06-28,1435.8000605131087
1999-06-29,1449.3976051795069
1999-06-30,1469.8417901739035
1999-07-01,1512.735144471814
1999-07-02,1521.635266985978
1999-07-05,1545.0828049765923
1999-07-06,1524.3696036297495
1999-07-07,1511.6483507167109
1999-07-08,1509.5301007445573
1999-07-09,1497.0082740729163
1999-07-12,1511.7350343539927
1999-07-13,1461.805549682941
1999-07-14,1472.824809968312
1999-07-15,1465.9210532266288
1999-07-16,1458.2100128463487
1999-07-19,1462.387980731223
1999-07-20,1424.1148177172822
1999-07-21,1406.3883418583998
1999-07-22,1414.3865180114717
1999-07-23,1422.8325442009113
1999-07-26,1371.534590228769
1999-07-27,1379.734824471197
1999-07-28,1379.0333187839597
1999-07-29,1351.0922420660365
1999-07-30,1363.584898695434
1999-08-02,1345.1188678500657
