Date,KOREA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1075.6555070107395
1999-01-05,1123.9280469788744
1999-01-06,1191.4690314747456
1999-01-07,1231.1188181107225
1999-01-08,1224.8234593962231
1999-01-11,1262.945301043757
1999-01-12,1248.4159699874292
1999-01-13,1227.6508825898784
1999-01-14,1126.4655096366753
1999-01-15,1179.9766657627447
1999-01-18,1211.7949856494915
1999-01-19,1191.7359858459622
1999-01-20,1186.342385265426
1999-01-21,1115.4947364707234
1999-01-22,1059.1481239987663
1999-01-25,1026.4367046163466
1999-01-26,1001.4600936737578
1999-01-27,1055.4083705286741
1999-01-28,1082.210712638372
1999-01-29,1096.3890009210033
1999-02-01,1119.882911703803
1999-02-02,1106.828586310954
1999-02-03,1079.349336344748
1999-02-04,1074.5564290608315
1999-02-05,1077.9731189301099
1999-02-08,1065.064996917594
1999-02-09,1006.6361105338437
1999-02-10,1015.690738361859
1999-02-11,1017.4136432284156
1999-02-12,1061.7852433952914
1999-02-15,1065.7067569983622
1999-02-16,1071.5938467876126
1999-02-17,1066.5378088743444
1999-02-18,1040.399713827842
1999-02-19,1010.1803095296385
1999-02-22,986.1099120021603
1999-02-23,982.5219740136482
1999-02-24,970.3029699504982
1999-02-25,947.9980858287842
1999-02-26,993.6340417785385
1999-03-01,1001.3155636019759
1999-03-02,1025.6027852441034
1999-03-03,1019.4819754151556
1999-03-04,1020.208654475103
1999-03-05,1028.3886918261294
1999-03-08,1089.0974255862004
1999-03-09,1086.2766037824535
1999-03-10,1084.852545815834
1999-03-11,1119.616943722683
1999-03-12,1127.9309714686854
1999-03-15,1138.2379077992596
1999-03-16,1157.5259702193057
1999-03-17,1145.6965178503601
1999-03-18,1111.6890576221192
1999-03-19,1161.4370362036416
1999-03-22,1171.683832601588
1999-03-23,1185.765674059935
1999-03-24,1189.9642634350575
1999-03-25,1194.6541630955076
1999-03-26,1209.3981098981114
1999-03-29,1196.964282644726
1999-03-30,1225.939573629266
1999-03-31,1220.911246275713
1999-04-01,1262.647181650025
1999-04-02,1298.8387686675906
1999-04-05,1305.0685716316818
1999-04-06,1359.498356828735
1999-04-07,1360.746103316959
1999-04-08,1375.5463163842153
1999-04-09,1402.1868879505535
1999-04-12,1394.1683527739679
1999-04-13,1405.0329977647853
1999-04-14,1410.7935552801875
1999-04-15,1488.1847423021725
1999-04-16,1489.3625776119304
1999-04-19,1578.6420697164071
1999-04-20,1619.172474567628
1999-04-21,1591.3523165244308
1999-04-22,1576.4076771146958
1999-04-23,1603.109621111126
1999-04-26,1695.6003425292708
1999-04-27,1748.1458227796973
1999-04-28,1771.1968492711721
1999-04-29,1727.2961802359334
1999-04-30,1721.869255370761
1999-05-03,1742.1468481190805
1999-05-04,1774.5920798182588
1999-05-05,1761.1197428317105
1999-05-06,1826.0011090508606
1999-05-07,1841.2808784757283
1999-05-10,1872.1672636790602
1999-05-11,1820.1014414796061
1999-05-12,1793.5811758931302
1999-05-13,1708.3917433200318
1999-05-14,1648.260254910787
1999-05-17,1576.8393561076941
1999-05-18,1617.8899261318122
1999-05-19,1648.6749632305537
1999-05-20,1581.747084822361
1999-05-21,1595.968221004833
1999-05-24,1569.1677781421783
1999-05-25,1595.7304457835705
1999-05-26,1675.158841655268
1999-05-27,1692.7625885167195
1999-05-28,1718.4733577963093
1999-05-31,1717.0951739049829
1999-06-01,1722.6734723965978
1999-06-02,1791.3118813038366
1999-06-03,1798.685502082266
1999-06-04,1837.1493010267059
1999-06-07,1921.0422645796968
1999-06-08,1934.7334446689194
1999-06-09,1850.8020121912975
1999-06-10,1927.359038544275
1999-06-11,1920.475650144375
1999-06-14,1885.5847907228608
1999-06-15,1834.7857215706335
1999-06-16,1882.6264656042981
1999-06-17,1901.73566029618
1999-06-18,1886.3489114024117
1999-06-21,1943.8760323333697
1999-06-22,1980.5108470287012
1999-06-23,2008.470653005365
1999-06-24,2001.5906449515717
1999-06-25,2001.5768870901998
1999-06-28,2039.800245445392
1999-06-29,2054.4910634511702
1999-06-30,2048.422407547662
1999-07-01,2124.797620249624
1999-07-02,2201.328401566261
1999-07-05,2259.5898920157683
1999-07-06,2263.3905186852203
1999-07-07,2305.612599721457
1999-07-08,2326.469523865768
1999-07-09,2389.052326814839
1999-07-12,2363.9292766443227
1999-07-13,2296.729065683547
1999-07-14,2196.229403496976
1999-07-15,2218.617561824367
1999-07-16,2318.334801137786
1999-07-19,2360.405668934207
1999-07-20,2263.34061787603
1999-07-21,2152.91983183855
1999-07-22,2157.4102810209006
1999-07-23,1987.5729982072266
1999-07-26,1850.1239482669773
1999-07-27,1970.5245403567071
1999-07-28,2019.1556092156313
1999-07-29,2079.985952964896
1999-07-30,2037.8446854898264
1999-08-02,2026.3330878624595
1999-08-03,2065.009088392875
1999-08-04,2059.842807698933
