Date,CHILE EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1008.2612779642055
1999-01-05,1011.4020601724166
1999-01-06,1021.4075136209904
1999-01-07,1011.6813677879223
1999-01-08,1021.073640448697
1999-01-11,995.8388630814936
1999-01-12,974.6160231580845
1999-01-13,928.5474925705872
1999-01-14,917.6477613596411
1999-01-15,934.6502139543462
1999-01-18,939.0408912073824
1999-01-19,935.2171953221664
1999-01-20,937.4647936895769
1999-01-21,934.3536010699833
1999-01-22,935.4587987447316
1999-01-25,957.573438171932
1999-01-26,964.1713485951886
1999-01-27,981.6588828440358
1999-01-28,984.85841966115
1999-01-29,992.2333451729011
1999-02-01,996.2712888028414
1999-02-02,988.5889663569494
1999-02-03,994.8930491581935
1999-02-04,1004.2476380118135
1999-02-05,1004.9421918497654
1999-02-08,1012.7975613079666
1999-02-09,1012.7766237087151
1999-02-10,1018.8732535126733
1999-02-11,1036.9908293473952
1999-02-12,1037.8649296418648
1999-02-15,1042.3355442477052
1999-02-16,1054.0282524880856
1999-02-17,1050.6047766172615
1999-02-18,1066.6087482976343
1999-02-19,1094.8106185011172
1999-02-22,1103.7320430077305
1999-02-23,1099.3942025026524
1999-02-24,1111.9491502858361
1999-02-25,1088.892976182531
1999-02-26,1078.7188516187373
1999-03-01,1079.4827159590795
1999-03-02,1064.419045953229
1999-03-03,1082.813421636654
1999-03-04,1112.0043574415643
1999-03-05,1109.6420607291404
1999-03-08,1117.4087069677737
1999-03-09,1117.651644954526
1999-03-10,1130.434937778434
1999-03-11,1155.21969081421
1999-03-12,1157.920859101284
1999-03-15,1165.0557426335683
1999-03-16,1169.8498062476751
1999-03-17,1161.7906360389347
1999-03-18,1172.0738037507538
1999-03-19,1185.7645814957907
1999-03-22,1189.9954356853395
1999-03-23,1188.2150855438354
1999-03-24,1191.7265014996224
1999-03-25,1220.5611792176405
1999-03-26,1244.3759416053745
1999-03-29,1248.8759873970675
1999-03-30,1250.6905596458666
1999-03-31,1263.2000970953604
1999-04-01,1278.4351677405818
1999-04-02,1281.2794267464476
1999-04-05,1310.603223235334
1999-04-06,1317.8772719431254
1999-04-07,1338.3142206411342
1999-04-08,1366.876614802359
1999-04-09,1392.4717168715738
1999-04-12,1386.8578849217624
1999-04-13,1407.4651657989286
1999-04-14,1423.0162117696073
1999-04-15,1447.1855248775653
1999-04-16,1473.5733256004658
1999-04-19,1530.9260091188703
1999-04-20,1544.6116668303318
1999-04-21,1551.84701821391
1999-04-22,1529.065312180608
1999-04-23,1505.2654417760211
1999-04-26,1499.6616789932452
1999-04-27,1460.046631965618
1999-04-28,1488.5806267251219
1999-04-29,1480.7224262050836
1999-04-30,1510.4810844995034
1999-05-03,1530.3772800704487
1999-05-04,1534.567696667695
1999-05-05,1517.7045204214435
1999-05-06,1514.3113843192814
1999-05-07,1554.8553567640681
1999-05-10,1610.921179158507
1999-05-11,1635.5376466986065
1999-05-12,1642.233909126793
1999-05-13,1665.2145337048998
1999-05-14,1634.3294262393943
1999-05-17,1605.7226394011357
1999-05-18,1604.6343857708025
1999-05-19,1581.9066721199629
1999-05-20,1567.4199728643287
1999-05-21,1577.7402502660689
1999-05-24,1535.1211719779596
1999-05-25,1504.9007346293777
1999-05-26,1539.3291924023056
1999-05-27,1541.0908288938435
1999-05-28,1530.2965388143948
1999-05-31,1540.0808289897057
1999-06-01,1531.1687864614337
1999-06-02,1546.107962533512
1999-06-03,1546.92932772176
1999-06-04,1570.5727558931742
1999-06-07,1589.24598967119
1999-06-08,1582.3163170313708
1999-06-09,1572.2716656959992
1999-06-10,1573.8949807298713
1999-06-11,1576.270893845964
1999-06-14,1582.2104782030146
1999-06-15,1579.5211452091996
1999-06-16,1612.9824081147635
1999-06-17,1627.4869158994386
1999-06-18,1605.1706067367181
1999-06-21,1614.9510125808276
1999-06-22,1646.3367441311643
1999-06-23,1616.44884503673
1999-06-24,1595.3990781955235
1999-06-25,1560.6870566145785
1999-06-28,1570.828804961148
1999-06-29,1576.1472096212342
1999-06-30,1602.0932580120427
1999-07-01,1648.6954832680608
1999-07-02,1683.9233360948804
1999-07-05,1692.5241549194648
1999-07-06,1700.0037666614453
1999-07-07,1713.64122162786
1999-07-08,1722.3435262582298
1999-07-09,1723.76964791933
1999-07-12,1706.2075087230778
1999-07-13,1700.8296080446764
1999-07-14,1688.3414987363215
1999-07-15,1695.5109895956373
1999-07-16,1693.4371634243703
1999-07-19,1693.555591193162
1999-07-20,1642.246098473683
1999-07-21,1636.1538688452229
1999-07-22,1640.3557928047992
1999-07-23,1625.2600757046241
1999-07-26,1573.2303526757737
1999-07-27,1572.3815077655888
1999-07-28,1580.9405888402046
1999-07-29,1552.5461465588876
1999-07-30,1555.937768028826
1999-08-02,1563.1932881390767
1999-08-03,1558.3615839253946
