Date,TAIWAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.3009383324126
1999-01-05,951.3196484847465
1999-01-06,961.9340395302951
1999-01-07,1006.1863684498965
1999-01-08,1020.584247013794
1999-01-11,1014.6853337167822
1999-01-12,999.9874253702055
1999-01-13,976.5792584775086
1999-01-14,965.7859015223426
1999-01-15,1010.9763722521375
1999-01-18,1002.586419636164
1999-01-19,997.5783418610105
1999-01-20,996.4043016307076
1999-01-21,997.3263075406575
1999-01-22,984.5819898858947
1999-01-25,956.4332680873699
1999-01-26,963.0402749436837
1999-01-27,976.5967544886258
1999-01-28,969.4732156271149
1999-01-29,964.420154510531
1999-02-01,957.5722907608179
1999-02-02,934.9870132628183
1999-02-03,922.206547024967
1999-02-04,883.7899025957001
1999-02-05,867.5264490273067
1999-02-08,942.7765227406255
1999-02-09,917.4803919225543
1999-02-10,935.8372969177049
1999-02-11,937.5350972474006
1999-02-12,939.4468839380916
1999-02-15,942.9165627244956
1999-02-16,947.6817492892483
1999-02-17,941.7525372370011
1999-02-18,942.6756594887928
1999-02-19,949.7532870991017
1999-02-22,1020.8224059207581
1999-02-23,997.9068330363327
1999-02-24,999.8449323634818
1999-02-25,1007.8562686983835
1999-02-26,1024.0978346389497
1999-03-01,1035.579385977509
1999-03-02,1027.0084644461522
1999-03-03,1044.799478330184
1999-03-04,1047.3343232827756
1999-03-05,1047.7316165395753
1999-03-08,1048.3703307536696
1999-03-09,1055.1030193958268
1999-03-10,1046.9489007538846
1999-03-11,1049.4916924885047
1999-03-12,1036.3121922831187
1999-03-15,1048.5227322721114
1999-03-16,1070.6136303165306
1999-03-17,1072.9366923898558
1999-03-18,1103.2481169983434
1999-03-19,1141.2879891924051
1999-03-22,1147.0303685630076
1999-03-23,1140.7162303773764
1999-03-24,1126.6749771529
1999-03-25,1143.2907164605188
1999-03-26,1187.597937352869
1999-03-29,1172.7820189337972
1999-03-30,1156.5523540281172
1999-03-31,1152.0283735474763
1999-04-01,1180.3885505064002
1999-04-02,1222.6591276138856
1999-04-05,1231.1138727574653
1999-04-06,1225.867686888506
1999-04-07,1212.4757093645117
1999-04-08,1223.4786258055342
1999-04-09,1231.1423224266207
1999-04-12,1205.1907526557616
1999-04-13,1230.8614536007037
1999-04-14,1240.2300407916405
1999-04-15,1273.741100115721
1999-04-16,1282.91297752962
1999-04-19,1344.3858245980762
1999-04-20,1345.9599139461723
1999-04-21,1319.8350042254826
1999-04-22,1312.8624172727193
1999-04-23,1340.9279220210212
1999-04-26,1351.308024645163
1999-04-27,1330.9622024889459
1999-04-28,1329.1961915920158
1999-04-29,1305.2545425556657
1999-04-30,1319.0094521219964
1999-05-03,1333.6526436733136
1999-05-04,1365.3186276182498
1999-05-05,1359.1161545229488
1999-05-06,1332.1592758572738
1999-05-07,1317.1088410823916
1999-05-10,1313.7365599602138
1999-05-11,1320.008269070489
1999-05-12,1309.7972223221245
1999-05-13,1297.540189694339
1999-05-14,1307.5536238424822
1999-05-17,1306.450657058791
1999-05-18,1278.0150752857091
1999-05-19,1273.0235027453011
1999-05-20,1292.7154719161913
1999-05-21,1294.7429881121993
1999-05-24,1273.4568995056954
1999-05-25,1225.8329610771104
1999-05-26,1246.2966622741242
1999-05-27,1263.680157121317
1999-05-28,1240.6086585800952
1999-05-31,1200.9733820392748
1999-06-01,1220.903028486038
1999-06-02,1242.86390660021
1999-06-03,1257.7089773536245
1999-06-04,1270.2875346201113
1999-06-07,1289.7817995527128
1999-06-08,1283.3448278688454
1999-06-09,1284.44935532304
1999-06-10,1278.8931717667206
1999-06-11,1289.1453800314216
1999-06-14,1297.6516883936192
1999-06-15,1286.4474430666296
1999-06-16,1303.087795181291
1999-06-17,1314.9387298916565
1999-06-18,1306.4676702247348
1999-06-21,1341.2763022314748
1999-06-22,1370.7307249334383
1999-06-23,1350.9772526154682
1999-06-24,1360.4150164731836
1999-06-25,1315.1759361524694
1999-06-28,1323.3106369981035
1999-06-29,1350.5366344588645
1999-06-30,1347.7491728059067
1999-07-01,1356.010509402883
1999-07-02,1369.2070123099713
1999-07-05,1404.0698757628222
1999-07-06,1370.5557919328594
1999-07-07,1374.1962542515253
1999-07-08,1394.676813695133
1999-07-09,1382.4268194775295
1999-07-12,1371.9729619303068
1999-07-13,1327.751923303671
1999-07-14,1272.0602089515526
1999-07-15,1273.581409584793
1999-07-16,1189.138047463652
1999-07-19,1158.5827240530084
1999-07-20,1204.1382421336446
1999-07-21,1186.115651581521
1999-07-22,1173.2537881030794
1999-07-23,1193.6885413709515
1999-07-26,1157.0014030668592
1999-07-27,1127.546687946263
1999-07-28,1147.3795833044437
1999-07-29,1111.0736660041528
1999-07-30,1115.6220902421885
1999-08-02,1103.081158542709
1999-08-03,1102.428541406589
1999-08-04,1088.683252902777
