Date,CHINA A ONSHORE EQUAL WEIGHTED
2004-11-30,1000.0
2004-12-01,995.8362035691538
2004-12-02,998.3398245458014
2004-12-03,991.9662819467059
2004-12-06,989.3512221771846
2004-12-07,975.7921783069523
2004-12-08,989.0527269591504
2004-12-09,1000.4229865574936
2004-12-10,984.7893211988384
2004-12-13,973.2187762575372
2004-12-14,972.7918211488067
2004-12-15,966.2543426232612
2004-12-16,968.2014215998774
2004-12-17,960.713475556489
2004-12-20,936.8805719746815
2004-12-21,939.1896403257639
2004-12-22,962.8146451722961
2004-12-23,935.9358061059542
2004-12-24,935.2894604460753
2004-12-27,926.2530279042795
2004-12-28,923.8944321534982
2004-12-29,919.5462777975948
2004-12-30,914.4907432815835
2004-12-31,911.31566107906
2005-01-03,920.2182693126158
2005-01-04,915.9181546016666
2005-01-05,927.1908728377141
2005-01-06,926.0340079410236
2005-01-07,935.4638050022513
2005-01-10,940.7184084854431
2005-01-11,938.4246588395262
2005-01-12,929.1881943759046
2005-01-13,935.3420405875125
2005-01-14,933.2748224096292
2005-01-17,913.7811060790568
2005-01-18,925.207864476137
2005-01-19,916.6974814447619
2005-01-20,910.8577196691882
2005-01-21,929.1367560975333
2005-01-24,941.9720963087657
2005-01-25,946.5349038583591
2005-01-26,929.9793066085045
2005-01-27,918.1965355058243
2005-01-28,911.8752337517251
2005-01-31,891.8155209318204
2005-02-01,892.2175853261284
2005-02-02,939.4172407395571
2005-02-03,932.3400087784095
2005-02-04,953.5325877257197
2005-02-07,961.7928245737974
2005-02-08,966.450958662448
2005-02-09,964.9396392853613
2005-02-10,957.2306004762557
2005-02-11,958.4200300268028
2005-02-14,951.9144985645515
2005-02-15,951.6942754301239
2005-02-16,957.5873771261057
2005-02-17,952.5679888935194
2005-02-18,938.3857240209395
2005-02-21,954.1226394677872
2005-02-22,964.3700582424663
2005-02-23,967.1808428348675
2005-02-24,969.0878248933416
2005-02-25,971.305800705794
2005-02-28,960.9273898034495
2005-03-01,965.022859019817
2005-03-02,954.7378382607741
2005-03-03,958.4422251277714
2005-03-04,944.8369088689489
2005-03-07,953.0625528537672
2005-03-08,961.1294620844496
2005-03-09,959.8022608829142
2005-03-10,932.8337471886426
2005-03-11,932.8979475700655
2005-03-14,940.0421332757021
2005-03-15,930.3957395644883
2005-03-16,912.4428716029905
2005-03-17,905.0668526217456
2005-03-18,893.8654056777268
2005-03-21,902.4018674398432
2005-03-22,880.8734968069236
2005-03-23,891.4901167945416
2005-03-24,902.6551096785432
2005-03-25,900.1030543657945
2005-03-28,903.2746887585707
2005-03-29,894.6279720838169
2005-03-30,872.1969287294488
2005-03-31,874.6242667575962
2005-04-01,910.7312109985407
2005-04-04,903.9492052166567
2005-04-05,895.9528017913095
2005-04-06,909.6986020162619
2005-04-07,918.7048087357584
2005-04-08,941.568683614022
2005-04-11,929.5087760129378
2005-04-12,916.3543140967889
2005-04-13,939.2439732222142
2005-04-14,931.010262866068
2005-04-15,906.7883422040776
2005-04-18,891.7203483062593
2005-04-19,891.9667922281952
2005-04-20,875.1072331579519
2005-04-21,863.4549386996811
2005-04-22,858.5157811879419
2005-04-25,851.9658503260935
2005-04-26,863.09955768139
2005-04-27,850.5517634738524
2005-04-28,870.246181327245
2005-04-29,859.7219359234484
2005-05-02,864.4659605323646
2005-05-03,861.179145241107
2005-05-04,856.6590432090437
2005-05-05,857.6851803937222
2005-05-06,863.9612513073926
2005-05-09,843.958812586504
2005-05-10,843.3257465154524
2005-05-11,838.6902283290561
2005-05-12,835.3877567968248
2005-05-13,842.026678962568
2005-05-16,831.1232497532367
2005-05-17,837.9795235574168
2005-05-18,841.0388532658186
2005-05-19,842.5253058279205
2005-05-20,845.2053029178104
2005-05-23,823.0384937832613
2005-05-24,831.8047488171738
2005-05-25,831.8268258545473
2005-05-26,825.2481572350398
2005-05-27,816.2746233579227
2005-05-30,828.2029757472534
2005-05-31,835.5135163708848
2005-06-01,821.7307733723288
2005-06-02,804.5388616669583
2005-06-03,802.3574150130347
2005-06-06,818.8965958795497
2005-06-07,819.5781635562793
2005-06-08,881.0893907741338
2005-06-09,900.0298737408416
2005-06-10,884.4939797407253
2005-06-13,889.9405911736199
2005-06-14,876.3330631689167
2005-06-15,850.532883693466
2005-06-16,862.641825961927
2005-06-17,852.792122190536
2005-06-20,884.6740455297372
2005-06-21,875.8839591567328
2005-06-22,878.1619117873122
2005-06-23,875.9005111459625
2005-06-24,877.3498540504694
2005-06-27,891.3869634027806
2005-06-28,883.2557362089989
2005-06-29,879.4832099726226
2005-06-30,854.4783116199379
2005-07-01,837.968878612174
2005-07-04,834.7802620732937
2005-07-05,828.3133563224332
2005-07-06,821.2744888695566
2005-07-07,822.1332009332219
2005-07-08,803.5460841894933
2005-07-11,786.3374968788146
2005-07-12,804.162171782461
2005-07-13,805.4221587490983
2005-07-14,805.8180972409031
2005-07-15,797.9426092560557
2005-07-18,783.9325234680944
2005-07-19,792.2545862441963
2005-07-20,797.3220582675209
2005-07-21,806.6573976316457
2005-07-22,823.2883230918042
2005-07-25,824.8932880408557
2005-07-26,848.3546781371371
2005-07-27,867.1848594162835
2005-07-28,860.8055842172389
2005-07-29,854.3824648715048
2005-08-01,855.9685933601953
2005-08-02,869.2132609838558
2005-08-03,870.0949731384682
2005-08-04,861.5454812764817
2005-08-05,885.4964954124666
2005-08-08,889.2503486558862
2005-08-09,901.1836348211124
2005-08-10,907.0865106784604
2005-08-11,914.4629702431534
2005-08-12,902.2216918682722
2005-08-15,927.3266763953496
2005-08-16,923.9398507412623
2005-08-17,935.2716798843785
2005-08-18,911.5133258796424
2005-08-19,915.4558804596273
2005-08-22,919.0816788278266
2005-08-23,910.8893188577287
2005-08-24,914.9990743390163
2005-08-25,914.7519939390977
2005-08-26,910.3207608780998
2005-08-29,902.9551956113039
2005-08-30,905.3017979811627
2005-08-31,911.9357122991948
2005-09-01,919.7489183354186
2005-09-02,918.7997304536367
2005-09-05,932.1769458048157
2005-09-06,916.5584419785685
2005-09-07,940.189879546491
2005-09-08,944.3223873307786
2005-09-09,934.7656378590842
2005-09-12,948.3936177298771
2005-09-13,965.9165840937186
2005-09-14,972.9066135610426
2005-09-15,981.2009869520003
2005-09-16,981.109016535426
2005-09-19,994.1649870838693
2005-09-20,982.6318914905697
2005-09-21,960.7895575844756
2005-09-22,939.9543343653187
2005-09-23,936.1986759317305
