Date,CHINA A INTERNATIONAL EQUAL WEIGHTED
2008-11-25,1000.0
2008-11-26,1015.0587779542803
2008-11-27,1032.7970656463897
2008-11-28,1032.3134778088743
2008-12-01,1049.6312960390753
2008-12-02,1038.9271696940477
2008-12-03,1085.9473599773335
2008-12-04,1095.5011771607399
2008-12-05,1112.112104409674
2008-12-08,1133.2147997333375
2008-12-09,1112.1568750080685
2008-12-10,1130.7911795462528
2008-12-11,1087.7244091547611
2008-12-12,1036.8089581034055
2008-12-15,1019.3597723237344
2008-12-16,1022.3420455137806
2008-12-17,988.2990216963489
2008-12-18,996.0182679996411
2008-12-19,1037.023534935886
2008-12-22,1019.4340507843316
2008-12-23,968.1539325971173
2008-12-24,949.3277684470049
2008-12-25,941.1815579025721
2008-12-26,931.1122525065232
2008-12-29,918.0713653068615
2008-12-30,917.589899591954
2008-12-31,929.0043597221206
2009-01-01,929.0043597221206
2009-01-02,926.7708556277693
2009-01-05,978.1164143992354
2009-01-06,1025.2331980350095
2009-01-07,1000.2238650093168
2009-01-08,973.0707120657305
2009-01-09,1004.2719307354768
2009-01-12,1016.8557487218042
2009-01-13,1006.277411021573
2009-01-14,1044.795512726327
2009-01-15,1050.9502351817698
2009-01-16,1054.2374769209246
2009-01-19,1073.8743090124572
2009-01-20,1097.4152869119039
2009-01-21,1091.7170216546585
2009-01-22,1096.9161546540295
2009-01-23,1106.0086721060416
2009-01-26,1077.2057049740963
2009-01-27,1074.0161652486295
2009-01-28,1069.752262596213
2009-01-29,1081.570696171285
2009-01-30,1103.894180302171
2009-02-02,1122.4639685930272
2009-02-03,1139.358836789093
2009-02-04,1175.741025943828
2009-02-05,1169.4478370079803
2009-02-06,1212.915726662433
2009-02-09,1231.963059509191
2009-02-10,1253.705051973588
2009-02-11,1272.009207033246
2009-02-12,1280.1438849025778
2009-02-13,1310.7796756661746
2009-02-16,1354.845260064513
2009-02-17,1334.8518340368305
2009-02-18,1277.8206473836144
2009-02-19,1282.651376526879
2009-02-20,1315.271328794326
2009-02-23,1333.9387199762543
2009-02-24,1273.2542129208464
2009-02-25,1272.1138110900526
2009-02-26,1203.49403195743
2009-02-27,1181.5593840717086
2009-03-02,1205.5788118498615
2009-03-03,1196.7082666819038
2009-03-04,1271.6026165353599
2009-03-05,1278.350354801669
2009-03-06,1255.9704973593348
2009-03-09,1213.7826378163334
2009-03-10,1224.1984062919112
2009-03-11,1211.531875505551
2009-03-12,1205.5322764305126
2009-03-13,1193.1609909995348
2009-03-16,1199.0730003245633
2009-03-17,1243.7508250435546
2009-03-18,1240.0118126327159
2009-03-19,1209.5657826848421
2009-03-20,1222.7189027500774
2009-03-23,1252.318089156409
