Date,PERU EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1004.179388236753
1999-01-05,1007.8707942214976
1999-01-06,1051.0227129318632
1999-01-07,1058.7423732340635
1999-01-08,1081.878291062923
1999-01-11,1079.335039851239
1999-01-12,1068.631189084282
1999-01-13,985.2985517637272
1999-01-14,959.6654845593748
1999-01-15,1020.0484691772904
1999-01-18,1032.0799594699363
1999-01-19,1000.4618002200424
1999-01-20,1031.9683886028688
1999-01-21,1020.7574466672312
1999-01-22,1000.8680382201502
1999-01-25,998.7233911953934
1999-01-26,1005.9741353205259
1999-01-27,995.0054546753609
1999-01-28,1014.6817631257207
1999-01-29,1027.6564636929506
1999-02-01,1030.1459105637528
1999-02-02,1046.1151181035202
1999-02-03,1053.851056912196
1999-02-04,1054.194579407464
1999-02-05,1053.7102496412667
1999-02-08,1058.6131916626136
1999-02-09,1063.8839973580925
1999-02-10,1054.1172227084105
1999-02-11,1059.2570559488702
1999-02-12,1060.0708661553003
1999-02-15,1069.935975747661
1999-02-16,1073.877742907642
1999-02-17,1072.384491377656
1999-02-18,1069.550162508997
1999-02-19,1071.9586881979442
1999-02-22,1063.482700344579
1999-02-23,1074.260526375796
1999-02-24,1079.463407412216
1999-02-25,1047.2408978078706
1999-02-26,1073.2792407985746
1999-03-01,1084.9729055824062
1999-03-02,1078.8622305891215
1999-03-03,1087.6137308981733
1999-03-04,1103.158783364475
1999-03-05,1118.348087427887
1999-03-08,1112.614293749909
1999-03-09,1114.585811383329
1999-03-10,1109.0469726291708
1999-03-11,1137.1570863909135
1999-03-12,1122.2567374569694
1999-03-15,1129.537144865103
1999-03-16,1116.8836043879746
1999-03-17,1099.9436448610918
1999-03-18,1105.8845739617093
1999-03-19,1120.2304504709136
1999-03-22,1120.8591928774456
1999-03-23,1105.7657188307114
1999-03-24,1110.1437929198744
1999-03-25,1125.6267927696579
1999-03-26,1141.235039557247
1999-03-29,1141.5422655481002
1999-03-30,1139.6366516747157
1999-03-31,1143.6932231085364
1999-04-01,1142.0535574785886
1999-04-02,1144.59439505722
1999-04-05,1147.0926725970896
1999-04-06,1140.5071895199712
1999-04-07,1136.4064641488771
1999-04-08,1146.5694362943868
1999-04-09,1152.8046566019307
1999-04-12,1142.987209114314
1999-04-13,1152.8735004600903
1999-04-14,1157.0089862831167
1999-04-15,1175.7205071531132
1999-04-16,1217.406630550168
1999-04-19,1285.5023207123504
1999-04-20,1274.6372472983155
1999-04-21,1288.1353391660828
1999-04-22,1288.643786918295
1999-04-23,1283.3335968293356
1999-04-26,1275.8332638148424
1999-04-27,1270.343166781113
1999-04-28,1272.8007042265497
1999-04-29,1300.988212693435
1999-04-30,1320.8202033234297
1999-05-03,1331.8326753195247
1999-05-04,1340.7655395839627
1999-05-05,1324.0382509932692
1999-05-06,1348.869461333648
1999-05-07,1351.1199640782168
1999-05-10,1363.9740376400844
1999-05-11,1391.8360756175155
1999-05-12,1370.2766365232028
1999-05-13,1371.0834681263009
1999-05-14,1356.0832677603746
1999-05-17,1350.4395898231182
1999-05-18,1361.856985639621
1999-05-19,1325.651456092366
1999-05-20,1338.154605502144
1999-05-21,1341.404969756515
1999-05-24,1322.3001983979493
1999-05-25,1289.1470631161014
1999-05-26,1300.1938575210543
1999-05-27,1280.1382093280374
1999-05-28,1278.8606566605333
1999-05-31,1287.5318214561712
1999-06-01,1295.3675907952113
1999-06-02,1287.0310765374043
1999-06-03,1298.794874174672
1999-06-04,1298.3798802860724
1999-06-07,1319.6866805579368
1999-06-08,1325.7231978499194
1999-06-09,1322.771729589707
1999-06-10,1298.4222880100178
1999-06-11,1304.7946285571304
1999-06-14,1309.4664188219874
1999-06-15,1306.2480918779727
1999-06-16,1307.7685183266055
1999-06-17,1300.9940492562191
1999-06-18,1282.7180286416196
1999-06-21,1298.7428097373515
1999-06-22,1292.7244785691084
1999-06-23,1283.9148428965054
1999-06-24,1289.3848040925534
1999-06-25,1293.193321856964
1999-06-28,1307.288696226165
1999-06-29,1311.7148248228195
1999-06-30,1330.579126156914
1999-07-01,1359.7299374555594
1999-07-02,1365.600241033212
1999-07-05,1355.7774672310052
1999-07-06,1359.817556118349
1999-07-07,1366.7267885979418
1999-07-08,1379.790833939164
1999-07-09,1378.4541869586863
1999-07-12,1368.3197601947102
1999-07-13,1351.5386380251157
1999-07-14,1368.2902339438772
1999-07-15,1373.3592486196396
1999-07-16,1375.6800166504436
1999-07-19,1365.8263866221562
1999-07-20,1337.448432640455
1999-07-21,1313.4291071486937
1999-07-22,1307.795528638159
1999-07-23,1315.456297879694
1999-07-26,1290.3614247307735
1999-07-27,1296.2952606615186
1999-07-28,1297.944102798319
1999-07-29,1285.6490653336407
1999-07-30,1285.86589518204
1999-08-02,1262.4158583595138
1999-08-03,1250.241985712276
1999-08-04,1240.5007259791214
