Date,AC ASIA IMI WITH PARTIAL A SHARES
2008-11-27,1026.7369909274805
2008-11-28,1054.8786027146418
2008-12-30,1033.8489628395964
2008-12-31,1049.7796346433404
2009-01-29,1064.1761488671054
2009-01-30,1068.9058237671231
2009-02-26,954.5542547800151
2009-02-27,970.4483671990009
2009-03-30,1019.4024351978073
2009-03-31,993.1156591197457
2009-04-29,1085.4504345055736
2009-04-30,1120.159577087896
2009-05-28,1192.6217912351835
2009-05-29,1192.3420788976211
2009-06-29,1209.430375084062
2009-06-30,1214.7701241682657
2009-07-30,1287.7806835840806
2009-07-31,1300.254189657371
2009-08-28,1296.0463748690163
2009-08-31,1292.366598229937
2009-09-29,1302.803608363698
2009-09-30,1309.6442914947331
2009-10-29,1249.928194268349
2009-10-30,1277.832369210296
2009-11-27,1229.6339204987542
2009-11-30,1265.5562087141125
2009-12-30,1358.4149417909236
2009-12-31,1358.2818492924296
2010-01-28,1388.6553117499384
2010-01-29,1372.467779498262
2010-02-25,1414.574888452226
2010-02-26,1410.18184443928
2010-03-30,1530.625187188357
2010-03-31,1510.318101589883
2010-04-29,1543.8847242451227
2010-04-30,1554.9502013564206
2010-05-28,1531.087302993685
2010-05-31,1545.0761082316799
2010-06-29,1569.5972102580308
2010-06-30,1548.3219440924568
2010-07-29,1524.740906231004
2010-07-30,1523.094536076365
2010-08-30,1561.6245634996296
2010-08-31,1536.5530409877504
2010-09-29,1564.8715847050282
2010-09-30,1546.7534308738911
2010-10-28,1555.9556574598096
2010-10-29,1554.2890440408764
2010-11-29,1662.1581760128504
2010-11-30,1660.8430835429556
2010-12-30,1724.579838074914
2010-12-31,1717.220812905264
2011-01-28,1696.5388450824655
2011-01-31,1672.2484765958175
2011-02-25,1657.9187166857628
2011-02-28,1659.2299356448386
2011-03-30,1594.8349433974481
2011-03-31,1595.484709226443
2011-04-28,1561.251661412531
2011-04-29,1560.6307417341973
2011-05-30,1572.426179198322
2011-05-31,1585.7185577756484
2011-06-29,1558.3924762170866
2011-06-30,1564.3300245831645
2011-07-28,1632.2132792829113
2011-07-29,1615.95830211174
2011-08-30,1446.2278261464899
2011-08-31,1468.9262495392543
2011-09-29,1436.7712290911759
2011-09-30,1450.0676206526216
2011-10-28,1483.0541063565709
2011-10-31,1472.6589904432956
2011-11-29,1444.163335769811
2011-11-30,1427.9563867055783
2011-12-29,1482.7532985741009
2011-12-30,1489.5207042254954
2012-01-30,1575.9566588523633
2012-01-31,1590.9450574581122
2012-02-28,1631.5497037243063
2012-02-29,1642.7584054987592
2012-03-29,1635.4781960986363
2012-03-30,1632.1739761211784
2012-04-27,1601.4679080336407
2012-04-30,1618.4803665527918
2012-05-30,1573.1439393407109
2012-05-31,1575.4517501761413
