Date,ACWI ex NETHERLANDS IMI
2015-12-11,2323.139323464596
2015-12-14,2307.7902720135226
2015-12-15,2350.6893535793893
2015-12-16,2377.263933184166
2015-12-17,2386.8009648730003
2015-12-18,2355.8752709955475
2015-12-21,2347.51280050018
2015-12-22,2352.264477814525
2015-12-23,2400.6220749780578
2015-12-24,2386.9612023173986
2015-12-25,2386.183733938729
2015-12-28,2378.8054182061437
2015-12-29,2413.3884713782845
2015-12-30,2398.1315697700365
2015-12-31,2392.8531037879234
2016-01-01,2392.9140592980934
2016-01-04,2357.266385505571
2016-01-05,2375.244074770399
2016-01-06,2339.751285016134
2016-01-07,2271.1911496254293
2016-01-08,2237.0897763700555
2016-01-11,2236.616859285832
2016-01-12,2245.709423025271
2016-01-13,2219.1150435568884
2016-01-14,2224.594739368362
2016-01-15,2162.4948945219226
2016-01-18,2166.587597206308
2016-01-19,2171.4469444230067
2016-01-20,2130.420044800354
2016-01-21,2149.9841648959973
2016-01-22,2207.0442835822696
2016-01-25,2186.702159215914
2016-01-26,2200.932208413061
2016-01-27,2192.6326094363703
2016-01-28,2182.2689546599495
2016-01-29,2250.9762069731514
2016-02-01,2242.3475640549386
2016-02-02,2201.7382729244127
2016-02-03,2173.0584165168675
2016-02-04,2164.855636418905
2016-02-05,2137.6331385158255
2016-02-08,2103.037260144123
2016-02-09,2058.4839345578657
2016-02-10,2077.8932869276987
2016-02-11,2024.912330041135
2016-02-12,2062.6380040094296
2016-02-15,2107.424562527369
2016-02-16,2130.12457423261
2016-02-17,2164.216017680581
2016-02-18,2174.506239284675
2016-02-19,2165.8104047953893
2016-02-22,2208.7009132149897
2016-02-23,2187.0788040460975
2016-02-24,2179.406854393855
2016-02-25,2201.3883353519923
2016-02-26,2225.7308658998168
2016-02-29,2230.148529073803
2016-03-01,2270.6221434307104
2016-03-02,2299.7334931937353
2016-03-03,2296.052030219818
2016-03-04,2296.7675084988336
2016-03-07,2303.994808694112
2016-03-08,2267.499091308869
2016-03-09,2282.154099192484
2016-03-10,2253.4727331939594
2016-03-11,2290.7872592836798
2016-03-14,2304.0097192631306
2016-03-15,2287.6203079802485
2016-03-16,2299.5646978284703
2016-03-17,2285.873109738331
2016-03-18,2297.8366986923634
2016-03-21,2302.5168196127734
2016-03-22,2310.067964266185
2016-03-23,2300.8550990512986
2016-03-24,2291.0272703637525
2016-03-25,2292.3530190521506
2016-03-28,2287.015771169037
2016-03-29,2307.722772688371
2016-03-30,2299.247408338766
2016-03-31,2287.1898843073354
2016-04-01,2284.966813237864
2016-04-04,2277.9437435212067
2016-04-05,2248.107458800979
2016-04-06,2266.1910966000123
2016-04-07,2250.8107260471834
2016-04-08,2261.2286187292425
2016-04-11,2256.716588314913
2016-04-12,2286.79844188042
2016-04-13,2337.270381504161
2016-04-14,2348.7052859652463
2016-04-15,2340.4055127978545
2016-04-18,2339.385406799346
2016-04-19,2353.68335391828
2016-04-20,2364.0002676801273
2016-04-21,2368.447698805452
2016-04-22,2372.655188544844
2016-04-25,2360.6285114636194
2016-04-26,2358.339936800163
2016-04-27,2359.457464153758
2016-04-28,2348.3910349022417
2016-04-29,2311.904236289087
2016-05-02,2304.6286025371587
2016-05-03,2278.7312908802696
2016-05-04,2264.128426933338
2016-05-05,2278.482759813097
2016-05-06,2276.0259420078482
2016-05-09,2279.142663950418
2016-05-10,2305.147680024541
2016-05-11,2287.5157249336935
2016-05-12,2289.1550889170085
2016-05-13,2290.2451713396526
2016-05-16,2300.2266965226127
2016-05-17,2292.415327817941
2016-05-18,2301.076081729628
2016-05-19,2296.510529402142
2016-05-20,2312.584089848279
2016-05-23,2312.536007111137
2016-05-24,2344.0365965543906
2016-05-25,2368.858623092463
2016-05-26,2365.3496431486033
2016-05-27,2384.01456319146
2016-05-30,2383.35286916757
2016-05-31,2383.241234138457
2016-06-01,2373.516353208627
2016-06-02,2379.1284193500906
2016-06-03,2351.09662727259
2016-06-06,2356.6977882105066
2016-06-07,2373.0384212908466
2016-06-08,2374.21766343458
2016-06-09,2374.280369416582
2016-06-10,2346.322132588598
2016-06-13,2316.18337126074
2016-06-14,2313.7375304571674
2016-06-15,2314.9311411623717
2016-06-16,2322.373042809782
2016-06-17,2313.5514003696444
2016-06-20,2335.8951576694044
2016-06-21,2355.6131582242265
2016-06-22,2352.7966685065694
2016-06-23,2370.5684550947367
2016-06-24,2306.090356201123
2016-06-27,2282.4548750155013
2016-06-28,2306.1144292087083
2016-06-29,2345.6789778085113
2016-06-30,2372.472278950092
2016-07-01,2379.0444539187083
2016-07-04,2380.1144709046
