Date,AC EUROPE IMI
1998-12-31,558.0444951941377
1999-01-01,558.1122895731764
1999-01-04,573.314444001118
1999-01-05,579.2583982158742
1999-01-06,591.755516688506
1999-01-07,586.0638421260559
1999-01-08,589.6661664881934
1999-01-11,582.900320418059
1999-01-12,575.4238277609957
1999-01-13,554.2416587596206
1999-01-14,556.5156882618396
1999-01-15,564.5960290587872
1999-01-18,576.6645369749863
1999-01-19,574.9446552962467
1999-01-20,579.6598530523994
1999-01-21,574.3061214239988
1999-01-22,561.1567056888474
1999-01-25,562.6152738439912
1999-01-26,563.7606675548815
1999-01-27,566.5701750637508
1999-01-28,572.3640071470394
1999-01-29,576.0546555716029
1999-02-01,584.6774319103866
1999-02-02,581.6814047484959
1999-02-03,576.357283481915
1999-02-04,577.5366109217399
1999-02-05,575.5060058360517
1999-02-08,572.5222172630544
1999-02-09,562.4466449550789
1999-02-10,558.3294871539847
1999-02-11,565.1562851665014
1999-02-12,570.1759295969387
1999-02-15,573.0170250860725
1999-02-16,576.542085861218
1999-02-17,571.3832002826347
1999-02-18,571.7324161285321
1999-02-19,574.7376307657156
1999-02-22,581.2420328462373
1999-02-23,587.1199369302185
1999-02-24,592.3449719296314
1999-02-25,584.0251501500247
1999-02-26,583.0477937871798
1999-03-01,577.2613279875043
1999-03-02,578.6965401222441
1999-03-03,575.5561615576825
1999-03-04,579.9271225182142
1999-03-05,590.1653792080509
1999-03-08,587.9346851583018
1999-03-09,590.0181315202447
1999-03-10,588.9930243022269
1999-03-11,598.1086607182116
1999-03-12,598.3932311893354
1999-03-15,595.5160391198759
1999-03-16,597.2133875207647
1999-03-17,593.1754824162565
1999-03-18,591.7176920414136
1999-03-19,598.2938587589751
1999-03-22,595.7579195969789
1999-03-23,586.8080206122279
1999-03-24,581.276264862455
1999-03-25,589.8110155142557
1999-03-26,589.7785520052679
1999-03-29,597.0410683812601
1999-03-30,594.9095345843664
1999-03-31,598.6195726862736
1999-04-01,598.1513567301824
