Date,ACWI ex POLAND IMI
2015-12-11,2312.760263727243
2015-12-14,2297.246167931996
2015-12-15,2340.1780570272836
2015-12-16,2366.424350393994
2015-12-17,2376.038951675898
2015-12-18,2345.1460571948396
2015-12-21,2336.6168454321933
2015-12-22,2341.390765824733
2015-12-23,2389.6642770023623
2015-12-24,2376.188362243957
2015-12-25,2375.4207786263823
2015-12-28,2368.0410806117684
2015-12-29,2402.4993359190653
2015-12-30,2387.4366217571774
2015-12-31,2382.029472193703
2016-01-01,2382.089652297087
2016-01-04,2346.4786516641775
2016-01-05,2364.3651363802232
2016-01-06,2329.044018634
2016-01-07,2261.026374083762
2016-01-08,2227.0331283240953
2016-01-11,2226.656292641707
2016-01-12,2235.896131459583
2016-01-13,2209.6565373369053
2016-01-14,2214.7537635587637
2016-01-15,2153.0357870091625
2016-01-18,2157.1037253884033
2016-01-19,2162.1524267676346
2016-01-20,2121.2510279636813
2016-01-21,2141.0423567384732
2016-01-22,2197.863235059106
2016-01-25,2177.653774299948
2016-01-26,2191.8697432109275
2016-01-27,2183.733772318344
2016-01-28,2173.139134207311
2016-01-29,2241.566404297968
2016-02-01,2233.0079925693626
2016-02-02,2192.5813254627415
2016-02-03,2163.939879381032
2016-02-04,2155.7736129010177
2016-02-05,2128.634197846063
2016-02-08,2093.7260115499416
2016-02-09,2049.4478644299306
2016-02-10,2068.7154453482012
2016-02-11,2015.7907399667788
2016-02-12,2053.376217114846
2016-02-15,2098.1929367138446
2016-02-16,2120.5899058931054
2016-02-17,2154.644313850772
2016-02-18,2164.794936439078
2016-02-19,2156.144779170577
2016-02-22,2198.8819403725706
2016-02-23,2177.3615296043226
2016-02-24,2169.505748113187
2016-02-25,2191.5456227568043
2016-02-26,2215.9123221766004
2016-02-29,2220.500439429899
2016-03-01,2260.996317175316
2016-03-02,2289.6412451581605
2016-03-03,2285.758218588818
2016-03-04,2286.683152147926
2016-03-07,2293.687009563312
2016-03-08,2257.541553725719
2016-03-09,2272.111188965203
2016-03-10,2243.5598059658687
2016-03-11,2280.881948016125
2016-03-14,2294.050258945358
2016-03-15,2277.807208131201
2016-03-16,2289.6321157820416
2016-03-17,2275.974558385717
2016-03-18,2287.8746831505964
2016-03-21,2292.460493027905
2016-03-22,2299.902780179952
2016-03-23,2290.9321529185263
2016-03-24,2280.9341580443074
2016-03-25,2282.2429513112806
2016-03-28,2276.953735941788
2016-03-29,2297.5460845393372
2016-03-30,2289.3471295759314
2016-03-31,2277.1401034186288
2016-04-01,2274.767226275057
2016-04-04,2267.861260950194
2016-04-05,2238.189227049118
2016-04-06,2256.1858068137512
2016-04-07,2240.908559126099
2016-04-08,2251.334932279584
2016-04-11,2246.966336401616
2016-04-12,2276.7732253504337
2016-04-13,2327.011316643945
2016-04-14,2338.354197895475
2016-04-15,2330.1511527171547
2016-04-18,2329.161765675048
2016-04-19,2343.5438917255897
2016-04-20,2353.6612273771516
2016-04-21,2357.9221250396545
2016-04-22,2362.0400184625946
2016-04-25,2350.0669892145993
2016-04-26,2347.8470314268634
2016-04-27,2349.092272216776
2016-04-28,2338.2175011948557
2016-04-29,2301.685578894535
2016-05-02,2294.5745773416547
2016-05-03,2268.68551282614
2016-05-04,2254.162073807898
2016-05-05,2268.4783271103897
2016-05-06,2266.021471235922
2016-05-09,2269.2393660488965
2016-05-10,2295.1651479500492
2016-05-11,2277.6569253646726
2016-05-12,2279.0466878200605
2016-05-13,2280.254055817058
2016-05-16,2290.0449286389508
2016-05-17,2282.2266522482496
2016-05-18,2290.9724112422614
2016-05-19,2286.3604381052837
2016-05-20,2302.5466630117667
2016-05-23,2302.4690492209925
2016-05-24,2334.0395775080383
2016-05-25,2358.749374060369
2016-05-26,2355.3661960276036
2016-05-27,2373.933810853448
2016-05-30,2373.322346848584
2016-05-31,2373.12856852124
2016-06-01,2363.5784527678065
2016-06-02,2369.1539831436403
2016-06-03,2341.225753065573
