Date,ZHONG HUA IMI
2007-05-31,1000.0
2007-06-01,1008.1476947343755
2007-06-04,1006.8048095099809
2007-06-05,1010.2624688160676
2007-06-06,1013.0278312627273
2007-06-07,1013.2658506418188
2007-06-08,1006.8482517529051
2007-06-11,1014.3969754138237
2007-06-12,1017.4126339306616
2007-06-13,1018.2315147978736
2007-06-14,1033.6016513087961
2007-06-15,1040.5499496748753
2007-06-18,1064.5076674422976
2007-06-19,1063.7418505931614
2007-06-20,1067.552382127753
2007-06-21,1083.7683469153
2007-06-22,1082.1797674438883
2007-06-25,1070.191789547623
2007-06-26,1065.7524627538066
2007-06-27,1062.6977511696477
2007-06-28,1071.2135165711745
2007-06-29,1065.1889055618399
2007-07-02,1055.6032055775624
2007-07-03,1082.8216352652257
2007-07-04,1087.3894104116582
2007-07-05,1095.1807151508774
2007-07-06,1104.0480440107713
2007-07-09,1127.2287340674413
2007-07-10,1123.5019799841207
2007-07-11,1104.5485468563743
2007-07-12,1112.0403540756924
2007-07-13,1126.172690983034
2007-07-16,1117.8251277962183
2007-07-17,1122.0216650575549
2007-07-18,1106.3697198105892
2007-07-19,1112.9066225348486
2007-07-20,1132.6316205004173
2007-07-23,1144.1278399214393
2007-07-24,1153.9866371330625
2007-07-25,1160.2242908570224
2007-07-26,1152.3694541849795
2007-07-27,1121.1018022395772
2007-07-30,1125.647850647592
2007-07-31,1148.5282481346667
2007-08-01,1109.508904621131
2007-08-02,1101.8941273553082
2007-08-03,1098.7295682644742
2007-08-06,1060.3810347290303
2007-08-07,1056.4516133692077
2007-08-08,1086.3264880580145
2007-08-09,1099.0418381763584
2007-08-10,1067.6010684568298
2007-08-13,1074.4135439519196
2007-08-14,1083.3283072194604
2007-08-15,1058.0640005694881
2007-08-16,1014.7173269699696
2007-08-17,979.075573092569
2007-08-20,1047.4864608310543
2007-08-21,1066.3247476062809
2007-08-22,1093.955570753375
2007-08-23,1123.4470683263128
2007-08-24,1121.6513152936716
2007-08-27,1170.1689665265706
2007-08-28,1159.5899199077155
2007-08-29,1136.311509933536
2007-08-30,1161.6660485832954
2007-08-31,1191.0475850198784
2007-09-03,1195.130246357166
2007-09-04,1198.5683824354494
2007-09-05,1200.1799692862357
2007-09-06,1200.189391531151
2007-09-07,1197.1895850552987
2007-09-10,1198.6065458783787
2007-09-11,1189.895352294537
2007-09-12,1204.1500148686105
2007-09-13,1212.5640819954199
2007-09-14,1235.3806429024785
2007-09-17,1224.9248027486376
2007-09-18,1225.1194335346866
2007-09-19,1264.2075257419906
2007-09-20,1265.0865720218228
2007-09-21,1271.4726708937803
2007-09-24,1310.4469948702892
2007-09-25,1303.8560375003888
2007-09-26,1304.5722916331752
2007-09-27,1334.9204552091708
2007-09-28,1340.1120644780913
2007-10-01,1337.9569949687288
2007-10-02,1403.7412052514294
2007-10-03,1360.8717073142052
2007-10-04,1323.2186850354128
2007-10-05,1371.4005211458611
2007-10-08,1375.380674250356
2007-10-09,1391.5735400079343
2007-10-10,1407.9005423498336
2007-10-11,1442.2750296663548
2007-10-12,1438.1839843549585
2007-10-15,1466.6522684997258
2007-10-16,1453.9305109152037
2007-10-17,1458.3797083565432
2007-10-18,1459.2201725948796
2007-10-19,1462.6874731329774
2007-10-22,1419.9717099327731
2007-10-23,1452.9883976833382
2007-10-24,1453.8232078585092
2007-10-25,1459.4941920807066
2007-10-26,1474.4627923446715
2007-10-29,1523.431836391367
2007-10-30,1522.7969200049856
2007-10-31,1503.4866977086638
2007-11-01,1516.2624321207709
2007-11-02,1466.3811244814638
2007-11-05,1393.7058636609618
2007-11-06,1402.1209258752365
2007-11-07,1407.6008651899328
2007-11-08,1358.3343362525225
2007-11-09,1353.3336727983874
2007-11-12,1302.0322248011587
2007-11-13,1294.165887784102
2007-11-14,1354.338092973532
2007-11-15,1341.5211254541914
2007-11-16,1290.5456487349604
