Date,AC FAR EAST ex JAPAN IMI
1998-12-31,461.1181673062701
1999-01-01,461.1214827685823
1999-01-04,461.37946938605364
1999-01-05,462.6670439101528
1999-01-06,477.9369307322597
1999-01-07,497.9664976708455
1999-01-08,498.6663135323528
1999-01-11,500.17680026911177
1999-01-12,497.09799354400684
1999-01-13,477.5529368479877
1999-01-14,465.76838318904794
1999-01-15,477.5098345705011
1999-01-18,483.592049146925
1999-01-19,480.39220282815194
1999-01-20,482.0356467908578
1999-01-21,469.99762600997343
1999-01-22,454.27779332730194
1999-01-25,439.9944058508837
1999-01-26,442.76866897504016
1999-01-27,456.52714580092197
1999-01-28,451.9484304698356
1999-01-29,454.633000889738
1999-02-01,456.69614868443387
1999-02-02,448.68608239213984
1999-02-03,444.061610536766
1999-02-04,442.56960385563156
1999-02-05,437.59500470084
1999-02-08,439.15707867891257
1999-02-09,431.4182345759404
1999-02-10,427.08367155662336
1999-02-11,432.78656658214294
1999-02-12,444.13087655329196
1999-02-15,445.45834657528496
1999-02-16,447.6918318561861
1999-02-17,444.5718961616104
1999-02-18,440.3439008489961
1999-02-19,439.0663953571514
1999-02-22,445.7987917047261
1999-02-23,447.5813838615277
1999-02-24,452.09851158181357
1999-02-25,448.3074934054084
1999-02-26,458.8491979127107
1999-03-01,464.7185077712014
1999-03-02,463.33667314060835
1999-03-03,465.8676674003446
1999-03-04,467.65034374224075
1999-03-05,471.91061758765153
1999-03-08,478.4268977133178
1999-03-09,481.1026896056936
1999-03-10,481.51640906401167
1999-03-11,487.1198221874485
1999-03-12,487.82634266150654
1999-03-15,493.7684970577493
1999-03-16,499.4478272974214
1999-03-17,495.3516453895837
1999-03-18,491.86769939572474
1999-03-19,506.5755730391175
1999-03-22,510.6504784712506
1999-03-23,510.27405026531886
1999-03-24,502.68487421613537
1999-03-25,507.9852334091877
1999-03-26,514.1325301958753
1999-03-29,509.34215312913676
1999-03-30,514.7876587659485
1999-03-31,513.115635321009
1999-04-01,520.9479411745913
1999-04-02,526.783484520093
1999-04-05,530.9748179512719
1999-04-06,533.2483057216006
1999-04-07,541.74641721196
1999-04-08,545.3606338457397
1999-04-09,556.15759451941
1999-04-12,552.0557001623026
1999-04-13,560.6480146146
1999-04-14,562.96055485948
1999-04-15,577.1110974847718
1999-04-16,595.8892395557872
1999-04-19,626.9066565487567
1999-04-20,615.165763116629
1999-04-21,613.8917995474299
1999-04-22,622.6603776508377
1999-04-23,623.9988048264812
1999-04-26,637.8271485939974
1999-04-27,642.4195940876491
1999-04-28,636.6394829820406
1999-04-29,628.8526750290915
1999-04-30,640.11902928117
1999-05-03,644.2473341538798
1999-05-04,659.0598704570713
1999-05-05,658.9299630070941
1999-05-06,660.7653604306969
1999-05-07,644.0081415759441
1999-05-10,645.7309881590813
1999-05-11,642.6492639469872
1999-05-12,645.1432119087215
1999-05-13,640.6503430473078
1999-05-14,635.7443368879013
1999-05-17,628.0688511319408
1999-05-18,632.7406527979247
1999-05-19,629.2103601449728
1999-05-20,626.7205839177096
1999-05-21,631.1074152123584
1999-05-24,629.2744156648887
1999-05-25,621.2497221172697
1999-05-26,632.7955813224372
1999-05-27,635.7053216659458
1999-05-28,630.2509101202234
1999-05-31,632.6494219022743
1999-06-01,639.2643656079464
1999-06-02,653.4614283136275
1999-06-03,656.3516255799196
1999-06-04,662.7416158626949
1999-06-07,684.3753915541627
1999-06-08,689.5220322742317
1999-06-09,683.5934711775916
1999-06-10,689.7284945066797
1999-06-11,690.8995557074054
1999-06-14,690.0943955841034
1999-06-15,686.4805835298426
1999-06-16,704.7710282283529
1999-06-17,714.4260667505903
1999-06-18,712.7016701063778
1999-06-21,739.2839155096136
1999-06-22,750.8947493235646
1999-06-23,750.7365142138002
1999-06-24,745.5357900251996
1999-06-25,731.9024993843067
1999-06-28,744.0951077752899
1999-06-29,747.18488881539
1999-06-30,739.7389603538878
1999-07-01,755.2177362964989
1999-07-02,770.4458968814852
1999-07-05,779.8711620585656
1999-07-06,776.877083031648
1999-07-07,774.4643470961562
1999-07-08,775.5368268646281
1999-07-09,779.4493881160678
1999-07-12,777.2373858456789
1999-07-13,763.0044871889712
1999-07-14,740.9838557845997
1999-07-15,747.0317981265149
1999-07-16,741.0439729623774
1999-07-19,741.9878295418702
1999-07-20,729.13243212187
1999-07-21,711.7886095201777
1999-07-22,707.5341119882872
1999-07-23,686.6623242541438
1999-07-26,658.8465643026565
1999-07-27,670.6627402959994
1999-07-28,686.0654335567272
1999-07-29,691.0514835277613
1999-07-30,686.6768009263835
1999-08-02,686.3939749027321
1999-08-03,690.8515067967115
1999-08-04,682.9285655369004
1999-08-05,662.9294380386643
1999-08-06,659.0731676138521
1999-08-09,665.2627975131398
1999-08-10,660.9966253067151
1999-08-11,650.2782516492879
1999-08-12,659.2189199689316
1999-08-13,657.4079584596772
1999-08-16,669.9286715590844
1999-08-17,662.6481737366173
1999-08-18,668.4645024437615
1999-08-19,672.1974028693337
1999-08-20,679.7885756968484
1999-08-23,695.6174617003809
1999-08-24,699.0614625243583
1999-08-25,715.0311065562128
1999-08-26,716.5397549246336
1999-08-27,711.6035579614576
1999-08-30,710.4997324707765
1999-08-31,698.219826466972
1999-09-01,691.4011647460799
1999-09-02,679.1109162973714
1999-09-03,681.7776457402211
1999-09-06,691.4713040362271
1999-09-07,686.7010548777689
1999-09-08,681.0513035595255
1999-09-09,698.1331734808879
1999-09-10,711.1612219282483
1999-09-13,724.1278853184106
1999-09-14,715.2010877222042
1999-09-15,704.6561056090559
1999-09-16,693.1545547044019
