Date,ACWI ex PERU IMI
2015-12-11,2310.2985324191836
2015-12-14,2294.812666435581
2015-12-15,2337.6895801491523
2015-12-16,2363.941202532672
2015-12-17,2373.5996998009073
2015-12-18,2342.8319387549
2015-12-21,2334.359513847652
2015-12-22,2339.1241745688503
2015-12-23,2387.2858306447883
2015-12-24,2373.8373614802385
2015-12-25,2373.0712746343456
2015-12-28,2365.7110623338554
2015-12-29,2400.1300214604853
2015-12-30,2385.046598702519
2015-12-31,2379.6185724791967
2016-01-01,2379.6786351843575
2016-01-04,2344.059283614506
2016-01-05,2361.8863744777464
2016-01-06,2326.6201914531944
2016-01-07,2258.706218119751
2016-01-08,2224.7410721987653
2016-01-11,2224.337515711115
2016-01-12,2233.625028648917
2016-01-13,2207.4911613126787
2016-01-14,2212.5501352202155
2016-01-15,2150.8932039318797
2016-01-18,2154.837619695337
2016-01-19,2159.9155792827037
2016-01-20,2119.026774411175
2016-01-21,2138.7912845039314
2016-01-22,2195.5551865819516
2016-01-25,2175.3913082474046
2016-01-26,2189.532035559958
2016-01-27,2181.4251090611483
2016-01-28,2170.8818409084406
2016-01-29,2239.213740934289
2016-02-01,2230.6928931411107
2016-02-02,2190.3103148832406
2016-02-03,2161.70982611935
2016-02-04,2153.614752310223
2016-02-05,2126.538266231069
2016-02-08,2091.6593010475603
2016-02-09,2047.473967798864
2016-02-10,2066.6825017548445
2016-02-11,2013.85761123359
2016-02-12,2051.3399138116615
2016-02-15,2096.102885811854
2016-02-16,2118.4503638580677
2016-02-17,2152.542646917
2016-02-18,2162.6973254597474
2016-02-19,2154.046149422947
2016-02-22,2196.707233903733
2016-02-23,2175.212940020815
2016-02-24,2167.3221643261954
2016-02-25,2189.3460508717612
2016-02-26,2213.673426129322
2016-02-29,2218.2431060765957
2016-03-01,2258.644199595737
2016-03-02,2287.1968091504327
2016-03-03,2283.3937222397444
2016-03-04,2284.3079167358655
2016-03-07,2291.330729009535
2016-03-08,2255.256110721866
2016-03-09,2269.784485446963
2016-03-10,2241.295328309081
2016-03-11,2278.602721793314
2016-03-14,2291.7598425348842
2016-03-15,2275.5403200337355
2016-03-16,2287.3264897993995
2016-03-17,2273.741867269586
2016-03-18,2285.6496971863485
2016-03-21,2290.22369852403
2016-03-22,2297.6687548583545
2016-03-23,2288.686353583128
2016-03-24,2278.7044914410158
2016-03-25,2280.0107185991383
