Date,ACFM EUROPE + CIS (E+C) IMI
2007-05-31,1000.0
2007-06-01,1009.8157081783744
2007-06-04,1006.8252326346209
2007-06-05,1001.2731377990499
2007-06-06,985.702635865593
2007-06-07,974.3812532692107
2007-06-08,973.3947889080966
2007-06-11,982.626824005599
2007-06-12,977.616421795391
2007-06-13,981.2173200460138
2007-06-14,996.7496023237137
2007-06-15,1009.0705579986688
2007-06-18,1006.2840252014814
2007-06-19,1002.8406535747727
2007-06-20,1006.7574761605899
2007-06-21,996.6196945941472
2007-06-22,993.7516956856547
2007-06-25,992.0265230226616
2007-06-26,986.8944600480227
2007-06-27,982.0963260483542
2007-06-28,992.3572443496307
2007-06-29,997.6709717150808
2007-07-02,994.7576440238822
2007-07-03,1003.9835563136648
2007-07-04,1008.4935593696863
2007-07-05,1002.9561077252773
2007-07-06,1008.6728453124305
2007-07-09,1012.3355702279736
2007-07-10,1000.9363782042572
2007-07-11,997.9153605475641
2007-07-12,1010.0769566639344
2007-07-13,1014.3637846156955
2007-07-16,1015.7530750224773
2007-07-17,1010.902614159293
2007-07-18,999.7610639175538
2007-07-19,1009.7024200155684
2007-07-20,999.3472119632063
2007-07-23,1005.5586539779505
2007-07-24,990.1526122071103
2007-07-25,981.7563703697725
2007-07-26,953.8248393125459
2007-07-27,948.3842415049443
2007-07-30,947.1053197598847
2007-07-31,967.4409951437177
2007-08-01,952.6206374283709
2007-08-02,959.192300589667
2007-08-03,947.4961592677333
2007-08-06,937.7466679477378
2007-08-07,949.7531446845283
2007-08-08,968.6106977418262
2007-08-09,951.462932272259
2007-08-10,922.8717920746735
2007-08-13,943.2169318751409
2007-08-14,932.2788298256564
2007-08-15,929.410139200551
2007-08-16,895.6256393352743
2007-08-17,914.0777329944702
2007-08-20,919.9723684364149
2007-08-21,919.2800927514115
2007-08-22,936.2098458249361
2007-08-23,938.2132801561058
2007-08-24,941.3110209323131
2007-08-27,943.5095607414122
2007-08-28,927.2762944575794
2007-08-29,932.6708414908722
2007-08-30,943.3380344735441
2007-08-31,956.387471752086
2007-09-03,959.2734742695749
2007-09-04,965.4846288761676
2007-09-05,948.9180420119197
2007-09-06,951.9236245463777
2007-09-07,931.6546389108591
2007-09-10,923.0892544967855
2007-09-11,938.3303595422105
2007-09-12,940.166021193391
2007-09-13,947.5978128467486
2007-09-14,936.7951277574228
2007-09-17,922.6504093745419
2007-09-18,935.7470154580792
2007-09-19,960.7803286702348
2007-09-20,954.1664930626644
2007-09-21,958.7543944254883
2007-09-24,958.4345651171491
2007-09-25,947.356010774538
2007-09-26,954.2615831583506
2007-09-27,961.3522613998545
2007-09-28,961.0686654560344
2007-10-01,967.9453401884742
2007-10-02,973.5451377357253
2007-10-03,975.3131306451768
2007-10-04,976.764558888923
2007-10-05,984.3326491194124
2007-10-08,982.5481725511899
2007-10-09,987.8098875000469
2007-10-10,988.9522668105988
2007-10-11,995.2444680516675
2007-10-12,995.6461148144294
2007-10-15,987.3549875920942
2007-10-16,980.0476991402629
2007-10-17,986.6321915953966
2007-10-18,978.0744133892717
2007-10-19,971.9711048762412
