Date,ACWI ex CZECH REPUBLIC IMI
2015-12-11,2310.276424724631
2015-12-14,2294.7859086267636
2015-12-15,2337.677131870368
2015-12-16,2363.9327999198067
2015-12-17,2373.5916373071614
2015-12-18,2342.8047458291244
2015-12-21,2334.328770729061
2015-12-22,2339.0932628505025
2015-12-23,2387.2714219225836
2015-12-24,2373.825816883394
2015-12-25,2373.0598222304347
2015-12-28,2365.6839528330074
2015-12-29,2400.105903596329
2015-12-30,2385.01187413345
2015-12-31,2379.5858265467086
2016-01-01,2379.645882018299
2016-01-04,2344.0294480434436
2016-01-05,2361.862041377255
2016-01-06,2326.587941813902
2016-01-07,2258.6613697469966
2016-01-08,2224.6820350576395
2016-01-11,2224.2701930180665
2016-01-12,2233.5657049444417
2016-01-13,2207.428277512445
2016-01-14,2212.497134495529
2016-01-15,2150.8318999612507
2016-01-18,2154.788808619211
2016-01-19,2159.8557962345076
2016-01-20,2118.9870537766883
2016-01-21,2138.7520805202685
2016-01-22,2195.520700797284
2016-01-25,2175.3555427154106
2016-01-26,2189.5135400894383
2016-01-27,2181.406758023961
2016-01-28,2170.86541154409
2016-01-29,2239.212649386106
2016-02-01,2230.6888245660357
2016-02-02,2190.2924337763616
2016-02-03,2161.7087446220544
2016-02-04,2153.6209998713543
2016-02-05,2126.5445340889482
2016-02-08,2091.667499017981
2016-02-09,2047.48149502443
2016-02-10,2066.7157382992277
2016-02-11,2013.9048771605392
2016-02-12,2051.4273484434893
2016-02-15,2096.1809576780975
2016-02-16,2118.526131172183
2016-02-17,2152.6141062526676
2016-02-18,2162.752838683842
2016-02-19,2154.107005361734
2016-02-22,2196.78879014273
2016-02-23,2175.2914407486332
2016-02-24,2167.420386719385
2016-02-25,2189.447198202315
2016-02-26,2213.774149672685
2016-02-29,2218.33869820994
2016-03-01,2258.7443828525
2016-03-02,2287.3317520197097
2016-03-03,2283.52803345163
2016-03-04,2284.4486531299926
2016-03-07,2291.4685348488965
2016-03-08,2255.369474095665
2016-03-09,2269.91895114189
2016-03-10,2241.4169065562346
2016-03-11,2278.7231627099786
2016-03-14,2291.8735630363108
2016-03-15,2275.644373300875
2016-03-16,2287.442884035404
2016-03-17,2273.8681314966752
2016-03-18,2285.7734214089783
