Date,ACWI ex USA IMI
1998-12-31,512.8038455685387
1999-01-01,512.8432867710263
1999-01-04,519.516192802608
1999-01-05,523.2264872479933
1999-01-06,533.7882767949948
1999-01-07,534.709125260469
1999-01-08,537.3029499160035
1999-01-11,535.4654745134998
1999-01-12,527.1554581155866
1999-01-13,507.48738218630103
1999-01-14,509.0782236020361
1999-01-15,517.0580243369847
1999-01-18,524.7354042803898
1999-01-19,524.1071816413895
1999-01-20,529.4299081601423
1999-01-21,526.3136703469003
1999-01-22,515.870144575109
1999-01-25,516.3649490144329
1999-01-26,518.1346482840773
1999-01-27,521.1759333863217
1999-01-28,524.4133941594102
1999-01-29,529.582801328239
1999-02-01,537.3402727522206
1999-02-02,536.3004197973638
1999-02-03,531.8967780005379
1999-02-04,532.972089548794
1999-02-05,530.2323933851594
1999-02-08,528.9050348155896
1999-02-09,519.6914598583221
1999-02-10,516.2176751709378
1999-02-11,521.9436842774038
1999-02-12,526.2785608196683
1999-02-15,527.9151171848924
1999-02-16,528.5378910782317
1999-02-17,523.2775755833607
1999-02-18,522.7654065128288
1999-02-19,526.2114657609579
1999-02-22,533.2947628010766
1999-02-23,537.2257703013954
1999-02-24,540.1712273796568
1999-02-25,535.1103607335516
1999-02-26,537.0505400661613
1999-03-01,533.0338326345288
1999-03-02,531.2399533170724
1999-03-03,529.7495330759909
1999-03-04,533.1172563246691
1999-03-05,545.157672314421
1999-03-08,545.253273732615
1999-03-09,548.8212096022387
1999-03-10,551.5444416245471
1999-03-11,559.6368966038438
1999-03-12,558.8613146419141
1999-03-15,560.9818244542365
1999-03-16,566.1640922818759
1999-03-17,563.0928421486667
1999-03-18,560.6962390309966
1999-03-19,571.1298639877884
1999-03-22,569.5321657535749
1999-03-23,563.7047458812602
1999-03-24,557.2346636302292
1999-03-25,565.7160505561069
1999-03-26,568.1535866414745
1999-03-29,573.0353040242974
1999-03-30,570.5778269170454
1999-03-31,574.2076911178827
1999-04-01,576.6842260627254
1999-04-02,577.2685843201149
1999-04-05,578.8007154659738
1999-04-06,584.2390134295488
1999-04-07,586.527869892195
1999-04-08,589.9185406787904
1999-04-09,593.4017156475034
1999-04-12,589.3031779676594
1999-04-13,596.2599675505749
1999-04-14,598.8370131297632
1999-04-15,599.2883739288337
1999-04-16,603.0946952103524
1999-04-19,610.631190399214
1999-04-20,599.7839260973357
1999-04-21,598.7868523330394
1999-04-22,604.3337256720947
1999-04-23,605.7951225541235
1999-04-26,611.104713808762
1999-04-27,614.8919621249084
1999-04-28,616.3079384465558
1999-04-29,615.6362085983486
1999-04-30,617.6719535307341
1999-05-03,619.6052321472988
1999-05-04,618.8548187600011
1999-05-05,612.0610155608462
1999-05-06,614.6425823719712
1999-05-07,610.6896193887638
1999-05-10,611.6743236235702
1999-05-11,611.9520818677686
1999-05-12,611.8290801882603
1999-05-13,614.4641929285272
1999-05-14,605.615751142807
1999-05-17,595.3842266818859
1999-05-18,599.7601958066124
1999-05-19,598.5840534993608
1999-05-20,602.4382591295943
1999-05-21,604.5266739262839
1999-05-24,602.7308068694233
1999-05-25,596.5161179744069
1999-05-26,600.9920563648673
1999-05-27,597.7078950133746
1999-05-28,598.910485690095
1999-05-31,601.1600538873519
1999-06-01,603.8211603354665
1999-06-02,610.0630963597852
1999-06-03,611.7575529854374
1999-06-04,616.5704802442744
1999-06-07,623.8495496130694
1999-06-08,622.7111332073014
1999-06-09,625.0578256605432
1999-06-10,623.70286101067
1999-06-11,628.9145403498569
1999-06-14,626.1727458576578
1999-06-15,626.2006235628371
1999-06-16,634.5644344230351
1999-06-17,639.538033858204
1999-06-18,637.7303493656966
1999-06-21,645.4552820686515
1999-06-22,646.5901175077861
1999-06-23,640.6570247065116
1999-06-24,635.5531620938636
1999-06-25,631.4116245312201
1999-06-28,636.3720566828334
1999-06-29,638.9493040093994
1999-06-30,639.114288295466
1999-07-01,653.9546337636939
1999-07-02,659.4265066741871
1999-07-05,667.4652514918586
1999-07-06,664.9628329789542
1999-07-07,662.7191099670372
1999-07-08,661.2721592092445
1999-07-09,661.8811790655968
