Date,AC AP IMI WITH PARTIAL A SHARES
2008-11-27,1025.866506252209
2008-11-28,1056.4415477919688
2008-12-30,1028.7941400092354
2008-12-31,1048.3397450055072
2009-01-29,1054.3450086331343
2009-01-30,1057.1714699051179
2009-02-26,955.170500257748
2009-02-27,967.1018271819939
2009-03-30,1024.5948206729581
2009-03-31,1002.4169134082478
2009-04-29,1093.4572255357402
2009-04-30,1129.6209047815812
2009-05-28,1194.6142805898285
2009-05-29,1197.8842533162115
2009-06-29,1218.1495538034987
2009-06-30,1226.9140368904455
2009-07-30,1304.5304494153697
2009-07-31,1317.2480429600375
2009-08-28,1326.7207092104545
2009-08-31,1323.4317496862507
2009-09-29,1349.5180221181502
2009-09-30,1357.0893397182986
2009-10-29,1302.078811445865
2009-10-30,1327.9911881106914
2009-11-27,1281.7175804465185
2009-11-30,1319.9795181673383
2009-12-30,1412.7376113774621
2009-12-31,1415.1646522259896
2010-01-28,1438.1209305592731
2010-01-29,1417.925833432508
2010-02-25,1462.2289223491757
2010-02-26,1461.7598405872
2010-03-30,1592.5875059259063
2010-03-31,1570.5184449049532
2010-04-29,1602.6903113395501
2010-04-30,1613.2919076216463
2010-05-28,1569.8670201477469
2010-05-31,1579.313178547432
2010-06-29,1601.9031389898225
2010-06-30,1577.3360702174411
2010-07-29,1568.7515007169156
2010-07-30,1567.5757586439918
2010-08-30,1605.1310700846818
2010-08-31,1578.720200357582
2010-09-29,1622.8143244630203
2010-09-30,1602.4864149441955
2010-10-28,1614.2903750746104
2010-10-29,1612.4553130632187
2010-11-29,1715.095078284652
2010-11-30,1713.7919639906158
2010-12-30,1791.327918680449
2010-12-31,1783.0074829070259
2011-01-28,1753.7406505259712
2011-01-31,1730.6301339784238
2011-02-25,1728.4479161273805
2011-02-28,1729.0251117807056
2011-03-30,1671.671224344543
2011-03-31,1672.0809390372663
2011-04-28,1646.9683714112555
2011-04-29,1644.075164931227
2011-05-30,1650.4499020357562
2011-05-31,1661.7086227637053
2011-06-29,1627.2750121205595
2011-06-30,1636.7287328995567
2011-07-28,1699.1116512286394
2011-07-29,1680.3379972438465
2011-08-30,1515.5636199537103
2011-08-31,1538.7114241319543
2011-09-29,1487.2367278086144
2011-09-30,1500.5541388377533
2011-10-28,1559.6563592565694
2011-10-31,1548.6594007024719
2011-11-29,1510.1127408571467
2011-11-30,1500.9292228283182
2011-12-29,1552.5117032469268
2011-12-30,1559.6530691491455
2012-01-30,1654.7396263586093
2012-01-31,1669.2127305769957
2012-02-28,1704.1864389332488
2012-02-29,1718.5128398564816
2012-03-29,1705.7025321834517
2012-03-30,1702.7554103709429
2012-04-27,1679.843057010702
2012-04-30,1696.7008844128625
2012-05-30,1638.423054868634
2012-05-31,1639.7741709054947
2012-06-28,1666.9363046841731
2012-06-29,1663.8211934717747
2012-07-30,1726.2500134174652
2012-07-31,1734.7136360021495
2012-08-30,1711.584917116743
2012-08-31,1689.7185633458218
2012-09-27,1732.429633680864
2012-09-28,1731.7791847588464
2012-10-30,1697.075138367018
2012-10-31,1711.3834365030466
2012-11-29,1740.3284053579068
2012-11-30,1742.5974005997905
2012-12-28,1783.0893035328797
2012-12-31,1784.944528914922
2013-01-30,1789.630246525715
2013-01-31,1788.1898611585664
2013-02-27,1856.937231283601
2013-02-28,1887.0940397207391
2013-03-28,1942.0284713481337
2013-03-29,1943.121293192575
2013-04-29,1971.5934658606545
2013-04-30,1981.4344405847173
2013-05-30,1915.459588999279
2013-05-31,1921.206252377384
2013-06-27,1819.386960378433
2013-06-28,1851.7900865340441
2013-07-30,1865.4366036865986
2013-07-31,1840.2894765945775
2013-08-29,1818.3305595855866
2013-08-30,1829.013593139637
2013-09-27,1936.6124741674996
2013-09-30,1909.0077008012438
2013-10-30,1936.1851510936656
2013-10-31,1949.244515922469
2013-11-28,1941.8883692083696
2013-11-29,1942.060630836602
2013-12-30,1904.8906102643589
2013-12-31,1912.9700398393686
2014-01-30,1860.2559886149213
2014-01-31,1873.6705046871732
2014-02-27,1890.7805604973405
2014-02-28,1871.375110074427
2014-03-28,1873.238264218403
2014-03-31,1886.6526980016563
2014-04-29,1874.9097878913813
2014-04-30,1867.238322926777
2014-05-29,1970.6240621391496
2014-05-30,1962.2514634693675
2014-06-27,2015.2404552930893
2014-06-30,2018.0097848050918
2014-07-30,2118.65041952796
2014-07-31,2110.6223965793347
2014-08-28,2142.2956083612394
2014-08-29,2139.0262630279835
2014-09-29,2130.0555275773427
2014-09-30,2126.6566092247785
2014-10-30,2121.9653076567247
2014-10-31,2158.8945519174113
2014-11-27,2152.279317041101
2014-11-28,2152.8737107759
2014-12-30,2171.1717874461015
2014-12-31,2183.339733849607
2015-01-29,2372.5790495154847
2015-01-30,2384.168904958548
2015-02-26,2500.1545425893487
2015-02-27,2498.688772964555
2015-03-30,2607.0371302202493
2015-03-31,2627.467535084224
2015-04-29,2708.5320902189083
2015-04-30,2647.1984052912458
2015-05-28,2694.46124407945
2015-05-29,2687.429290315743
2015-06-29,2537.247157295886
2015-06-30,2564.132280211111
2015-07-30,2512.5378270521264
2015-07-31,2504.978985178935
2015-08-28,2284.2513826405834
2015-08-31,2269.2285616903423
2015-09-29,2132.5269706340696
2015-09-30,2189.5635465817218
2015-10-29,2406.2777495552073
2015-10-30,2397.657463909436
2015-11-27,2483.902902239931
2015-11-30,2468.6109500263524
2015-12-30,2394.9511033915496
2015-12-31,2408.933955043142
2016-01-28,2164.0570883163614
2016-01-29,2220.9825662065573
2016-02-26,2172.923965634805
2016-02-29,2178.4767676349475
2016-03-30,2264.1884893851366
2016-03-31,2257.8304569199504
2016-04-28,2307.8126366029883
2016-04-29,2288.7236008275854
2016-05-30,2305.5744724705614
2016-05-31,2324.1074172503104
2016-06-29,2315.7217288639736
2016-06-30,2335.4611183971724
2016-07-28,2446.8205029461974
2016-07-29,2453.8545263456954
2016-08-30,2484.648693356047
2016-08-31,2489.345823264233
2016-09-29,2542.8811094488833
2016-09-30,2514.41239760497
2016-10-28,2565.8163146338366
2016-10-31,2563.092239725521
2018-03-30,2925.422699593131
2018-04-11,2935.37182449293
2018-04-12,2935.5060812821566
2018-04-13,2936.5512448846503
2018-04-16,2925.890677142699
2018-04-17,2921.957976492659
2018-04-18,2937.556564118593
2018-04-19,2954.1413489769375
2018-04-20,2948.2445731154835
2018-04-23,2941.410403686627
2018-04-24,2947.9404746864316
2018-04-25,2939.5087742547144
2018-04-26,2953.765705540306
2018-04-27,2980.2030766789712
2018-04-30,2999.9393064415303
2018-05-01,3017.2422580554157
2018-05-02,3015.229258804244
2018-05-03,3017.13452544023
2018-05-04,3012.384268213685
2018-05-07,3023.337014652085
2018-05-08,3048.9181742757987
2018-05-09,3039.280650369994
2018-05-10,3050.3032480801694
2018-05-11,3061.597425461326
