Date,ACWI + FRONTIER MARKETS (ACWI FM) IMI
2002-05-31,737.6622425523168
2002-06-03,724.5290719130088
2002-06-04,716.5675753540247
2002-06-05,721.4479585622635
2002-06-06,708.2990849518848
2002-06-07,704.7081765076342
2002-06-10,706.1392282451112
2002-06-11,701.4465562047892
2002-06-12,697.1070050965631
2002-06-13,690.4840981877339
2002-06-14,682.6097871196663
2002-06-17,700.0356325244483
2002-06-18,697.6400912782673
2002-06-19,682.4570237374537
2002-06-20,669.5920546131293
2002-06-21,660.2343675963117
2002-06-24,652.8255080089508
2002-06-25,653.8548663813629
2002-06-26,637.5081668363844
2002-06-27,649.4824172157379
2002-06-28,655.3791415646273
2002-07-01,647.5409714010018
2002-07-02,634.6906295420638
2002-07-03,635.1548286326848
2002-07-04,638.659395516393
2002-07-05,661.8451361746012
2002-07-08,650.4983586556289
2002-07-09,638.5819484309502
2002-07-10,624.2203390594317
2002-07-11,617.8665307701978
2002-07-12,617.0388747483155
2002-07-15,598.6045771222565
2002-07-16,590.155757232093
2002-07-17,598.0291597849032
2002-07-18,592.1755247557294
2002-07-19,569.9208859987552
2002-07-22,554.5977356160282
2002-07-23,548.607157310512
2002-07-24,560.9407457875191
2002-07-25,560.1280727458857
2002-07-26,568.6946090089214
2002-07-29,599.6336204046875
2002-07-30,598.4203044627376
2002-07-31,604.1711303430048
2002-08-01,587.4148117231917
2002-08-02,577.9606291641913
2002-08-05,560.9251107786156
2002-08-06,583.4292998521678
2002-08-07,587.6657942587431
2002-08-08,604.3270278821491
2002-08-09,607.3961569360711
2002-08-12,599.6545809878183
2002-08-13,593.6901601106281
2002-08-14,599.8040213350923
2002-08-15,612.1548957188529
2002-08-16,610.970080737494
2002-08-19,625.15272761873
2002-08-20,618.789216333183
2002-08-21,623.0541411708572
2002-08-22,635.5500071127768
2002-08-23,625.1489007209718
2002-08-26,628.0976877575442
2002-08-27,621.6670111445287
2002-08-28,607.939658827442
2002-08-29,603.7345585117084
2002-08-30,605.926656653986
2002-09-02,601.2254155190595
2002-09-03,574.7439583003999
2002-09-04,580.8010085205158
2002-09-05,576.2499704806784
2002-09-06,588.4943634729557
2002-09-09,592.1942173795411
2002-09-10,601.8736475268822
2002-09-11,606.0937903710484
2002-09-12,590.8182647916417
2002-09-13,586.6292744186844
2002-09-16,588.4288055228992
2002-09-17,583.4788571358777
2002-09-18,572.3355530617861
2002-09-19,558.4994517476999
2002-09-20,557.0092528199824
2002-09-23,546.9314889905086
2002-09-24,540.3114624443022
2002-09-25,549.7838653893633
2002-09-26,563.5400359122694
2002-09-27,555.071906699732
2002-09-30,538.9157074142038
2002-10-01,552.2731233960343
2002-10-02,547.5311474749583
2002-10-03,540.2455298782854
2002-10-04,532.8545022849125
2002-10-07,522.1383639535735
2002-10-08,526.2722406311108
2002-10-09,512.306564401688
2002-10-10,524.9924806095302
2002-10-11,543.3579845306863
2002-10-14,544.1397529392697
2002-10-15,570.8197399497888
2002-10-16,561.3747912215085
2002-10-17,578.8319338578482
2002-10-18,581.0283785750161
2002-10-21,585.8252623011186
2002-10-22,577.5310157582087
2002-10-23,577.588979822737
2002-10-24,576.7968143181253
2002-10-25,580.9632376652212
2002-10-28,577.7936428651446
2002-10-29,567.5465686091401
2002-10-30,575.3201123733623
2002-10-31,572.97062614487
2002-11-01,574.6917777267993
2002-11-04,583.5824357006991
2002-11-05,585.0003084122346
2002-11-06,588.65767553898
2002-11-07,574.0971759988439
2002-11-08,566.7715274080088
2002-11-11,558.0826161436275
2002-11-12,562.7159109677434
2002-11-13,561.4690923288093
2002-11-14,573.3491760290065
2002-11-15,576.756023517249
2002-11-18,572.9689335482633
2002-11-19,568.5715481813328
2002-11-20,578.6913525444343
2002-11-21,593.37711582892
2002-11-22,594.3069261147465
2002-11-25,598.5244884069348
2002-11-26,587.8448011504863
2002-11-27,602.0648875622713
2002-11-28,602.1976500067034
2002-11-29,601.1827526930402
2002-12-02,600.8087612876939
2002-12-03,591.0482505276174
2002-12-04,586.2474401066347
2002-12-05,580.105295664347
2002-12-06,578.3929170505514
2002-12-09,568.0216491788648
2002-12-10,572.0706470641682
2002-12-11,573.8278953755593
2002-12-12,568.319835523489
2002-12-13,559.5928060585458
2002-12-16,570.6106164508814
2002-12-17,562.55945404415
2002-12-18,555.3819737457372
2002-12-19,554.1148209694766
2002-12-20,558.9050865837339
2002-12-23,560.2045642539966
2002-12-24,557.0597543241104
2002-12-25,556.9005582725634
2002-12-26,555.849576410459
2002-12-27,544.2346945692968
