Date,ACWI IMI WITH USA GROSS
2001-09-28,1000.0
2001-10-01,989.978796497649
2001-10-02,998.606675077718
2001-10-03,1005.860993334114
2001-10-04,1023.870295047939
2001-10-05,1018.8663549791797
2001-10-08,1013.7507151314517
2001-10-09,1009.6975522971387
2001-10-10,1032.4820320417884
2001-10-11,1058.87981366505
2001-10-12,1052.929750467422
2001-10-15,1045.0173239883954
2001-10-16,1051.7207931690637
2001-10-17,1050.5078156155057
2001-10-18,1042.1507671014965
2001-10-19,1045.6021235840449
2001-10-22,1062.202705580725
2001-10-23,1071.4399755161926
2001-10-24,1070.844186276272
2001-10-25,1070.7960493987746
2001-10-26,1082.2416236456068
2001-10-29,1052.1462486879052
2001-10-30,1029.7471696826315
2001-10-31,1040.4372782606679
2001-11-01,1048.9235612407208
2001-11-02,1053.1472080324518
2001-11-05,1074.9442738198497
2001-11-06,1085.2524849934327
2001-11-07,1080.9498124533657
2001-11-08,1095.6663800301526
2001-11-09,1091.6614392512008
2001-11-12,1083.8290845035215
2001-11-13,1113.9611510132565
2001-11-14,1116.4233894628399
2001-11-15,1123.0977023310845
2001-11-16,1120.6799727364617
2001-11-19,1139.183002617466
2001-11-20,1125.9306725304702
2001-11-21,1128.6520961162953
2001-11-22,1128.2038831551815
2001-11-23,1136.7878062078437
2001-11-26,1143.2097872281806
2001-11-27,1133.7768153286738
2001-11-28,1112.0335445154851
2001-11-29,1116.231798946862
2001-11-30,1109.5412608352258
2001-12-03,1105.3659257091538
2001-12-04,1117.1578636203824
2001-12-05,1146.6545761420196
2001-12-06,1146.212664466593
2001-12-07,1138.4050253802443
2001-12-10,1123.849784128093
2001-12-11,1121.2667513324725
2001-12-12,1116.2217708323772
2001-12-13,1096.1470689823166
2001-12-14,1089.1091300545122
2001-12-17,1097.1921313231633
2001-12-18,1104.8310704356377
2001-12-19,1107.7495197360533
2001-12-20,1102.6623200189463
2001-12-21,1118.071520586666
2001-12-24,1127.8174909537447
2001-12-25,1128.0196336426416
2001-12-26,1129.7261400186276
2001-12-27,1132.1937906901367
2001-12-28,1144.6633448715256
2001-12-31,1130.7851421766893
2002-01-01,1130.7873682940015
2002-01-02,1117.0297223123475
2002-01-03,1133.0531393989975
2002-01-04,1147.9880989634228
2002-01-07,1145.0253364960247
2002-01-08,1139.0682481862762
2002-01-09,1137.8840858376298
2002-01-10,1128.7253624301738
2002-01-11,1125.7804085588052
2002-01-14,1111.4746382365695
2002-01-15,1117.732635783973
2002-01-16,1111.8689581748242
2002-01-17,1123.6186020064988
2002-01-18,1115.1624124391387
