Date,ACWI ex FINLAND IMI
2015-12-11,2311.6154340510084
2015-12-14,2296.1639458038585
2015-12-15,2339.0028592168396
2015-12-16,2365.2915685815797
2015-12-17,2374.91463134223
2015-12-18,2344.13305439165
2015-12-21,2335.6457044869458
2015-12-22,2340.4335908794405
2015-12-23,2388.65296405076
2015-12-24,2375.157169230434
2015-12-25,2374.3883156720235
2015-12-28,2367.0519393345376
2015-12-29,2401.482219821027
2015-12-30,2386.3710713337578
2015-12-31,2380.9247273402757
2016-01-01,2380.9850071138867
2016-01-04,2345.437993309356
2016-01-05,2363.326041022887
2016-01-06,2327.917659982284
2016-01-07,2259.904000557256
2016-01-08,2225.7800003383813
2016-01-11,2225.30718773346
2016-01-12,2234.560879918547
2016-01-13,2208.2674200309407
2016-01-14,2213.555108940813
2016-01-15,2151.8710128203793
2016-01-18,2155.887033569843
2016-01-19,2160.829976917207
2016-01-20,2120.0291626644653
2016-01-21,2139.756818153152
2016-01-22,2196.539030944543
2016-01-25,2176.3195907487648
2016-01-26,2190.4229134870156
2016-01-27,2182.2907488343326
2016-01-28,2171.830662816473
2016-01-29,2240.3047666235957
2016-02-01,2231.9960724925354
2016-02-02,2191.521925419836
2016-02-03,2162.9347341510606
2016-02-04,2154.885036955756
2016-02-05,2127.7617282053498
2016-02-08,2093.0143949945355
2016-02-09,2048.732474813474
2016-02-10,2068.0008387337643
2016-02-11,2015.2172472147101
2016-02-12,2052.789066313065
2016-02-15,2097.5348475995493
2016-02-16,2119.9790448933836
2016-02-17,2153.9563030127647
2016-02-18,2164.0492500432906
2016-02-19,2155.460682112945
2016-02-22,2198.091264557606
2016-02-23,2176.6142297716015
2016-02-24,2168.8500683587854
2016-02-25,2190.8414737187904
2016-02-26,2215.220536984286
2016-02-29,2219.80146787353
2016-03-01,2260.2488113788404
2016-03-02,2288.9968706410855
2016-03-03,2285.200215289766
2016-03-04,2286.0862522128964
2016-03-07,2293.1482905930116
2016-03-08,2257.0386631203223
2016-03-09,2271.609824117436
2016-03-10,2243.083194329167
2016-03-11,2280.414577654916
2016-03-14,2293.45821541047
2016-03-15,2277.2186856875996
2016-03-16,2289.075992486828
2016-03-17,2275.4142804173775
2016-03-18,2287.326711298048
2016-03-21,2291.9328624438153
2016-03-22,2299.4178809082982
2016-03-23,2290.442054683794
2016-03-24,2280.564147101361
2016-03-25,2281.8756198291076
2016-03-28,2276.5923887563595
2016-03-29,2297.2000254030236
2016-03-30,2288.8838110249067
2016-03-31,2276.7865471168193
2016-04-01,2274.5162712614897
2016-04-04,2267.601977628387
2016-04-05,2237.8477819684667
2016-04-06,2255.8399224667096
2016-04-07,2240.6044488139846
2016-04-08,2250.869786214365
2016-04-11,2246.496524670066
2016-04-12,2276.338968655805
2016-04-13,2326.580678985763
2016-04-14,2337.8541471171716
2016-04-15,2329.649783748568
2016-04-18,2328.623273201404
2016-04-19,2342.9332912673444
2016-04-20,2353.0786283506454
2016-04-21,2357.45130040159
2016-04-22,2361.585478850821
2016-04-25,2349.6758168305205
2016-04-26,2347.384598525986
2016-04-27,2348.6036774820473
2016-04-28,2337.683506667225
2016-04-29,2301.2037120325663
2016-05-02,2294.0702245328825
2016-05-03,2268.2008626245915
2016-05-04,2253.6533508046537
2016-05-05,2267.9415958483046
2016-05-06,2265.513703102786
2016-05-09,2268.701466917563
2016-05-10,2294.7403474011007
2016-05-11,2277.169790895566
2016-05-12,2278.6355923904334
2016-05-13,2279.8191247555783
2016-05-16,2289.692236801548
2016-05-17,2281.8543409761487
2016-05-18,2290.531171989858
2016-05-19,2285.9120164047404
2016-05-20,2302.026140468716
2016-05-23,2301.9516798098266
2016-05-24,2333.4916555855766
2016-05-25,2358.1890502632427
2016-05-26,2354.721736701259
2016-05-27,2373.2965953561584
2016-05-30,2372.659165361774
2016-05-31,2372.3776706135955
