Date,ACWI ex INDIA IMI
2015-12-11,2305.915687149718
2015-12-14,2290.31638552081
2015-12-15,2333.0932296536366
2015-12-16,2359.416739688728
2015-12-17,2368.5344514381163
2015-12-18,2337.736988923034
2015-12-21,2329.1713931901336
2015-12-22,2334.1614977285813
2015-12-23,2382.250167057828
2015-12-24,2368.858320446983
2015-12-25,2368.087329814079
2015-12-28,2360.544935286201
2015-12-29,2395.111541981631
2015-12-30,2380.008527096545
2015-12-31,2374.2049928686297
2016-01-01,2374.2049928686297
2016-01-04,2338.7610496580214
2016-01-05,2356.52175254562
2016-01-06,2321.2124071211074
2016-01-07,2253.5383306176263
2016-01-08,2219.2876251730695
2016-01-11,2218.9583405592566
2016-01-12,2228.4075074521074
2016-01-13,2202.0695821134577
2016-01-14,2207.3268531158137
2016-01-15,2145.9094079009033
2016-01-18,2150.110615850718
2016-01-19,2154.9932410361835
2016-01-20,2114.2681701927604
2016-01-21,2134.143693286015
2016-01-22,2190.85228077335
2016-01-25,2170.5402720321413
2016-01-26,2184.823226208727
2016-01-27,2176.7631950320024
2016-01-28,2166.3386790799163
2016-01-29,2234.443608065494
2016-02-01,2225.965478395047
2016-02-02,2185.6090357265675
2016-02-03,2157.4167567283175
2016-02-04,2149.312061845222
2016-02-05,2121.7900069382877
2016-02-08,2086.9374867855604
2016-02-09,2043.006728905587
2016-02-10,2062.348786183811
2016-02-11,2010.1385759602006
2016-02-12,2047.7229016472231
2016-02-15,2092.126294554586
2016-02-16,2115.0202889013344
2016-02-17,2149.150966873181
2016-02-18,2159.1509832427237
2016-02-19,2150.40429599541
2016-02-22,2193.1655476113087
2016-02-23,2171.755718610359
2016-02-24,2164.0409892746943
2016-02-25,2186.3504783968538
2016-02-26,2210.5797382698247
2016-02-29,2215.1123248374374
2016-03-01,2255.0924861087233
2016-03-02,2283.3910481574917
2016-03-03,2279.405415693217
2016-03-04,2280.3816090557907
2016-03-07,2287.4079344540182
2016-03-08,2251.21746660232
2016-03-09,2265.6503367124287
2016-03-10,2237.249003427973
2016-03-11,2274.7755001983473
2016-03-14,2287.8434491834955
2016-03-15,2271.8559842724185
2016-03-16,2283.575700494902
2016-03-17,2270.117636267693
2016-03-18,2281.796618088556
2016-03-21,2286.0621245424895
2016-03-22,2293.5238497735113
2016-03-23,2284.345539195133
2016-03-24,2274.2758701920316
2016-03-25,2275.5906133846124
2016-03-28,2270.618471604132
