Date,ACWI ex AUSTRIA IMI
2015-12-11,2312.94997949894
2015-12-14,2297.4688559854535
2015-12-15,2340.3849504619607
2015-12-16,2366.661367519725
2015-12-17,2376.356300712248
2015-12-18,2345.5114608379754
2015-12-21,2337.028453103954
2015-12-22,2341.7869695117547
2015-12-23,2390.0362555268343
2015-12-24,2376.5649336167394
2015-12-25,2375.7974743194004
2015-12-28,2368.416276685405
2015-12-29,2402.902996408682
2015-12-30,2387.7774608602604
2015-12-31,2382.341004051051
2016-01-01,2382.40117439128
2016-01-04,2346.7573846858454
2016-01-05,2364.6096153155763
2016-01-06,2329.2655179968688
2016-01-07,2261.2638924479756
2016-01-08,2227.296511920572
2016-01-11,2226.898739997541
2016-01-12,2236.1935428423553
2016-01-13,2210.0135440155664
2016-01-14,2215.119143241251
2016-01-15,2153.3835331033274
2016-01-18,2157.3799744808393
2016-01-19,2162.4191462192175
2016-01-20,2121.531413272087
2016-01-21,2141.2993102360538
2016-01-22,2198.1350974547836
2016-01-25,2177.927837428686
2016-01-26,2192.0988509663034
2016-01-27,2184.002901065881
2016-01-28,2173.4603988998747
2016-01-29,2241.917790810951
2016-02-01,2233.3916020187608
2016-02-02,2192.91845154582
2016-02-03,2164.313537421411
2016-02-04,2156.2030705164875
2016-02-05,2129.059893577443
2016-02-08,2094.2026717277445
2016-02-09,2049.9725263283817
2016-02-10,2069.2157163801153
2016-02-11,2016.3357311906482
2016-02-12,2053.8606303698675
2016-02-15,2098.6479397644594
2016-02-16,2121.0399257333866
2016-02-17,2155.1242045401937
2016-02-18,2165.328666125789
2016-02-19,2156.6516978499044
2016-02-22,2199.3685884937454
2016-02-23,2177.864394606132
2016-02-24,2169.999673313597
2016-02-25,2192.0536163572783
2016-02-26,2216.4051623949076
2016-02-29,2220.9682268221286
2016-03-01,2261.4259910843966
2016-03-02,2290.0551035594244
2016-03-03,2286.248093109374
2016-03-04,2287.155763614915
2016-03-07,2294.189892746472
2016-03-08,2258.0168509993546
2016-03-09,2272.58290498298
2016-03-10,2244.048665336886
2016-03-11,2281.3768641572974
2016-03-14,2294.5244135797543
2016-03-15,2278.282556463595
2016-03-16,2290.1077348084586
2016-03-17,2276.508510884684
2016-03-18,2288.424295958562
2016-03-21,2293.013456469706
2016-03-22,2300.471924603486
2016-03-23,2291.48250038175
2016-03-24,2281.5206371446684
2016-03-25,2282.829213772157
2016-03-28,2277.5576495613313
2016-03-29,2298.164427613226
2016-03-30,2289.9907403026327
2016-03-31,2277.7945187152345
2016-04-01,2275.3857464179614
2016-04-04,2268.5128018600994
2016-04-05,2238.7769504247176
2016-04-06,2256.724254414257
2016-04-07,2241.442603406685
2016-04-08,2251.8660471250514
2016-04-11,2247.4921307908967
2016-04-12,2277.2697550899943
2016-04-13,2327.5175306489723
2016-04-14,2338.8393925538767
2016-04-15,2330.6398541287194
2016-04-18,2329.642705876704
2016-04-19,2344.0251202382988
2016-04-20,2354.142337552108
2016-04-21,2358.386933932389
2016-04-22,2362.429731583087
2016-04-25,2350.428174098483
2016-04-26,2348.2197421237493
2016-04-27,2349.4063612513005
2016-04-28,2338.5382225882477
2016-04-29,2302.0354167093155
2016-05-02,2294.923828660889
2016-05-03,2269.075678482008
2016-05-04,2254.536216684652
2016-05-05,2268.7934856199495
2016-05-06,2266.3578202012886
2016-05-09,2269.5897910530643
2016-05-10,2295.4690403999566
2016-05-11,2277.961857866617
2016-05-12,2279.3686870577244
2016-05-13,2280.5779666953363
2016-05-16,2290.4512949507266
2016-05-17,2282.6055542048475
2016-05-18,2291.319899336322
2016-05-19,2286.6619652703666
2016-05-20,2302.8382108556616
2016-05-23,2302.752391120984
2016-05-24,2334.3072944876008
2016-05-25,2359.0260494470544
2016-05-26,2355.645685427382
2016-05-27,2374.2103595533054
2016-05-30,2373.587342956266
2016-05-31,2373.353793636613
2016-06-01,2363.769140365769
2016-06-02,2369.342657369105
2016-06-03,2341.490643226054
2016-06-06,2346.9962998759097
2016-06-07,2363.2585261989925
2016-06-08,2364.2531539086594
2016-06-09,2364.118080929765
2016-06-10,2335.971430185709
2016-06-13,2305.835003398401
2016-06-14,2303.0778268841764
2016-06-15,2304.2198077655553
2016-06-16,2311.513829248882
2016-06-17,2302.8015304714086
2016-06-20,2325.5054718346496
2016-06-21,2345.155165026733
2016-06-22,2342.4207735140026
2016-06-23,2360.3089421258146
2016-06-24,2295.4688570406615
2016-06-27,2271.3844505971215
2016-06-28,2295.0237253144014
2016-06-29,2334.5815016483502
2016-06-30,2361.3467198412236
2016-07-01,2367.901720459624
2016-07-04,2368.8091277840394
2016-07-05,2350.6865274961515
2016-07-06,2349.8286557952665
2016-07-07,2356.502142290904
2016-07-08,2389.549464058819
2016-07-11,2411.2463715344625
2016-07-12,2427.3125460766714
2016-07-13,2424.868167548848
2016-07-14,2437.7880860418413
2016-07-15,2442.1654496425163
2016-07-18,2448.4685804642772
2016-07-19,2453.3202681917637
2016-07-20,2465.9826142888787
2016-07-21,2466.2595305251816
2016-07-22,2472.5856775639154
2016-07-25,2469.627655298642
2016-07-26,2471.4973266150123
2016-07-27,2472.374234649818
2016-07-28,2454.0369519642645
2016-07-29,2450.3520729564857
2016-08-01,2449.793885191905
2016-08-02,2422.3171077524767
2016-08-03,2427.6380048017463
2016-08-04,2443.334616570809
2016-08-05,2472.791424552173
2016-08-08,2478.9110284408703
2016-08-09,2482.6956690010584
2016-08-10,2471.2046859745183
2016-08-11,2480.098026933769
2016-08-12,2481.8252013087313
2016-08-15,2484.69419523981
2016-08-16,2459.7886138511485
2016-08-17,2454.7704703563572
2016-08-18,2453.360369586971
2016-08-19,2446.398544781597
2016-08-22,2444.9442485099553
2016-08-23,2455.501283248765
2016-08-24,2458.7666247451552
2016-08-25,2447.8575736103767
2016-08-26,2447.55061343323
2016-08-29,2470.274516494523
2016-08-30,2472.1507363646724
2016-08-31,2468.4450714008985
2016-09-01,2461.200359586745
2016-09-02,2484.8179748610833
2016-09-05,2495.3107873571676
2016-09-06,2489.9686968536726
2016-09-07,2493.3529975038723
2016-09-08,2483.0998201211687
2016-09-09,2444.2927027124206
2016-09-12,2446.1369012639575
2016-09-13,2413.694715143766
2016-09-14,2409.3299268322835
2016-09-15,2427.26393068654
2016-09-16,2433.908363298275
2016-09-19,2442.4700142553284
2016-09-20,2444.9295530285594
2016-09-21,2478.0235023871496
2016-09-22,2484.954751346111
2016-09-23,2475.066005635241
2016-09-26,2442.914528344699
2016-09-27,2465.887730411109
2016-09-28,2477.4505705538713
2016-09-29,2461.1423752917044
2016-09-30,2464.132266020964
2016-10-03,2467.4559220937567
