Date,ACWI ex SINGAPORE IMI
2015-12-11,2307.2719426086483
2015-12-14,2291.8265009776655
2015-12-15,2334.741274676465
2015-12-16,2361.013751231308
2015-12-17,2370.6159289802476
2015-12-18,2339.7127935441404
2015-12-21,2331.223153619724
2015-12-22,2336.01190316913
2015-12-23,2384.2226135647893
2015-12-24,2370.773879613011
2015-12-25,2370.00544739389
2015-12-28,2362.6529872539104
2015-12-29,2397.1262537064626
2015-12-30,2382.0078612414172
2015-12-31,2376.5523955765766
2016-01-01,2376.6126425551515
2016-01-04,2341.0521379430493
2016-01-05,2358.861703120478
2016-01-06,2323.6796383627407
2016-01-07,2255.856827163671
2016-01-08,2221.8160454065433
2016-01-11,2221.4621350118837
2016-01-12,2230.8399151397934
2016-01-13,2204.5830154794885
2016-01-14,2209.8814367020177
2016-01-15,2148.1695037045124
2016-01-18,2152.196927295803
2016-01-19,2157.1011884530108
2016-01-20,2116.406242452318
2016-01-21,2136.234091213747
2016-01-22,2192.9687256458037
2016-01-25,2172.7285277874034
2016-01-26,2187.0680968457814
2016-01-27,2178.9870912224833
2016-01-28,2168.4152855826555
2016-01-29,2236.6125045878985
2016-02-01,2228.2048297098477
2016-02-02,2187.7797028035807
2016-02-03,2159.2923528966257
2016-02-04,2151.0499475363345
2016-02-05,2123.6846911421894
2016-02-08,2088.6998206538738
2016-02-09,2044.4329704402737
2016-02-10,2063.7765698617964
2016-02-11,2011.0274780539737
2016-02-12,2048.6221946246146
2016-02-15,2093.2238691300986
2016-02-16,2115.5281799507998
2016-02-17,2149.838380127536
2016-02-18,2159.7939426617095
2016-02-19,2151.1523373554546
2016-02-22,2193.8332252673545
2016-02-23,2172.284906539361
2016-02-24,2164.5440958627746
2016-02-25,2186.6750488732164
2016-02-26,2210.8417286190506
2016-02-29,2215.2992788346405
2016-03-01,2255.7741853988828
2016-03-02,2284.2395390869588
2016-03-03,2280.2369760276197
2016-03-04,2280.9400511459357
2016-03-07,2288.0206184108497
2016-03-08,2252.0815444219475
2016-03-09,2266.4731755436023
2016-03-10,2238.0393875958525
2016-03-11,2275.348737268311
2016-03-14,2288.4573378862583
2016-03-15,2272.2439939899004
2016-03-16,2284.0286813727876
2016-03-17,2270.26233235536
2016-03-18,2282.125023104279
2016-03-21,2286.769978480824
2016-03-22,2294.2261794139386
2016-03-23,2285.1790422999065
2016-03-24,2275.330506389154
2016-03-25,2276.640775844774
2016-03-28,2271.4511866315333
2016-03-29,2292.0828711198237
2016-03-30,2283.7601642633176
2016-03-31,2271.680352660955
2016-04-01,2269.3372008883016
2016-04-04,2262.4316759254234
2016-04-05,2232.791037563233
2016-04-06,2250.7035482510264
2016-04-07,2235.3762643444734
2016-04-08,2245.84791171393
2016-04-11,2241.4743034211515
2016-04-12,2271.231888594862
2016-04-13,2321.2816848801817
2016-04-14,2332.6363599244014
2016-04-15,2324.3563989417685
2016-04-18,2323.3722699596456
2016-04-19,2337.577798082821
2016-04-20,2347.720696324863
2016-04-21,2351.916516365943
2016-04-22,2356.030528489304
2016-04-25,2344.138287884532
2016-04-26,2341.9629258670616
2016-04-27,2343.2216761711857
2016-04-28,2332.35428904927
2016-04-29,2295.973136981441
2016-05-02,2288.893510921884
2016-05-03,2263.133164084511
2016-05-04,2248.709917975607
2016-05-05,2262.9074908391603
2016-05-06,2260.610157797034
2016-05-09,2263.778639097772
2016-05-10,2289.775437738266
2016-05-11,2272.2758380524087
2016-05-12,2273.623634414864
2016-05-13,2274.8031233407955
2016-05-16,2284.720660744564
2016-05-17,2276.7284285620212
2016-05-18,2285.5069038028596
2016-05-19,2280.9002015084084
2016-05-20,2297.0455023442664
2016-05-23,2296.9179262930693
2016-05-24,2328.6020257916475
2016-05-25,2353.2917792561625
2016-05-26,2349.88027974618
2016-05-27,2368.3189980614916
2016-05-30,2367.7662939074007
2016-05-31,2367.4782775343824
2016-06-01,2357.914365070529
2016-06-02,2363.464431526614
2016-06-03,2335.5667631385054
2016-06-06,2341.0213982757987
2016-06-07,2357.2210674024805
2016-06-08,2358.1253539119625
2016-06-09,2358.0040349099527
2016-06-10,2329.8818746989614
2016-06-13,2299.7837937330796
2016-06-14,2296.97868357625
2016-06-15,2298.1376280349627
2016-06-16,2305.4147222007514
2016-06-17,2296.7819674449233
2016-06-20,2319.4358351536234
2016-06-21,2339.0892282626296
2016-06-22,2336.3709820823883
2016-06-23,2354.357627807748
2016-06-24,2289.352615145048
2016-06-27,2265.1371047064636
