Date,AC AP ex JP IMI WITH PARTIAL A SHARES
2008-11-27,1051.0349974381484
2008-11-28,1086.062777108741
2008-12-30,1056.5749356163328
2008-12-31,1085.1589848206181
2009-01-29,1069.486798530929
2009-01-30,1087.9830223353902
2009-02-26,1042.8689315955146
2009-02-27,1036.5951305005683
2009-03-30,1136.6371463762032
2009-03-31,1140.3718407854585
2009-04-29,1265.017837416474
2009-04-30,1323.6086339534668
2009-05-28,1428.5231605364404
2009-05-29,1434.2811895860004
2009-06-29,1450.8561326160782
2009-06-30,1458.1082320947276
2009-07-30,1607.4032908925121
2009-07-31,1621.6548969614023
2009-08-28,1611.8434168607807
2009-08-31,1597.389973016671
2009-09-29,1712.6957180178595
2009-09-30,1716.6648710121349
2009-10-29,1676.679522420725
2009-10-30,1698.2885208783043
2009-11-27,1679.6531075483067
2009-11-30,1718.9403846840562
2009-12-30,1853.5167065065925
2009-12-31,1868.706522929971
2010-01-28,1829.4207609981222
2010-01-29,1808.7551844016905
2010-02-25,1858.3980525193685
2010-02-26,1864.631704121937
2010-03-30,2054.6227478139867
2010-03-31,2025.6096698583076
2010-04-29,2080.2716794612047
2010-04-30,2091.4174746520707
2010-05-28,2006.7353850218515
2010-05-31,2018.922390589035
2010-06-29,2063.331296068199
2010-06-30,2036.4857204575137
2010-07-29,2053.821917576673
2010-07-30,2057.214407613569
2010-08-30,2105.6763603621307
2010-08-31,2079.2188347894853
2010-09-29,2182.737497095865
2010-09-30,2169.7882045048527
2010-10-28,2198.864519679405
2010-10-29,2193.8099194127985
2010-11-29,2293.094671433414
2010-11-30,2295.1211080231474
2010-12-30,2392.6572326956807
2010-12-31,2377.7405113436516
2011-01-28,2324.146569434661
2011-01-31,2291.9696586318432
2011-02-25,2235.9796783324514
2011-02-28,2233.0514506385243
2011-03-30,2279.7003851803406
2011-03-31,2281.7577125647963
2011-04-28,2285.780912731789
2011-04-29,2275.484137913932
2011-05-30,2277.7402578959814
2011-05-31,2293.825747392267
2011-06-29,2207.2083653514887
2011-06-30,2227.2962736291483
2011-07-28,2295.3160199734402
2011-07-29,2261.4573365667948
2011-08-30,2024.2026243277887
2011-08-31,2060.7946082885533
2011-09-29,1890.8933601338595
2011-09-30,1902.3401335441465
2011-10-28,2063.3641507957677
2011-10-31,2068.819141215293
2011-11-29,1983.0270498955408
2011-11-30,1974.033833375673
2011-12-29,2044.655092160332
2011-12-30,2041.4483252749885
2012-01-30,2201.859937339527
2012-01-31,2230.957649579031
2012-02-28,2269.613989298886
2012-02-29,2307.457579450648
2012-03-29,2240.4894179035155
2012-03-30,2244.7771703582494
2012-04-27,2241.8638235381745
2012-04-30,2265.2421232024553
2012-05-30,2177.8477688163407
2012-05-31,2175.8610108915113
2012-06-28,2185.62271682645
2012-06-29,2196.2389188768657
2012-07-30,2323.8078328195243
2012-07-31,2339.507117366621
2012-08-30,2301.5039179392684
2012-08-31,2284.337609716477
2012-09-27,2355.381041161563
2012-09-28,2370.7320911112397
2012-10-30,2344.088081442182
2012-10-31,2362.5286327535537
2012-11-29,2398.130417003471
2012-11-30,2406.7426172355085
2012-12-28,2444.0487492948478
2012-12-31,2450.120203352072
2013-01-30,2455.793436561878
2013-01-31,2447.275047722987
2013-02-27,2528.402337184787
2013-02-28,2566.065313571259
2013-03-28,2573.046456234536
2013-03-29,2577.6528620943136
2013-04-29,2557.1055537799716
2013-04-30,2570.0679512199576
2013-05-30,2514.392476530753
2013-05-31,2514.7232284323004
2013-06-27,2315.977296628389
2013-06-28,2346.689779303134
2013-07-30,2366.5680820177745
2013-07-31,2344.6914944221703
2013-08-29,2315.125185761709
2013-08-30,2342.3940640034934
2013-09-27,2448.3957304660717
2013-09-30,2418.678144464324
2013-10-30,2494.178860714939
2013-10-31,2514.1421345452914
2013-11-28,2473.838569176863
2013-11-29,2481.2920355770952
2013-12-30,2411.106160594084
2013-12-31,2425.3661509244694
2014-01-30,2348.707403419502
2014-01-31,2361.1412009922697
2014-02-27,2428.2640218137694
2014-02-28,2409.205568934199
2014-03-28,2443.843373860281
2014-03-31,2456.099808792946
2014-04-29,2483.041253542901
2014-04-30,2463.518990036119
2014-05-29,2593.4178164076047
2014-05-30,2580.8258130613144
2014-06-27,2617.248078868658
2014-06-30,2615.422221780457
2014-07-30,2778.144034416743
2014-07-31,2764.8697854188467
2014-08-28,2835.2547809068287
2014-08-29,2833.4918573072287
2014-09-29,2745.0284132752513
2014-09-30,2751.064291427302
2014-10-30,2791.6654084377133
2014-10-31,2834.130770182392
2014-11-27,2821.8714780259315
2014-11-28,2810.2606374164716
2014-12-30,2815.4634214660437
2014-12-31,2839.9900856223117
2015-01-29,3084.703165992722
2015-01-30,3087.81644168693
2015-02-26,3208.431089802595
2015-02-27,3205.3004356543966
2015-03-30,3305.222624178596
2015-03-31,3349.5960778743683
2015-04-29,3473.4804953884673
2015-04-30,3415.6454022160938
2015-05-28,3430.350643546493
2015-05-29,3421.796449105396
2015-06-29,3179.488747944516
2015-06-30,3222.995020485298
2015-07-30,3085.7934345229332
2015-07-31,3069.956672511556
2015-08-28,2733.525776751986
2015-08-31,2719.854833286568
2015-09-29,2617.455101344671
2015-09-30,2675.475210340179
2015-10-29,2931.742209238817
2015-10-30,2906.65729238568
2015-11-27,2981.181082327967
2015-11-30,2971.002446460662
2015-12-30,2883.8223567711707
