Date,AC ASIA ex JAPAN IMI
1998-12-31,429.124605506227
1999-01-01,429.1273460410128
1999-01-04,430.05054117724586
1999-01-05,431.5240731613905
1999-01-06,445.0950584108832
1999-01-07,462.71378782022487
1999-01-08,465.1039907804794
1999-01-11,467.432520192027
1999-01-12,463.93215552967354
1999-01-13,446.5382625596227
1999-01-14,436.3906116783214
1999-01-15,445.1176153775383
1999-01-18,450.98698239443036
1999-01-19,447.5130307400473
1999-01-20,449.02861875441994
1999-01-21,440.54522587202786
1999-01-22,427.20029274037745
1999-01-25,415.6517231812361
1999-01-26,417.86878747691856
1999-01-27,430.4160914986419
1999-01-28,425.916700555699
1999-01-29,428.41122121331205
1999-02-01,429.53402301921943
1999-02-02,421.9462938170947
1999-02-03,418.7901272146589
1999-02-04,417.0494502668213
1999-02-05,412.4509436843201
1999-02-08,413.70144441154076
1999-02-09,407.2540843302719
1999-02-10,404.4911293015825
1999-02-11,409.87799045586746
1999-02-12,419.7739816382729
1999-02-15,420.8888180589098
1999-02-16,423.4427985174208
1999-02-17,420.8475858598289
1999-02-18,417.5240350125723
1999-02-19,416.913963370021
1999-02-22,422.2037361588874
1999-02-23,423.48324035671146
1999-02-24,427.52472612874016
1999-02-25,423.825764118028
1999-02-26,432.16659047503794
1999-03-01,440.8661152247301
1999-03-02,439.8165061186377
1999-03-03,443.71456858340065
1999-03-04,444.8766208020847
1999-03-05,448.74092966172867
1999-03-08,455.0420628020884
1999-03-09,457.68320195919256
1999-03-10,457.88134465364544
1999-03-11,461.95208098544464
1999-03-12,462.1898111548328
1999-03-15,468.3961387150581
1999-03-16,473.08935240099964
1999-03-17,468.28130683122197
1999-03-18,465.51091933949783
1999-03-19,478.2743422522747
1999-03-22,482.8958178718342
1999-03-23,483.02975441616195
1999-03-24,475.38665102247285
1999-03-25,479.99348431055455
1999-03-26,484.498965886074
1999-03-29,480.6068354916253
1999-03-30,485.8791619184209
1999-03-31,485.3555409522171
1999-04-01,491.26686679579035
1999-04-02,496.2306970972453
1999-04-05,497.50792736622975
1999-04-06,499.07227953189664
1999-04-07,506.1379468912402
1999-04-08,508.20717413818505
