Date,ACWI ex CHILE IMI
2015-12-11,2310.8185623224326
2015-12-14,2295.3269078773915
2015-12-15,2338.202764159091
2015-12-16,2364.454403562715
2015-12-17,2374.0647721476057
2015-12-18,2343.238668048123
2015-12-21,2334.7541498611517
2015-12-22,2339.5467892769248
2015-12-23,2387.7364505942414
2015-12-24,2374.307708287125
2015-12-25,2373.540834867636
2015-12-28,2366.1896433675342
2015-12-29,2400.6393787683514
2015-12-30,2385.5207819460807
2015-12-31,2380.0746899001783
2016-01-01,2380.134814315327
2016-01-04,2344.527475923453
2016-01-05,2362.34576009595
2016-01-06,2327.0527599990546
2016-01-07,2259.1281217334717
2016-01-08,2225.1504725177683
2016-01-11,2224.7577344085257
2016-01-12,2234.0614753740056
2016-01-13,2207.878296907354
2016-01-14,2212.9252520031228
2016-01-15,2151.2753407636205
2016-01-18,2155.217706277494
2016-01-19,2160.275738114369
2016-01-20,2119.3868193985727
2016-01-21,2139.129329120773
2016-01-22,2195.8918686060365
2016-01-25,2175.7219468763883
2016-01-26,2189.8951330477403
2016-01-27,2181.778508886566
2016-01-28,2171.199550676034
2016-01-29,2239.512812685131
2016-02-01,2230.9941419767483
2016-02-02,2190.6066996243057
2016-02-03,2162.0332435384344
2016-02-04,2153.873992807392
2016-02-05,2126.7926148191364
2016-02-08,2091.8960586396056
2016-02-09,2047.706564807497
2016-02-10,2066.9095218864086
2016-02-11,2014.081538848986
2016-02-12,2051.6032076111223
2016-02-15,2096.3564192737713
2016-02-16,2118.7231044465266
2016-02-17,2152.8014925559314
2016-02-18,2162.9313708677673
2016-02-19,2154.276024781314
2016-02-22,2196.9571563640416
2016-02-23,2175.479953150489
2016-02-24,2167.6179206183674
2016-02-25,2189.6473720738095
2016-02-26,2213.96049456026
2016-02-29,2218.5248409799137
2016-03-01,2258.960118384545
2016-03-02,2287.5204005355713
2016-03-03,2283.7027649146753
2016-03-04,2284.6081547490985
2016-03-07,2291.6336379079203
2016-03-08,2255.5423029744525
2016-03-09,2270.0699545752723
2016-03-10,2241.5694304353187
2016-03-11,2278.935187912816
2016-03-14,2292.0755692221883
2016-03-15,2275.8458303857446
2016-03-16,2287.6500266764056
2016-03-17,2274.029301376745
2016-03-18,2285.9256399672972
2016-03-21,2290.4931504195433
2016-03-22,2297.9369356925786
2016-03-23,2288.9717539197623
2016-03-24,2278.99887403695
2016-03-25,2280.306434162028
2016-03-28,2275.049921554519
2016-03-29,2295.622091236724
2016-03-30,2287.474004361411
2016-03-31,2275.2891314564827
2016-04-01,2272.8671490449974
2016-04-04,2265.988795359148
2016-04-05,2236.2999630513596
2016-04-06,2254.280380402698
2016-04-07,2238.999768840502
2016-04-08,2249.4272058691045
2016-04-11,2245.071545189655
2016-04-12,2274.7567582831166
2016-04-13,2324.9638043467876
2016-04-14,2336.2893630219914
2016-04-15,2328.081145146753
2016-04-18,2327.0843709823657
2016-04-19,2341.438964753912
2016-04-20,2351.5589396562123
2016-04-21,2355.785988867712
2016-04-22,2359.8863314285004
2016-04-25,2347.874925126957
2016-04-26,2345.6754986192295
2016-04-27,2346.856053739155
2016-04-28,2335.945457911314
2016-04-29,2299.505760314314
2016-05-02,2292.4149894417483
2016-05-03,2266.578923228565
2016-05-04,2252.014145849921
2016-05-05,2266.2226080811924
2016-05-06,2263.8005847019326
2016-05-09,2267.0359287578253
2016-05-10,2292.9128640761865
2016-05-11,2275.4167072360906
2016-05-12,2276.8204989696574
2016-05-13,2278.03801837397
2016-05-16,2287.933251406813
2016-05-17,2280.12009392769
2016-05-18,2288.822286480672
2016-05-19,2284.178731893535
2016-05-20,2300.3280944105722
2016-05-23,2300.248020768614
2016-05-24,2331.785005031377
2016-05-25,2356.5126881048113
2016-05-26,2353.1254479968575
2016-05-27,2371.6657394452677
2016-05-30,2371.0596540870297
2016-05-31,2370.8253054609017
2016-06-01,2361.2408148492646
2016-06-02,2366.8169796128095
2016-06-03,2338.950241196974
2016-06-06,2344.4350514546277
2016-06-07,2360.696575816178
2016-06-08,2361.651212033733
2016-06-09,2361.5378208130355
2016-06-10,2333.407898665894
2016-06-13,2303.2592041217013
2016-06-14,2300.4618239069746
2016-06-15,2301.610892912726
2016-06-16,2308.858643685074
2016-06-17,2300.195599655451
2016-06-20,2322.921776394165
2016-06-21,2342.5261963105772
2016-06-22,2339.787927316146
2016-06-23,2357.6780638145606
2016-06-24,2292.7628529251338
2016-06-27,2268.581388186719
2016-06-28,2292.2494673540123
2016-06-29,2331.7415051093103
2016-06-30,2358.5014987351033
2016-07-01,2365.036018991432
2016-07-04,2365.917644578104
2016-07-05,2347.7682456589614
2016-07-06,2346.937303827172
2016-07-07,2353.6058483848524
2016-07-08,2386.626993314341
2016-07-11,2408.3113800719225
2016-07-12,2424.405557364307
2016-07-13,2421.970388207028
