Date,ACWI ex RUSSIA IMI
2015-12-11,1192.8833143729848
2015-12-14,1184.9228921447009
2015-12-15,1206.9995486121434
2015-12-16,1220.5917370703519
2015-12-17,1225.5283287259952
2015-12-18,1209.6984651686691
2015-12-21,1205.3840179077636
2015-12-22,1207.8418548531272
2015-12-23,1232.6433059657072
2015-12-24,1225.7195534823243
2015-12-25,1225.3394196741194
2015-12-28,1221.6149852843628
2015-12-29,1239.3618812638902
2015-12-30,1231.6026234326785
2015-12-31,1228.7646807912383
2016-01-01,1228.7957777179151
2016-01-04,1210.3946591627853
2016-01-05,1219.5759862182226
2016-01-06,1201.3934209375914
2016-01-07,1166.2588088795098
2016-01-08,1148.7062065177715
2016-01-11,1148.6559446565261
2016-01-12,1153.4586521255987
2016-01-13,1139.9366680657397
2016-01-14,1142.571231056741
2016-01-15,1110.8598861863477
2016-01-18,1112.9189002157382
2016-01-19,1115.4775375558697
2016-01-20,1094.4652617541399
2016-01-21,1104.662531566382
2016-01-22,1133.759982735576
2016-01-25,1123.3717674751513
2016-01-26,1130.7057892651096
2016-01-27,1126.4078036706617
2016-01-28,1120.8524233535404
2016-01-29,1156.1001805159942
2016-02-01,1151.7924072643145
2016-02-02,1131.0188024635866
2016-02-03,1116.2608155147143
2016-02-04,1111.9457387477619
2016-02-05,1097.970629422003
2016-02-08,1080.017578763068
2016-02-09,1057.25284052822
2016-02-10,1067.1556331973457
2016-02-11,1039.9603470910442
2016-02-12,1059.274320977427
2016-02-15,1082.3431164774395
2016-02-16,1093.8990496707308
2016-02-17,1111.4117667291305
2016-02-18,1116.6035708563177
2016-02-19,1112.2424862246514
2016-02-22,1134.1653133566817
2016-02-23,1123.0687393583535
2016-02-24,1119.068032568832
2016-02-25,1130.428672132093
2016-02-26,1142.9405026010675
2016-02-29,1145.2193735887836
2016-03-01,1166.0706203042055
2016-03-02,1180.8601362115726
2016-03-03,1178.8504732271044
2016-03-04,1179.2539150538992
2016-03-07,1182.7944908904635
2016-03-08,1164.1960457368698
2016-03-09,1171.6552124924046
2016-03-10,1156.9754932271828
2016-03-11,1176.2482274566428
2016-03-14,1183.0961516205937
2016-03-15,1174.7154399699648
2016-03-16,1180.7596429135313
2016-03-17,1173.6436739235166
2016-03-18,1179.7384655549852
2016-03-21,1182.0932544546456
2016-03-22,1185.905732313023
2016-03-23,1181.356891181235
2016-03-24,1176.2649931093893
2016-03-25,1176.939455440847
2016-03-28,1174.220459795291
2016-03-29,1184.9049227701285
2016-03-30,1180.6089536851941
2016-03-31,1174.297616681483
2016-04-01,1173.1265551068363
2016-04-04,1169.5777496833102
2016-04-05,1154.2748015790698
2016-04-06,1163.49408078448
2016-04-07,1155.585589301567
2016-04-08,1160.8698515473448
2016-04-11,1158.554635173749
2016-04-12,1173.8630061662254
2016-04-13,1199.7227248999395
2016-04-14,1205.6581080948552
2016-04-15,1201.4886596072217
2016-04-18,1201.0304961675215
2016-04-19,1208.334582090385
2016-04-20,1213.4920880379996
2016-04-21,1215.700796489998
2016-04-22,1217.758398517812
2016-04-25,1211.5861256007192
2016-04-26,1210.47169518508
2016-04-27,1211.1060955555095
2016-04-28,1205.3460542590694
2016-04-29,1186.5660274465513
2016-05-02,1182.9309407989297
2016-05-03,1169.657995676043
2016-05-04,1162.1747856926004
2016-05-05,1169.4866618602089
2016-05-06,1168.2798625841965
2016-05-09,1169.9659771487763
2016-05-10,1183.363091709199
2016-05-11,1174.2055489976362
2016-05-12,1174.9202973896724
2016-05-13,1175.4971404314094
2016-05-16,1180.57712882464
2016-05-17,1176.5259737586925
2016-05-18,1181.0362809237663
2016-05-19,1178.752512698851
2016-05-20,1187.1374329435007
2016-05-23,1187.1304211985582
2016-05-24,1203.3955798283673
2016-05-25,1216.0846680989018
