Date,GOLDEN DRAGON IMI
2007-05-31,1000.0
2007-06-01,1011.3307457435216
2007-06-04,1010.9612094038768
2007-06-05,1012.762243838244
2007-06-06,1015.6109477584511
2007-06-07,1018.4106534277252
2007-06-08,1015.7815817697837
2007-06-11,1022.7709987648506
2007-06-12,1027.00301640784
2007-06-13,1026.163255072509
2007-06-14,1040.2332901297534
2007-06-15,1047.9687865173132
2007-06-18,1061.5388599305024
2007-06-19,1061.0374547203
2007-06-20,1072.3534825104166
2007-06-21,1089.2804209789022
2007-06-22,1089.4170471694251
2007-06-25,1085.0094202181774
2007-06-26,1077.6526588353051
2007-06-27,1075.7934422195115
2007-06-28,1082.1458651010312
2007-06-29,1076.4466774084776
2007-07-02,1070.5395268143661
2007-07-03,1090.8390739809602
2007-07-04,1096.875181169008
2007-07-05,1106.7515242741683
2007-07-06,1112.8360674354933
2007-07-09,1136.2684839496033
2007-07-10,1132.7029202357758
2007-07-11,1115.615930286359
2007-07-12,1121.83534866479
2007-07-13,1135.3916071672245
2007-07-16,1126.1884895653998
2007-07-17,1132.691570154804
2007-07-18,1120.4614999038613
2007-07-19,1124.3790402748484
2007-07-20,1142.9436151944785
2007-07-23,1152.0100347881735
2007-07-24,1164.3363395195795
2007-07-25,1171.0496685722524
2007-07-26,1158.0003381475847
2007-07-27,1121.7407444023895
2007-07-30,1121.0395820552142
2007-07-31,1145.6169625256032
2007-08-01,1102.6683607900525
2007-08-02,1101.7893536620381
2007-08-03,1101.8533237191368
2007-08-06,1071.0750125413829
2007-08-07,1065.0864376991626
2007-08-08,1093.2051744188616
2007-08-09,1109.1841328028106
2007-08-10,1077.1496197962008
2007-08-13,1083.4148725344216
2007-08-14,1088.5439340838311
2007-08-15,1059.9745932708397
2007-08-16,1015.2397267986981
2007-08-17,986.37093906234
2007-08-20,1051.8145026764962
2007-08-21,1061.24374836729
2007-08-22,1078.106436363396
2007-08-23,1106.4339659610862
2007-08-24,1100.7172592824465
2007-08-27,1132.0503797473334
2007-08-28,1125.8185056181935
2007-08-29,1105.962262758021
2007-08-30,1128.2542585843603
2007-08-31,1157.3723492467839
2007-09-03,1159.5942704827405
2007-09-04,1159.4532923727127
2007-09-05,1158.1407509948729
2007-09-06,1161.8985799306563
2007-09-07,1158.0743857845068
2007-09-10,1154.26653549666
2007-09-11,1150.1774039786978
2007-09-12,1158.3697793482086
2007-09-13,1159.548022862242
2007-09-14,1178.604386129887
2007-09-17,1165.0480842071297
2007-09-18,1165.1196732165542
2007-09-19,1188.3020202206692
2007-09-20,1187.6725946634228
2007-09-21,1198.1766833538854
2007-09-24,1223.1092870606537
2007-09-25,1217.7250056154471
2007-09-26,1225.1046396944744
2007-09-27,1252.37249908531
2007-09-28,1256.0726419381458
2007-10-01,1257.6293587064702
2007-10-02,1307.5493266100063
2007-10-03,1284.2600388508292
2007-10-04,1257.6559823393877
2007-10-05,1287.00374121016
2007-10-08,1295.659685958416
2007-10-09,1302.269613185951
2007-10-10,1310.2394946561972
2007-10-11,1331.7700459383227
2007-10-12,1321.8167788334015
2007-10-15,1339.2582338032132
2007-10-16,1335.9068251507667
2007-10-17,1336.8888862712076
2007-10-18,1339.4077472076915
2007-10-19,1341.4575578551444
2007-10-22,1306.8068274846337
2007-10-23,1331.125530972936
2007-10-24,1329.1713519338055
2007-10-25,1337.3626237117273
2007-10-26,1347.5995911204789
2007-10-29,1386.5254047363524
2007-10-30,1382.6916779639298
2007-10-31,1367.4132481007132
2007-11-01,1371.52962941704
2007-11-02,1324.4003996464712
2007-11-05,1280.7778955176539
2007-11-06,1283.2542876040827
2007-11-07,1283.9375812354272
2007-11-08,1237.3395705590115
2007-11-09,1236.2762317676165
2007-11-12,1193.8293607752519
2007-11-13,1189.102351337951
2007-11-14,1233.8207196037222
2007-11-15,1225.370748430517
2007-11-16,1186.5413539529143
2007-11-19,1176.5236942808617
2007-11-20,1175.9971553192547
2007-11-21,1132.2971120742218
2007-11-22,1109.9664834030602
2007-11-23,1115.1957415050704
2007-11-26,1152.1547512678214
2007-11-27,1134.1130717788956
2007-11-28,1145.5092993170354
2007-11-29,1184.889227779262
2007-11-30,1208.5655780384875
2007-12-03,1212.3447829395598
2007-12-04,1209.9846032187183
2007-12-05,1234.0358574829365
2007-12-06,1242.861843188889
2007-12-07,1224.3493359414542
2007-12-10,1201.68602145887
2007-12-11,1222.8866269067414
2007-12-12,1195.5586701078514
2007-12-13,1164.2241486414516
