Date,MSCI ACWI IMI ex USA ex China ex Hong Kong Index
2017-11-30,1000.0
2017-12-01,998.7562455062246
2017-12-04,1003.6298334071786
2017-12-05,1003.4127805319149
2017-12-06,999.3948010341987
2017-12-07,1000.2335833285977
2017-12-08,1007.2829424955704
2017-12-11,1008.1636802975818
2017-12-12,1013.2479378529029
2017-12-13,1012.9527081543042
2017-12-14,1011.0866398391929
2017-12-15,1009.5281092494629
2017-12-18,1019.143643812521
2017-12-19,1015.9609807747527
2017-12-20,1010.8220698149489
2017-12-21,1014.9143935644208
2017-12-22,1017.6322819110867
2017-12-25,1017.968110969265
2017-12-26,1015.7956542725585
2017-12-27,1018.7601323844275
2017-12-28,1018.179739428432
2017-12-29,1016.5849990615357
2018-01-01,1016.4383726300813
2018-01-02,1017.7791256477901
2018-01-03,1022.0809263225282
2018-01-04,1030.158801132577
2018-01-05,1039.634335704487
2018-01-08,1044.6051698424321
2018-01-09,1049.9202771690768
2018-01-10,1045.9104247679413
2018-01-11,1041.013756646736
2018-01-12,1038.940161060805
2018-01-15,1037.9595441698443
2018-01-16,1040.8677473764924
2018-01-17,1039.7945544161391
2018-01-18,1039.4910955434684
2018-01-19,1045.7007205582815
2018-01-22,1046.9989162182192
2018-01-23,1050.6287927680694
2018-01-24,1047.6886193924609
2018-01-25,1040.5234899385882
2018-01-26,1045.5646808265815
2018-01-29,1046.358232313654
2018-01-30,1033.085249125829
2018-01-31,1028.8367749702195
2018-02-01,1028.69432366221
2018-02-02,1014.8984640626343
2018-02-05,997.6582959500588
2018-02-06,975.8493057791201
2018-02-07,988.3651874847317
2018-02-08,980.9384494049365
2018-02-09,968.4133588453251
2018-02-12,975.9584222828356
2018-02-13,971.7395912305309
2018-02-14,977.8795014686259
2018-02-15,983.8362827712282
2018-02-16,992.4723432443247
2018-02-19,995.7052421675361
2018-02-20,996.5243997163199
2018-02-21,999.1464838737161
2018-02-22,996.5888623271667
2018-02-23,1004.1993957725749
2018-02-26,1009.6096085095244
2018-02-27,1010.4037682045598
2018-02-28,1003.5543782832319
2018-03-01,992.8774524977637
2018-03-02,975.1988662373705
2018-03-05,976.475929642723
2018-03-06,980.3662462822198
2018-03-07,978.3868118900397
2018-03-08,988.2610372143607
2018-03-09,992.6742824235037
2018-03-12,1000.4307513542483
2018-03-13,993.8920130472545
2018-03-14,993.1628923747884
2018-03-15,995.4171625647241
2018-03-16,996.1926700875347
2018-03-19,985.6280824965767
2018-03-20,989.6115666535882
2018-03-21,991.1385982147727
2018-03-22,983.3186008546775
2018-03-23,966.4084012414761
2018-03-26,961.1217213767545
2018-03-27,973.3881212153979
2018-03-28,971.6177384465883
2018-03-29,978.1290823646299
2018-03-30,979.9047341676682
2018-04-02,978.5619995181352
2018-04-03,977.0638942280598
2018-04-04,971.8033982230058
2018-04-05,989.8752640482455
2018-04-06,985.5690420955176
2018-04-09,984.9512251031923
2018-04-10,990.3692501725512
2018-04-11,986.8892185906071
2018-04-12,991.5759283170901
2018-04-13,992.3310362654673
2018-04-16,990.2017622416387
2018-04-17,995.5091920229186
2018-04-18,1000.8531603549834
2018-04-19,1002.3062218380385
2018-04-20,1001.5000304142823
2018-04-23,1002.3431055470046
2018-04-24,1001.3772574806147
2018-04-25,996.4179793507641
2018-04-26,1005.7345263030824
2018-04-27,1010.9921762899235
2018-04-30,1013.4575370595483
2018-05-01,1015.026001218442
2018-05-02,1017.6400915805438
2018-05-03,1013.9785121286976
2018-05-04,1018.0055110079512
2018-05-07,1022.4661676315475
2018-05-08,1025.3299520391
2018-05-09,1028.219768197002
2018-05-10,1030.8300899975302
2018-05-11,1033.4075054040686
2018-05-14,1034.071392961742
2018-05-15,1032.6896438016133
2018-05-16,1038.2104902592691
2018-05-17,1039.5434192927037
2018-05-18,1038.8502454565041
2018-05-21,1040.6948726846315
2018-05-22,1042.6220582458427
2018-05-23,1038.0656726146808
2018-05-24,1034.2946071826307
2018-05-25,1037.2075055382018
2018-05-28,1036.3385669000204
2018-05-29,1029.8760611915977
2018-05-30,1025.4733410312142
2018-05-31,1022.5587842423448
2018-06-01,1027.4275404001028
2018-06-04,1033.3923784407116
2018-06-05,1031.4170921070588
2018-06-06,1028.6303544960085
2018-06-07,1026.8184126598796
2018-06-08,1026.2580687075554
2018-06-11,1028.3775960392175
2018-06-12,1028.776665309825
2018-06-13,1030.0189532847278
2018-06-14,1037.3667320469096
2018-06-15,1030.4907457391485
2018-06-18,1022.9764318769716
2018-06-19,1015.8759218232215
2018-06-20,1019.8662459702824
2018-06-21,1012.2599614512937
2018-06-22,1017.9420241707655
2018-06-25,1001.223509567007
2018-06-26,1002.5283194353278
2018-06-27,1006.378765933847
2018-06-28,1001.477139505712
2018-06-29,1005.6925593363791
2018-07-02,997.3112103673461
2018-07-03,1000.6030468852293
2018-07-04,1002.0451451296647
2018-07-05,999.4788735789193
2018-07-06,1002.1516533472146
2018-07-09,1010.3055977207079
2018-07-10,1014.7754504430536
2018-07-11,1003.8501438828478
2018-07-12,1009.3590097236213
2018-07-13,1014.5537895502155
2018-07-16,1009.90469278779
2018-07-17,1013.0727603760731
2018-07-18,1017.5860520250048
2018-07-19,1016.334591456099
2018-07-20,1015.4161457733064
2018-07-23,1013.4643265381256
2018-07-24,1021.1014154502722
2018-07-25,1023.4140286275285
2018-07-26,1030.1291222763532
2018-07-27,1035.314876630935
2018-07-30,1030.4766217716697
2018-07-31,1029.1468410998607
2018-08-01,1030.4822338849838
2018-08-02,1024.3360951147324
2018-08-03,1030.380751034082
2018-08-06,1029.6586522916245
2018-08-07,1032.544339945704
2018-08-08,1031.3442460699257
2018-08-09,1033.1526774790814
2018-08-10,1027.1655584065022
2018-08-13,1017.593780071451
2018-08-14,1024.7279664145137
2018-08-15,1016.3439189700608
2018-08-16,1014.0621710593708
2018-08-17,1015.374966605908
2018-08-20,1018.1696341471932
2018-08-21,1016.3077235150394
2018-08-22,1015.042868842194
2018-08-23,1013.3226196846387
2018-08-24,1013.4973493430119
2018-08-27,1020.352626350225
2018-08-28,1019.2196056473923
2018-08-29,1021.4186836096723
2018-08-30,1020.0658088490391
2018-08-31,1016.6299753593823
2018-09-03,1013.3364639987257
2018-09-04,1009.0143170578325
2018-09-05,996.0114314083289
2018-09-06,992.2171045199105
2018-09-07,993.6315994585927
2018-09-10,992.9238560495872
2018-09-11,993.438900679398
2018-09-12,995.0026552039283
2018-09-13,994.2706501635752
2018-09-14,1000.4452101707319
2018-09-17,999.3247326888204
2018-09-18,1003.4072089979521
2018-09-19,1010.907494483066
2018-09-20,1011.6833356825184
2018-09-21,1016.9922301410478
2018-09-24,1011.9271534024776
2018-09-25,1014.713603236597
2018-09-26,1018.9726310017554
2018-09-27,1021.8651689768546
2018-09-28,1022.0570014220436
2018-10-01,1024.270694293018
2018-10-02,1021.7871700428757
2018-10-03,1022.2844199329705
2018-10-04,1012.9766895565283
2018-10-05,1005.1967696047602
2018-10-08,1001.584640712938
2018-10-09,998.0801789437194
2018-10-10,985.9498300343481
2018-10-11,960.6552237141385
2018-10-12,965.1588594556998
2018-10-15,961.0002771203252
2018-10-16,973.3842822561694
2018-10-17,977.0388382754393
2018-10-18,971.7091206374308
2018-10-19,968.759618369481
2018-10-22,967.4214889347419
2018-10-23,951.5810502121229
2018-10-24,950.351060328298
2018-10-25,944.3507648545497
2018-10-26,940.6325463550224
2018-10-29,940.8589184891334
2018-10-30,946.3288258058101
2018-10-31,963.3145015596508
2018-11-01,965.0852141929839
2018-11-02,974.4550772362827
2018-11-05,970.7778979256922
2018-11-06,970.9229765911134
2018-11-07,974.6376894997717
2018-11-08,979.9403704338973
2018-11-09,976.9211600698205
2018-11-12,973.4433532211884
2018-11-13,969.0069298712125
2018-11-14,965.3302565322491
2018-11-15,962.9859680037657
2018-11-16,960.6331638811432
2018-11-19,955.5670185275092
2018-11-20,946.1242161546548
2018-11-21,950.6947231472669
2018-11-22,949.6197225855589
2018-11-23,952.5866031741331
2018-11-26,957.9253017274003
2018-11-27,960.77632685745
2018-11-28,964.7629584873278
2018-11-29,966.2962262260943
2018-11-30,966.3161305808694
2018-12-03,978.6108310672367
2018-12-04,968.9021358559038
2018-12-05,959.3989937962921
2018-12-06,935.7433310919718
2018-12-07,940.0245939629258
2018-12-10,921.6447657992808
2018-12-11,928.3194535266086
2018-12-12,942.3610114345909
2018-12-13,943.5691098426713
2018-12-14,936.454238573447
2018-12-17,929.5373127577126
2018-12-18,921.1899442461266
2018-12-19,921.0368728238672
2018-12-20,908.1654290640507
2018-12-21,903.4895003309833
2018-12-24,900.9842135895086
2018-12-25,892.0099033325843
2018-12-26,893.4595053471531
2018-12-27,898.2177710865598
2018-12-28,908.4073826212078
2018-12-31,912.4721908872708
2019-01-01,912.5958435112022
2019-01-02,914.4995589976114
2019-01-03,911.4272968031521
2019-01-04,923.3035916457869
2019-01-07,929.4951863652207
2019-01-08,934.7459754665017
2019-01-09,942.1022468768317
