Date,ACWI ex PORTUGAL IMI
2015-12-11,2314.622401385094
2015-12-14,2299.1130731478606
2015-12-15,2342.0692584612916
2015-12-16,2368.373374424391
2015-12-17,2378.0377825931714
2015-12-18,2347.1646296173312
2015-12-21,2338.685974490716
2015-12-22,2343.4539190101177
2015-12-23,2391.7166565286147
2015-12-24,2378.2347254785386
2015-12-25,2377.466973773384
2015-12-28,2370.0918387535476
2015-12-29,2404.5831000097196
2015-12-30,2389.459258930912
2015-12-31,2384.02059733144
2016-01-01,2384.080790580831
2016-01-04,2348.4112163529185
2016-01-05,2366.287516287406
2016-01-06,2330.945664498049
2016-01-07,2262.85773448463
2016-01-08,2228.8139070861052
2016-01-11,2228.417830341497
2016-01-12,2237.7165273372793
2016-01-13,2211.5118066369146
2016-01-14,2216.612659002722
2016-01-15,2154.8526958212547
2016-01-18,2158.8503474269883
2016-01-19,2163.9252889057066
2016-01-20,2122.984863039342
2016-01-21,2142.763855991307
2016-01-22,2199.6319078430593
2016-01-25,2179.416665566628
2016-01-26,2193.590220821372
2016-01-27,2185.456402885957
2016-01-28,2174.895621160294
2016-01-29,2243.382671522404
2016-02-01,2234.828343131765
2016-02-02,2194.3581148640733
2016-02-03,2165.7221936625956
2016-02-04,2157.624445789705
2016-02-05,2130.4868371350112
2016-02-08,2095.5549865397556
2016-02-09,2051.294970917739
2016-02-10,2070.578264746685
2016-02-11,2017.6966967509463
2016-02-12,2055.282201069372
2016-02-15,2100.122442800147
2016-02-16,2122.5096838959194
2016-02-17,2156.64349609126
2016-02-18,2166.812432047843
2016-02-19,2158.1544242293767
2016-02-22,2200.913295777372
2016-02-23,2179.400119223985
2016-02-24,2171.525516509095
2016-02-25,2193.583089800559
2016-02-26,2217.9598400250716
2016-02-29,2222.520280991023
2016-03-01,2263.0086277552664
2016-03-02,2291.6543431254076
2016-03-03,2287.8236102936894
2016-03-04,2288.7361699599815
2016-03-07,2295.7895425406628
2016-03-08,2259.624116081883
2016-03-09,2274.193441140923
2016-03-10,2245.634988001887
2016-03-11,2282.9880595082063
2016-03-14,2296.1570995836346
2016-03-15,2279.904689641095
2016-03-16,2291.7025810376354
2016-03-17,2278.080428646259
2016-03-18,2290.0207066215435
2016-03-21,2294.591308189957
2016-03-22,2302.049052567533
2016-03-23,2293.0504403173154
2016-03-24,2283.055951312065
2016-03-25,2284.3650519737826
2016-03-28,2279.091376706122
2016-03-29,2299.717683411339
2016-03-30,2291.5458165045898
2016-03-31,2279.3744999606724
2016-04-01,2276.977094714756
2016-04-04,2270.0930931514054
2016-04-05,2240.352443555928
2016-04-06,2258.3267380910793
2016-04-07,2243.0354634401997
2016-04-08,2253.4598785102085
2016-04-11,2249.0803235222447
2016-04-12,2278.8611538512046
2016-04-13,2329.15091580511
2016-04-14,2340.4964080692434
2016-04-15,2332.281304527042
2016-04-18,2331.298296964769
2016-04-19,2345.6992296688904
2016-04-20,2355.8004515990096
2016-04-21,2360.036867178768
2016-04-22,2364.102625693261
2016-04-25,2352.0707645040998
2016-04-26,2349.859837348821
2016-04-27,2351.052658351352
2016-04-28,2340.1782909489602
2016-04-29,2303.664738206927
2016-05-02,2296.5314423161626
2016-05-03,2270.646557879966
2016-05-04,2256.0681584524655
2016-05-05,2270.319733396022
2016-05-06,2267.8952371068817
2016-05-09,2271.125264635283
2016-05-10,2297.018419785905
2016-05-11,2279.5110346921106
2016-05-12,2280.898317354204
2016-05-13,2282.108205816995
2016-05-16,2291.9856500981487
2016-05-17,2284.1530453269506
2016-05-18,2292.874147949421
2016-05-19,2288.2039062154636
2016-05-20,2304.3860813796723
2016-05-23,2304.326444486293
2016-05-24,2335.9121213395847
2016-05-25,2360.647166891349
2016-05-26,2357.251657365384
2016-05-27,2375.825816098226
2016-05-30,2375.2031124151604
2016-05-31,2374.964686343554
2016-06-01,2365.3676633513282
2016-06-02,2370.9556507514753
2016-06-03,2343.0936214635612
2016-06-06,2348.608997764535
2016-06-07,2364.884446894196
2016-06-08,2365.8601910626703
2016-06-09,2365.7222306906324
2016-06-10,2337.559269245043
2016-06-13,2307.395665413664
2016-06-14,2304.637626774492
2016-06-15,2305.801605717576
2016-06-16,2313.070652305849
2016-06-17,2304.3720795009363
2016-06-20,2327.085579121755
2016-06-21,2346.7615463906045
2016-06-22,2344.0354902398785
2016-06-23,2361.940740343776
2016-06-24,2297.035710172975
2016-06-27,2272.881644525819
2016-06-28,2296.5400279478804
2016-06-29,2336.1216724737774
2016-06-30,2362.903818180029
2016-07-01,2369.4614115754957
2016-07-04,2370.349279575104
