Date,ACWI ex EMU IMI
2007-05-31,1000.0
2007-06-01,1009.2722219992811
2007-06-04,1007.7451218193638
2007-06-05,1001.6827076618763
2007-06-06,995.4948917345613
2007-06-07,984.5297737743131
2007-06-08,993.0602404481546
2007-06-11,996.8790562510608
2007-06-12,991.4260261952359
2007-06-13,999.6571785513866
2007-06-14,1007.1174333928392
2007-06-15,1012.4383731142725
2007-06-18,1011.6529493881308
2007-06-19,1011.1606500322264
2007-06-20,1004.0969200701094
2007-06-21,1007.6095346487521
2007-06-22,997.4434085414556
2007-06-25,991.6436059185689
2007-06-26,987.948719138717
2007-06-27,991.5548780234598
2007-06-28,993.67516651205
2007-06-29,993.0959203615325
2007-07-02,994.19363179519
2007-07-03,1000.8647527987143
2007-07-04,1001.7704393136207
2007-07-05,1003.4740741584303
2007-07-06,1005.1643991458246
2007-07-09,1009.3896671470483
2007-07-10,994.5758863004651
2007-07-11,992.1314491169309
2007-07-12,1005.4811540075318
2007-07-13,1011.3088159035333
2007-07-16,1009.4601013361269
2007-07-17,1007.804760337781
2007-07-18,1002.4222221827232
2007-07-19,1007.7507516467568
2007-07-20,1001.640078553865
2007-07-23,1004.9357456621601
2007-07-24,990.9937732369535
2007-07-25,996.777523903547
2007-07-26,974.2042775916157
2007-07-27,961.0584393814569
2007-07-30,965.7853657153403
2007-07-31,965.2996961732872
2007-08-01,959.2626014814972
2007-08-02,964.2258169408473
2007-08-03,943.4202404816635
2007-08-06,947.4186201821556
2007-08-07,954.2753121251665
2007-08-08,966.648254692435
2007-08-09,955.8637011249596
2007-08-10,944.1780663122018
2007-08-13,952.0613502529768
2007-08-14,941.0847015313024
2007-08-15,932.1375419151558
2007-08-16,923.5483306097076
2007-08-17,927.7507154158994
2007-08-20,939.6874362082881
2007-08-21,942.1368874078964
2007-08-22,952.6463602563765
2007-08-23,954.4733064297285
2007-08-24,957.5033572406929
2007-08-27,956.1378336136589
2007-08-28,939.521723875715
2007-08-29,948.8354167397006
2007-08-30,951.3423815285444
2007-08-31,966.1759977143306
2007-09-03,969.0993271244163
2007-09-04,976.7230685825016
2007-09-05,963.1917049450858
2007-09-06,964.6569818412047
2007-09-07,948.7349643851236
2007-09-10,940.3336966820781
2007-09-11,949.7477536814449
2007-09-12,948.0986932717879
2007-09-13,953.4978758209861
2007-09-14,954.9493682430456
2007-09-17,947.746096012368
2007-09-18,962.4681182112505
2007-09-19,973.5830164639741
2007-09-20,964.5920188967378
2007-09-21,966.6628005581238
2007-09-24,966.7300070366423
2007-09-25,964.1840105808164
2007-09-26,968.8831515851205
2007-09-27,976.7758809106688
2007-09-28,972.913378772736
2007-10-01,981.2537629330279
2007-10-02,991.2981254883945
2007-10-03,989.6137946552813
2007-10-04,990.1058857304664
2007-10-05,1000.0825375633297
2007-10-08,1002.016100015352
2007-10-09,1007.9587554844878
2007-10-10,1004.8530985612177
2007-10-11,1001.8799865763576
2007-10-12,1006.2288378496571
2007-10-15,998.1434602516208
2007-10-16,992.536516076672
2007-10-17,991.9164027170641
2007-10-18,987.9466742055646
2007-10-19,971.5356688723291
2007-10-22,971.5758801452438
2007-10-23,977.8229387377517
2007-10-24,975.8047182022818
2007-10-25,973.6195383462561
2007-10-26,983.2776238749082
2007-10-29,991.5077568741583
2007-10-30,984.8145212557986
2007-10-31,992.8320536865859
2007-11-01,978.8553807166813
2007-11-02,970.3725838374463
