Date,ACWI ex THAILAND IMI
2015-12-11,2309.3399673608055
2015-12-14,2293.8951200009446
2015-12-15,2336.656752238491
2015-12-16,2362.9869160577523
2015-12-17,2372.565663498739
2015-12-18,2341.8713320781026
2015-12-21,2333.4677761781186
2015-12-22,2338.26939836141
2015-12-23,2386.4304488862176
2015-12-24,2372.967454504447
2015-12-25,2372.213190238711
2015-12-28,2364.8316767072433
2015-12-29,2399.293516582021
2015-12-30,2384.15003573873
2015-12-31,2378.691083181393
2016-01-01,2378.7512366408264
2016-01-04,2343.1745630955243
2016-01-05,2361.0355181905034
2016-01-06,2325.6919262816537
2016-01-07,2257.8692290593867
2016-01-08,2223.7831725338283
2016-01-11,2223.385599733628
2016-01-12,2232.5755733403685
2016-01-13,2206.270393884357
2016-01-14,2211.421586703167
2016-01-15,2149.8192180985516
2016-01-18,2153.751085431769
2016-01-19,2158.724132779035
2016-01-20,2117.8587461843704
2016-01-21,2137.6279002567844
2016-01-22,2194.3629856738485
2016-01-25,2174.163563790448
2016-01-26,2188.3387418428397
2016-01-27,2180.1746449883995
2016-01-28,2169.6013955456438
2016-01-29,2237.926928761741
2016-02-01,2229.4205025633123
2016-02-02,2189.041841180895
2016-02-03,2160.457029077134
2016-02-04,2152.3455397322527
2016-02-05,2125.1539013126594
2016-02-08,2090.2248629765895
2016-02-09,2046.050711307878
2016-02-10,2065.245660526933
2016-02-11,2012.4819607189315
2016-02-12,2050.08725515477
2016-02-15,2094.8309898719453
2016-02-16,2117.1917936055447
2016-02-17,2151.336824276951
2016-02-18,2161.4254336122717
2016-02-19,2152.6707884471916
2016-02-22,2195.3867516696187
2016-02-23,2173.816884163798
2016-02-24,2165.8925482006175
2016-02-25,2187.957065327769
2016-02-26,2212.204748752172
2016-02-29,2216.785727364192
2016-03-01,2257.184783960097
2016-03-02,2285.6958401360203
2016-03-03,2281.87650425249
2016-03-04,2282.837530944054
2016-03-07,2289.7758786516315
2016-03-08,2253.7406289592454
2016-03-09,2268.2083383546146
2016-03-10,2239.7924386492973
2016-03-11,2277.088820322771
2016-03-14,2290.209367645442
2016-03-15,2274.024289697832
2016-03-16,2285.855973619769
2016-03-17,2272.3342659988143
2016-03-18,2284.2502032844063
2016-03-21,2288.764974778316
2016-03-22,2296.20070448603
2016-03-23,2287.1245505395914
2016-03-24,2277.1871016918867
2016-03-25,2278.551719981822
2016-03-28,2273.3450381880575
2016-03-29,2293.930917052369
2016-03-30,2285.7649962130636
2016-03-31,2273.5892781619973
2016-04-01,2271.185379088636
2016-04-04,2264.336139315158
2016-04-05,2234.7195502263057
