Date,AC ASIA ex JP IMI WITH PARTIAL A SHARES
2008-11-27,1063.3100587581812
2008-11-28,1093.378116508774
2008-12-30,1081.373745049358
2008-12-31,1103.5743736470731
2009-01-29,1102.4832278878014
2009-01-30,1132.5076691933646
2009-02-26,1076.113006744349
2009-02-27,1073.4873620378626
2009-03-30,1166.9868844625962
2009-03-31,1169.7686630175217
2009-04-29,1311.3163280708395
2009-04-30,1374.8634512939882
2009-05-28,1516.3093653834385
2009-05-29,1513.324724370965
2009-06-29,1519.8231880679693
2009-06-30,1517.169980733284
2009-07-30,1682.911811099088
2009-07-31,1697.1027114217152
2009-08-28,1642.248950515958
2009-08-31,1622.1972562903186
2009-09-29,1731.2759926611354
2009-09-30,1731.7911105439648
2009-10-29,1685.2716249819864
2009-10-30,1710.4945184720914
2009-11-27,1697.8973520194736
2009-11-30,1731.22251608442
2009-12-30,1882.7497297112925
2009-12-31,1896.1394598306183
2010-01-28,1851.9186862165297
2010-01-29,1841.9288431711093
2010-02-25,1887.7676386765318
2010-02-26,1886.0408807871827
2010-03-30,2071.5456995374816
2010-03-31,2044.5199389424672
2010-04-29,2111.9474691679457
2010-04-30,2124.570049280012
2010-05-28,2076.4941697849554
2010-05-31,2101.9163854260105
2010-06-29,2160.112445160142
2010-06-30,2141.154940846579
2010-07-29,2128.541025303781
2010-07-30,2132.4752515793743
2010-08-30,2187.90864843125
2010-08-31,2164.9968618406883
2010-09-29,2249.6345179168643
2010-09-30,2245.517999376983
2010-10-28,2274.438366559343
2010-10-29,2268.5641608886044
2010-11-29,2380.836179879145
2010-11-30,2384.115966215589
2010-12-30,2453.1707832170546
2010-12-31,2438.235603523789
2011-01-28,2397.881214992643
2011-01-31,2359.034104237301
2011-02-25,2250.3634903279763
2011-02-28,2248.04321623792
2011-03-30,2315.044072688953
2011-03-31,2318.3534224994287
2011-04-28,2309.3310711707945
2011-04-29,2302.2185671900897
2011-05-30,2317.1967912731384
2011-05-31,2340.501888401688
2011-06-29,2252.9422508653256
2011-06-30,2267.835567719199
2011-07-28,2352.7632496972365
2011-07-29,2319.782137208598
2011-08-30,2041.516901684043
2011-08-31,2082.060169399352
2011-09-29,1918.8503106887804
2011-09-30,1929.6617854558692
2011-10-28,2060.286752890551
2011-10-31,2073.237846974924
2011-11-29,1996.1863546644065
2011-11-30,1968.8612916825384
2011-12-29,2055.21756907755
2011-12-30,2047.4576306557094
2012-01-30,2209.6155208011437
2012-01-31,2245.3912117344316
2012-02-28,2300.361021160909
2012-02-29,2338.556791300395
2012-03-29,2266.724969602752
2012-03-30,2272.6010396440524
2012-04-27,2256.2979509561524
2012-04-30,2282.5643436084624
2012-05-30,2217.750960713339
2012-05-31,2217.084799102416
2012-06-28,2215.908663583986
2012-06-29,2220.14452382771
2012-07-30,2319.0775777250474
2012-07-31,2338.101041734296
2012-08-30,2298.649197392656
2012-08-31,2280.3157766845998
2012-09-27,2368.2999373493517
2012-09-28,2389.847518823292
2012-10-30,2345.619856155837
2012-10-31,2363.687139381997
2012-11-29,2409.7861924194444
2012-11-30,2418.535841540288
2012-12-28,2455.178766294248
2012-12-31,2464.7433803118606
2013-01-30,2448.916645754235
2013-01-31,2440.5061404206385
2013-02-27,2504.4007674510726
2013-02-28,2537.1156311984228
2013-03-28,2534.395216139856
2013-03-29,2540.560874309597
2013-04-29,2511.5359381113
2013-04-30,2520.041063794398
2013-05-30,2539.289798864008
2013-05-31,2543.0534036840318
2013-06-27,2324.6123099324277
2013-06-28,2376.6819665356334
2013-07-30,2386.9923626346067
2013-07-31,2366.10104573046
2013-08-29,2316.2164481593627
2013-08-30,2345.759332978134
2013-09-27,2440.6722609254257
2013-09-30,2411.2831710068713
2013-10-30,2480.8808121732163
2013-10-31,2499.0871065492906
2013-11-28,2488.3467166063647
2013-11-29,2497.059956561728
2013-12-30,2429.6031165169147
2013-12-31,2444.2471076370753
2014-01-30,2368.639559044567
2014-01-31,2383.610855005618
2014-02-27,2424.658415397006
2014-02-28,2408.0003834754534
2014-03-28,2425.240999733524
2014-03-31,2436.687706992181
2014-04-29,2461.1374167012136
2014-04-30,2437.691524611241
2014-05-29,2585.2339362053167
2014-05-30,2572.8224121189473
2014-06-27,2616.1656915342687
2014-06-30,2622.853792967749
2014-07-30,2794.4280407309325
2014-07-31,2777.7029893715267
2014-08-28,2848.4015766321622
2014-08-29,2845.0633669118074
2014-09-29,2808.464769508289
2014-09-30,2805.7061357318717
2014-10-30,2822.252925372083
2014-10-31,2867.8933025019287
2014-11-27,2887.758738501673
2014-11-28,2886.687619927657
2014-12-30,2888.611371212647
2014-12-31,2919.1038597762185
2015-01-29,3208.5733558541365
2015-01-30,3205.904569328985
2015-02-26,3294.717416568448
2015-02-27,3287.1944750650914
2015-03-30,3417.8316298940476
2015-03-31,3461.2675161880206
2015-04-29,3620.7778996312145
2015-04-30,3576.7282979623496
2015-05-28,3608.6847233937065
2015-05-29,3589.1751637651464
2015-06-29,3340.701944980953
2015-06-30,3388.6021993880863
2015-07-30,3205.8925785239758
2015-07-31,3182.3148282196757
2015-08-28,2829.625728484245
2015-08-31,2825.5813983607263
2015-09-29,2737.6068122079264
2015-09-30,2794.5763945040835
2015-10-29,3072.9741507964814
2015-10-30,3043.872563116726
2015-11-27,3103.552106295508
2015-11-30,3086.9688746479683
2015-12-30,2969.5637521820718
2015-12-31,2989.9294514379
2016-01-28,2658.847395904024
2016-01-29,2750.9999381144785
2016-02-26,2713.7063663584413
2016-02-29,2714.3941810445426
2016-03-30,2873.719173670344
2016-03-31,2871.6101356091553
2016-04-28,2891.211487025956
2016-04-29,2838.2177991627254
2016-05-30,2862.1533859575316
2016-05-31,2877.444523380995
2016-06-29,2912.730773899596
2016-06-30,2953.89524856113
2016-07-28,3120.8010056723224
2016-07-29,3068.9489264544004
2016-08-30,3181.856192395339
2016-08-31,3179.8952648422455
2016-09-29,3236.8100503843143
2016-09-30,3199.569564890063
2016-10-28,3242.786368439795
2016-10-31,3226.9659058032407
2018-03-30,3854.131900717104
2018-04-11,3882.328574489597
2018-04-12,3891.8379940511563
2018-04-13,3882.6509012243964
2018-04-16,3846.0373284879647
2018-04-17,3836.28822584064
2018-04-18,3850.985191448707
2018-04-19,3893.143526677379
2018-04-20,3871.5078857470658
2018-04-23,3860.2678268193663
2018-04-24,3860.54328924842
2018-04-25,3836.1030536387207
2018-04-26,3850.3356121148868
2018-04-27,3891.934841692055
2018-04-30,3945.484960670659
2018-05-01,3976.81712710888
2018-05-02,3965.901065990234
2018-05-03,3934.6478756779607
2018-05-04,3919.881078000427
2018-05-07,3942.2013196493513
2018-05-08,3983.7779317668765
2018-05-09,3980.8196472918535
2018-05-10,3999.116128953357
2018-05-11,4009.085965941458
2018-05-14,4025.3731559892303
2018-05-15,4017.0048468396762
2018-05-16,4041.851564858847
2018-05-17,4021.161617102577
2018-05-18,4026.004498065036
2018-05-21,4037.6835456339477
2018-05-22,4032.2329138776763
2018-05-23,4030.334304345637
2018-05-24,4037.1769221728478
2018-05-25,4072.395855615553
2018-05-28,4107.3176088021455
2018-05-29,4092.1735883166607
2018-05-30,4018.463016735843
2018-05-31,4037.53457344981
