Date,AC ASIA IMI
1998-12-31,572.1581036557562
1999-01-01,572.1588928207398
1999-01-04,562.4351894057537
1999-01-05,561.0471988231236
1999-01-06,567.6815443925967
1999-01-07,584.7691412206967
1999-01-08,584.6159661178052
1999-01-11,594.3572347399977
1999-01-12,582.2465044541906
1999-01-13,564.0747089338623
1999-01-14,567.4993415570658
1999-01-15,572.2235651774422
1999-01-18,574.1157245014044
1999-01-19,574.9098069173193
1999-01-20,583.415313876707
1999-01-21,587.2929676308447
1999-01-22,577.056208372595
1999-01-25,575.8163971453339
1999-01-26,579.6857653364791
1999-01-27,583.424081260337
1999-01-28,580.3227977435797
1999-01-29,589.6326204710759
1999-02-01,594.6897695531592
1999-02-02,598.6981231248236
1999-02-03,592.505058794246
1999-02-04,591.959434760354
1999-02-05,585.2574051624421
1999-02-08,586.5319788906074
1999-02-09,577.3582281684392
1999-02-10,574.6678410282207
1999-02-11,578.0906928375905
1999-02-12,584.5554398028681
1999-02-15,584.1011034416788
1999-02-16,579.4050692894581
1999-02-17,572.0007687209978
1999-02-18,567.4999628488733
1999-02-19,569.8030020975531
1999-02-22,580.4746831844445
1999-02-23,583.3586271881735
1999-02-24,584.6382266608381
1999-02-25,588.1289429385845
1999-02-26,597.9391168686743
1999-03-01,594.6186346340618
1999-03-02,585.1896981162108
1999-03-03,586.113134954502
1999-03-04,584.5705708937668
1999-03-05,605.2931839882523
1999-03-08,607.8970227130628
1999-03-09,616.5244170096757
1999-03-10,629.3115254710431
1999-03-11,637.9750306354558
1999-03-12,636.5409788888802
1999-03-15,650.0279154417715
1999-03-16,666.2150610967866
1999-03-17,665.5663500259373
1999-03-18,657.7633722766885
1999-03-19,683.1557641472765
1999-03-22,681.8511803256857
1999-03-23,680.6273911007102
1999-03-24,666.433299595716
1999-03-25,677.4451685317765
1999-03-26,684.2475260574691
1999-03-29,686.1420647916979
1999-03-30,682.6447714900547
1999-03-31,688.9802460022789
1999-04-01,698.6655889947331
1999-04-02,698.8444746876636
1999-04-05,698.5210757762507
1999-04-06,706.9810395039312
1999-04-07,707.8014699060034
1999-04-08,716.1844640989746
1999-04-09,721.5121982661144
1999-04-12,710.4808093720333
1999-04-13,721.5668330262718
1999-04-14,732.7465723719046
1999-04-15,735.9350103930292
1999-04-16,749.0485639426853
1999-04-19,756.4009350211185
1999-04-20,747.3738345702516
1999-04-21,735.2277509458794
1999-04-22,740.7812939697197
1999-04-23,748.906796267987
1999-04-26,759.5702553763338
1999-04-27,755.1671666918638
1999-04-28,759.3467869790139
1999-04-29,760.2993633154119
1999-04-30,758.4375625926549
1999-05-03,756.7538078676519
1999-05-04,754.739630968749
1999-05-05,750.6124013567116
1999-05-06,764.8249507961237
1999-05-07,755.7676370129649
1999-05-10,758.2887476082985
1999-05-11,753.0270512857384
1999-05-12,758.3712242936446
1999-05-13,752.9495744853962
1999-05-14,744.5029300162829
1999-05-17,728.3378727634221
1999-05-18,730.9568535675234
1999-05-19,714.5564313307677
1999-05-20,718.0338926151535
1999-05-21,726.3838231881766
1999-05-24,728.6890813102805
1999-05-25,725.6793520544129
1999-05-26,737.1897117032819
1999-05-27,737.6135448227421
1999-05-28,737.0878525347908
1999-05-31,737.7761771854723
1999-06-01,751.5239572657432
1999-06-02,764.17632018135
1999-06-03,758.9755537010919
1999-06-04,762.9131245234895
1999-06-07,777.2668370015588
1999-06-08,780.960620603828
1999-06-09,786.2252834078636
1999-06-10,795.0884557639831
1999-06-11,804.3631199936228
1999-06-14,796.214757486905
1999-06-15,796.0905129265576
1999-06-16,808.6646434188547
1999-06-17,822.3435505844986
1999-06-18,811.4816531746673
1999-06-21,825.3611975236704
1999-06-22,834.7914568993093
1999-06-23,827.4154096579676
1999-06-24,823.4052335974621
1999-06-25,816.0116634326113
1999-06-28,830.4314359200188
1999-06-29,839.6276685563491
1999-06-30,836.6781015673673
1999-07-01,861.1160724886091
1999-07-02,871.3301880758627
1999-07-05,879.7417738930823
1999-07-06,875.1669553005036
1999-07-07,874.2942557794663
1999-07-08,869.6656120232257
1999-07-09,870.1809296629783
1999-07-12,884.4683429039272
1999-07-13,884.146104250234
1999-07-14,886.6047833384681
1999-07-15,894.4418231355049
1999-07-16,889.3554077318504
1999-07-19,906.7586524286166
1999-07-20,885.8611837943353
1999-07-21,872.9252758671424
1999-07-22,859.6269203698942
1999-07-23,850.7276682104994
1999-07-26,832.3667682721231
1999-07-27,833.8354636160208
1999-07-28,848.1685393818
1999-07-29,857.3279499378667
1999-07-30,864.1487476590275
1999-08-02,862.7658469466455
1999-08-03,867.2831912043471
1999-08-04,853.3005001282565
1999-08-05,835.4847595223166
1999-08-06,827.2668490056296
1999-08-09,830.2311185720813
1999-08-10,831.3909816208336
1999-08-11,827.0233572872908
1999-08-12,836.7445950888178
1999-08-13,841.6927407716702
1999-08-16,864.3399189542898
1999-08-17,873.4269692631996
1999-08-18,888.8550017463219
1999-08-19,885.8521932972683
1999-08-20,897.1586093505548
1999-08-23,912.0957443079908
1999-08-24,913.596309072142
1999-08-25,920.1820062685987
1999-08-26,912.3888556169035
1999-08-27,908.3058680061854
1999-08-30,921.0732705041115
1999-08-31,901.8416667420737
1999-09-01,918.0491208860749
1999-09-02,910.0363202305157
1999-09-03,912.3160604619212
1999-09-06,928.4616174785248
1999-09-07,914.8081096346328
1999-09-08,912.2014185887368
1999-09-09,938.2266149636758
1999-09-10,952.0238272436885
1999-09-13,989.9497271575001
1999-09-14,985.319447410017
1999-09-15,992.9364777088782
1999-09-16,968.9414942998919
