Date,ACWI ex HONG KONG IMI
2015-12-11,2300.188348951966
2015-12-14,2284.8189373458995
2015-12-15,2327.873920863451
2015-12-16,2354.0252767738716
2015-12-17,2363.309847905724
2015-12-18,2332.425410272926
2015-12-21,2324.055027822895
2015-12-22,2328.8552953685385
2015-12-23,2376.9780302432764
2015-12-24,2363.5611614834
2015-12-25,2362.790562946226
2015-12-28,2355.600587163857
2015-12-29,2389.9563837458545
2015-12-30,2374.7806795563342
2015-12-31,2369.187053349549
2016-01-01,2369.247470425304
2016-01-04,2333.793005575645
2016-01-05,2351.553221376678
2016-01-06,2316.3608973861665
2016-01-07,2248.776476153586
2016-01-08,2214.836548217189
2016-01-11,2214.9079016184423
2016-01-12,2224.2975702003673
2016-01-13,2197.7865232151735
2016-01-14,2203.0602281614097
2016-01-15,2141.5475015789734
2016-01-18,2145.7078418127985
2016-01-19,2150.5775917843534
2016-01-20,2110.3424571402034
2016-01-21,2130.5108989723585
2016-01-22,2187.0724574869264
2016-01-25,2166.5823667885197
2016-01-26,2181.2674387989637
2016-01-27,2172.95622432517
2016-01-28,2162.3916515864476
2016-01-29,2230.389930980359
2016-02-01,2222.0814524930825
2016-02-02,2181.5834550237682
2016-02-03,2153.649268328587
2016-02-04,2145.4996678034768
2016-02-05,2118.1963713132336
2016-02-08,2083.1017743307048
2016-02-09,2038.9781548772132
2016-02-10,2058.0868723593685
2016-02-11,2005.6928938920669
2016-02-12,2043.331564390178
2016-02-15,2087.706214167004
2016-02-16,2110.0628418347387
2016-02-17,2144.394743892696
2016-02-18,2154.1540187127252
2016-02-19,2145.4044102000603
2016-02-22,2187.823829120902
2016-02-23,2166.2398021136023
2016-02-24,2158.4596049869233
2016-02-25,2180.935323209753
2016-02-26,2204.7110434849824
2016-02-29,2209.4370370136994
2016-03-01,2249.843451492668
2016-03-02,2277.9053564337273
2016-03-03,2274.2748750357996
2016-03-04,2275.102610442764
2016-03-07,2282.2481579792516
2016-03-08,2246.242305018629
2016-03-09,2260.7670914668547
2016-03-10,2232.3570447526395
2016-03-11,2269.6904744560557
2016-03-14,2282.6021055286774
2016-03-15,2266.320373158175
2016-03-16,2278.1227991060996
2016-03-17,2264.726867708604
2016-03-18,2276.4536709934314
2016-03-21,2280.881453334596
