Date,ACWI ex COLOMBIA IMI
2015-12-11,2311.5948839026055
2015-12-14,2296.1054611248674
2015-12-15,2338.9855321342975
2015-12-16,2365.239619364748
2015-12-17,2374.8986600373178
2015-12-18,2344.082299885874
2015-12-21,2335.6123192560813
2015-12-22,2340.388208908631
2015-12-23,2388.5648298735414
2015-12-24,2375.0844263121026
2015-12-25,2374.3178618249876
2015-12-28,2366.9523317984003
2015-12-29,2401.393927709976
2015-12-30,2386.2952434099384
2015-12-31,2380.862990028885
2016-01-01,2380.9230901869573
2016-01-04,2345.3024778115723
2016-01-05,2363.1311072296917
2016-01-06,2327.852637968188
2016-01-07,2259.907943956405
2016-01-08,2225.921396425611
2016-01-11,2225.5030060834283
2016-01-12,2234.813023999708
2016-01-13,2208.6433746748066
2016-01-14,2213.6792057162056
2016-01-15,2152.0104144533143
2016-01-18,2155.980128459494
2016-01-19,2161.0328586590254
2016-01-20,2120.133830048382
2016-01-21,2139.897169636888
2016-01-22,2196.6702775407352
2016-01-25,2176.5248053743157
2016-01-26,2190.692502208021
2016-01-27,2182.587933177355
2016-01-28,2172.0247137489982
2016-01-29,2240.4041788769246
2016-02-01,2231.884126530133
2016-02-02,2191.477691407541
2016-02-03,2162.862480144512
2016-02-04,2154.765649513446
2016-02-05,2127.6663695436905
2016-02-08,2092.7662796915934
2016-02-09,2048.5564519204363
2016-02-10,2067.7928961787643
2016-02-11,2014.9597621693035
2016-02-12,2052.4867937670506
2016-02-15,2097.2678933503116
2016-02-16,2119.634925009928
2016-02-17,2153.716031020031
2016-02-18,2163.8433949074747
2016-02-19,2155.1998039623886
2016-02-22,2197.8960136289184
2016-02-23,2176.3916224252007
2016-02-24,2168.506631989192
2016-02-25,2190.5373671435436
2016-02-26,2214.8661357639744
2016-02-29,2219.4321480757717
2016-03-01,2259.851589517469
2016-03-02,2288.417398964405
2016-03-03,2284.609158475068
2016-03-04,2285.5280750214497
2016-03-07,2292.5283030077344
2016-03-08,2256.438906335732
2016-03-09,2270.994236409096
2016-03-10,2242.500374577124
2016-03-11,2279.815784523581
2016-03-14,2292.9844701994316
2016-03-15,2276.754337436952
2016-03-16,2288.553852770144
2016-03-17,2274.966244726582
2016-03-18,2286.859774594913
2016-03-21,2291.4225955681936
2016-03-22,2298.8553662541503
2016-03-23,2289.8545015944756
2016-03-24,2279.865388005354
2016-03-25,2281.1724325296486
2016-03-28,2275.920358718917
2016-03-29,2296.509208885363
2016-03-30,2288.372541031612
2016-03-31,2276.1761408522657
2016-04-01,2273.7837806262287
2016-04-04,2266.9132126662284
2016-04-05,2237.215152581748
2016-04-06,2255.1453510996985
2016-04-07,2239.8662227679006
2016-04-08,2250.286209991911
2016-04-11,2245.9125412402136
2016-04-12,2275.6205428398735
2016-04-13,2325.8250527721893
2016-04-14,2337.1596784898634
2016-04-15,2328.9652901622867
2016-04-18,2327.9795748592187
2016-04-19,2342.337438090084
2016-04-20,2352.420323537
2016-04-21,2356.658896897751
2016-04-22,2360.7193246215534
2016-04-25,2348.7201318492303
2016-04-26,2346.50036014541
2016-04-27,2347.7036144234653
2016-04-28,2336.836421906997
2016-04-29,2300.3859174648765
2016-05-02,2293.2763381678824
2016-05-03,2267.4529199769913
2016-05-04,2252.9156001232345
2016-05-05,2267.176997157096
2016-05-06,2264.75144466483
2016-05-09,2267.9509100507726
2016-05-10,2293.784529967053
2016-05-11,2276.2773537163384
2016-05-12,2277.6509138927563
2016-05-13,2278.868361628418
2016-05-16,2288.7335081644733
2016-05-17,2280.924043594355
2016-05-18,2289.6425103598176
2016-05-19,2284.978433374736
2016-05-20,2301.1399332024243
2016-05-23,2301.062617270331
2016-05-24,2332.6138171939274
2016-05-25,2357.345025362863
2016-05-26,2353.9759311572407
2016-05-27,2372.5149454585794
2016-05-30,2371.9000376823074
2016-05-31,2371.6724280361905
2016-06-01,2362.067374940095
2016-06-02,2367.6426301280917
2016-06-03,2339.787658036781
2016-06-06,2345.3020848687584
2016-06-07,2361.539258151257
2016-06-08,2362.4801672165327
2016-06-09,2362.3472425441455
2016-06-10,2334.2131938591465
2016-06-13,2304.071804823205
2016-06-14,2301.291974109041
2016-06-15,2302.4544872936044
2016-06-16,2309.7111672061433
2016-06-17,2301.0571623832666
2016-06-20,2323.768725458241
2016-06-21,2343.396635089675
2016-06-22,2340.6653105387713
2016-06-23,2358.5479793063164
2016-06-24,2293.643333354185
2016-06-27,2269.515101355996
2016-06-28,2293.1658931747597
2016-06-29,2332.679104183458
2016-06-30,2359.429013694055
2016-07-01,2365.9940006659285
2016-07-04,2366.8865855061213
2016-07-05,2348.749634937209
2016-07-06,2347.897954951616
2016-07-07,2354.5745818769437
2016-07-08,2387.6097135663063
2016-07-11,2409.2892835088987
2016-07-12,2425.374849358294
2016-07-13,2422.9168153884325
2016-07-14,2435.8783947959732
2016-07-15,2440.2464870230347
2016-07-18,2446.539896000493
2016-07-19,2451.372261263307
2016-07-20,2464.0295620419606
2016-07-21,2464.3087690084785
2016-07-22,2470.638446586037
2016-07-25,2467.708365734237
2016-07-26,2469.623817621101
2016-07-27,2470.5102445770704
2016-07-28,2452.1983430454784
2016-07-29,2448.5343653024875
2016-08-01,2447.963004506189
2016-08-02,2420.4934424858247
2016-08-03,2425.8044030636092
2016-08-04,2441.4848371103185
2016-08-05,2470.9285740606183
2016-08-08,2477.028765047176
2016-08-09,2480.8210476011773
2016-08-10,2469.3367955585218
2016-08-11,2478.205190892298
2016-08-12,2479.949967701432
