Date,FINLAND IMI GROWTH
1998-12-31,635.6755485175743
1999-01-01,635.6898515068347
1999-01-04,672.1194117336763
1999-01-05,684.926482736493
1999-01-06,684.9264935181458
1999-01-07,705.7713849405326
1999-01-08,712.5428607723917
1999-01-11,704.0549183884227
1999-01-12,705.4040998235661
1999-01-13,661.2950209605845
1999-01-14,684.5521274640074
1999-01-15,695.6567787489313
1999-01-18,715.8984005781087
1999-01-19,730.7394760053204
1999-01-20,752.82168942192
1999-01-21,739.9147950404891
1999-01-22,706.4513068331865
1999-01-25,714.9184119247642
1999-01-26,714.6579637690947
1999-01-27,730.2344697332032
1999-01-28,734.3425945547
1999-01-29,737.935811123555
1999-02-01,720.4469928210386
1999-02-02,696.0246347732162
1999-02-03,700.3709809129111
1999-02-04,705.5952575745547
1999-02-05,681.7724147939753
1999-02-08,690.596512067463
1999-02-09,668.8610885858596
1999-02-10,655.7015516278639
1999-02-11,680.6532703182885
1999-02-12,697.7264016012404
1999-02-15,691.1079953150512
1999-02-16,699.4845616962066
1999-02-17,680.8023245562151
1999-02-18,674.0501952377231
1999-02-19,686.7503088611442
1999-02-22,695.3725955746866
1999-02-23,716.478457612236
1999-02-24,729.7862350135837
1999-02-25,721.2058372011738
1999-02-26,712.8856129091253
1999-03-01,700.852242384912
1999-03-02,712.2451356210204
1999-03-03,720.245654775695
1999-03-04,718.0417972780475
1999-03-05,743.6718472827584
1999-03-08,748.6647782918413
1999-03-09,756.7297862283152
1999-03-10,758.4861391540567
1999-03-11,760.138995765965
1999-03-12,755.0593974982412
1999-03-15,738.0752336919884
1999-03-16,744.8068454916275
1999-03-17,734.584770314486
1999-03-18,726.5142390383339
1999-03-19,744.2052475199653
1999-03-22,746.533402906593
1999-03-23,732.4529119728945
1999-03-24,718.4959352675302
1999-03-25,750.8973853109167
1999-03-26,756.2820580416475
1999-03-29,766.7731026968843
1999-03-30,777.1865686128289
1999-03-31,814.6212699806764
1999-04-01,814.6212699806765
1999-04-02,814.6212699806765
1999-04-05,814.6212699806764
1999-04-06,834.3419287586563
1999-04-07,833.117150206321
1999-04-08,822.149050205056
1999-04-09,851.7183111621619
1999-04-12,832.1523261487558
1999-04-13,855.9972693351992
1999-04-14,846.6782290768393
1999-04-15,813.0007243413437
1999-04-16,821.201814528495
1999-04-19,802.7782993951663
1999-04-20,756.707439586715
1999-04-21,790.3860039424668
1999-04-22,844.561253555541
1999-04-23,822.4886492486298
1999-04-26,814.539648154003
1999-04-27,831.6008609226075
1999-04-28,809.8110559084927
1999-04-29,801.6584028019751
1999-04-30,824.8860134214784
1999-05-03,808.5566869579709
1999-05-04,794.7470590323493
1999-05-05,779.7613054420833
1999-05-06,775.3255434138999
1999-05-07,791.7082996964474
1999-05-10,804.792533195107
1999-05-11,816.3755279897862
1999-05-12,828.2657380795296
1999-05-13,828.26574007234
1999-05-14,817.6830635942285
1999-05-17,810.0182799635127
1999-05-18,809.1022521552427
1999-05-19,807.8162852462235
1999-05-20,815.777043641194
1999-05-21,814.7488114606862
1999-05-24,781.5251885837072
1999-05-25,783.2759583176643
1999-05-26,782.7432470818757
1999-05-27,781.2637282259492
1999-05-28,788.6961871355501
1999-05-31,796.712088272401
1999-06-01,815.6277240792137
1999-06-02,806.1814839238018
1999-06-03,811.9999009390051
1999-06-04,825.6955918252401
1999-06-07,848.9785562368489
1999-06-08,854.3602667928395
1999-06-09,860.5190859331501
1999-06-10,843.6502830693802
1999-06-11,882.028498942006
1999-06-14,868.8956742072528
1999-06-15,873.7900500241362
1999-06-16,896.0852510037417
1999-06-17,905.0184536047294
1999-06-18,914.6082753946438
1999-06-21,948.7988946300912
1999-06-22,955.9990339399883
1999-06-23,936.6422696090567
1999-06-24,929.0554618767237
1999-06-25,928.9967078445935
1999-06-28,918.9680272595308
1999-06-29,944.9257118575497
1999-06-30,945.0061511301814
1999-07-01,978.8097134807294
1999-07-02,1006.8593849789261
1999-07-05,1030.6343689162036
1999-07-06,1027.1283242646332
1999-07-07,1021.8824038439393
1999-07-08,1010.7798735369937
1999-07-09,1005.9670000958139
1999-07-12,1006.0924120272855
1999-07-13,989.7195992687082
1999-07-14,1006.7564276185925
1999-07-15,1036.0607292089023
1999-07-16,1047.5946753704918
1999-07-19,1055.8833773973438
1999-07-20,1015.539512253337
1999-07-21,986.6213708217496
1999-07-22,958.8736487884402
1999-07-23,936.3961055853679
1999-07-26,942.2191801235966
1999-07-27,939.3631583900939
1999-07-28,931.4220488253862
1999-07-29,905.1212050213173
1999-07-30,918.3869410642158
1999-08-02,905.4462608439197
1999-08-03,899.6618336946642
1999-08-04,871.8647999761494
1999-08-05,837.1151543307476
1999-08-06,861.3576296913561
1999-08-09,878.8579891514536
1999-08-10,838.3773560245103
1999-08-11,854.2698757479002
1999-08-12,889.689420674789
1999-08-13,908.5003798568799
1999-08-16,918.0103751326819
1999-08-17,932.3745902409213
1999-08-18,928.1811050856816
1999-08-19,890.2809026662186
1999-08-20,895.0564172640111
1999-08-23,905.6659988986505
1999-08-24,895.7987596041391
1999-08-25,922.4694817669626
1999-08-26,931.3343236565173
1999-08-27,916.6780296902133
1999-08-30,909.1662083592516
1999-08-31,894.424600499298
1999-09-01,891.3434366047396
1999-09-02,866.6791220046721
1999-09-03,904.8440492250171
1999-09-06,927.2471773999233
1999-09-07,927.2300457553015
1999-09-08,915.8627501692224
1999-09-09,927.7724864185593
1999-09-10,945.5921077027239
1999-09-13,950.8585014038664
1999-09-14,935.802910271364
1999-09-15,942.3537001213992
1999-09-16,926.6442815696709
