Date,BELGIUM IMI GROWTH
1998-12-31,967.4873963583749
1999-01-01,967.637008503232
1999-01-04,992.1314868127225
1999-01-05,1008.3725005049939
1999-01-06,1013.6917334239499
1999-01-07,995.9361926881744
1999-01-08,987.3441778479178
1999-01-11,973.875976288253
1999-01-12,957.2431650991196
1999-01-13,935.8216030419642
1999-01-14,953.0787167297274
1999-01-15,948.3947089246687
1999-01-18,974.3850488045897
1999-01-19,975.1349997079857
1999-01-20,977.6128908504494
1999-01-21,972.1165094797167
1999-01-22,955.1489149857272
1999-01-25,950.7804346819315
1999-01-26,957.2358163157253
1999-01-27,959.4110019764353
1999-01-28,968.8779489695216
1999-01-29,969.4069935050487
1999-02-01,981.3825752881338
1999-02-02,991.4281962877297
1999-02-03,987.58307723542
1999-02-04,995.8999851938437
1999-02-05,996.1560427621686
1999-02-08,988.743436410126
1999-02-09,965.5920323798913
1999-02-10,947.2532109505911
1999-02-11,958.0903474697162
1999-02-12,967.7696896846323
1999-02-15,972.3057307085945
1999-02-16,970.7119805088323
1999-02-17,961.6136836282501
1999-02-18,963.7079347768505
1999-02-19,969.5306836752774
1999-02-22,978.0610361174222
1999-02-23,980.3130414258984
1999-02-24,968.1812133924236
1999-02-25,968.0402596819961
1999-02-26,958.1899103860035
1999-03-01,940.2343702194191
1999-03-02,936.8377164929885
1999-03-03,933.9291044214114
1999-03-04,928.4249108801341
1999-03-05,948.079565817654
1999-03-08,944.3418866460639
1999-03-09,939.0738000579651
1999-03-10,924.7760338178031
1999-03-11,934.7495375165362
1999-03-12,945.8754967453791
1999-03-15,949.1247207075687
1999-03-16,948.7843573274039
1999-03-17,944.2059276787365
1999-03-18,933.0862092396586
1999-03-19,933.9942058124385
1999-03-22,923.029638439613
1999-03-23,902.1968740480492
1999-03-24,887.0112241004199
1999-03-25,909.8220651507462
1999-03-26,906.2433932978383
1999-03-29,912.8928125459344
1999-03-30,912.7222673110916
1999-03-31,907.8162864443611
1999-04-01,916.2147070150123
1999-04-02,916.2147077832254
1999-04-05,916.2147073883497
1999-04-06,920.3419339165845
1999-04-07,929.3435297201441
1999-04-08,923.6394147387591
1999-04-09,924.6344514801611
1999-04-12,918.8649841947641
1999-04-13,922.8220951710355
1999-04-14,915.990784881786
1999-04-15,913.9964875440596
1999-04-16,904.3863372595627
1999-04-19,913.508770322238
1999-04-20,890.8930236381117
1999-04-21,902.6074860018616
1999-04-22,901.0187730086261
1999-04-23,898.2099841133822
1999-04-26,900.355587298781
1999-04-27,903.3807821706304
1999-04-28,888.9192929479784
1999-04-29,884.4129811787227
1999-04-30,876.2034620462388
1999-05-03,883.791400763317
1999-05-04,881.5189383994252
1999-05-05,877.9768319397938
1999-05-06,868.5604792249072
1999-05-07,864.4585871588396
1999-05-10,873.1107534615171
1999-05-11,882.1142915568894
1999-05-12,879.099564920704
1999-05-13,879.0158414044212
1999-05-14,861.1512356200604
1999-05-17,840.3323111991695
1999-05-18,842.6166590478521
1999-05-19,863.7934745198609
1999-05-20,872.6328115129987
1999-05-21,873.7013869929307
1999-05-24,873.7013852228666
1999-05-25,871.1614470074488
1999-05-26,863.9203170859454
1999-05-27,855.0889578549207
1999-05-28,856.4897650905706
1999-05-31,852.6661889330859
1999-06-01,847.7095230780277
1999-06-02,840.714534714527
1999-06-03,840.4242444635822
1999-06-04,851.3404043602728
1999-06-07,850.8739845305116
1999-06-08,859.8890479557979
1999-06-09,856.5053598147988
1999-06-10,847.839590636631
1999-06-11,861.835912789538
1999-06-14,855.1512315371023
1999-06-15,856.315474909836
1999-06-16,854.748096883131
1999-06-17,858.408873576152
1999-06-18,868.2028901814544
1999-06-21,868.6044065438349
1999-06-22,866.5761335776522
1999-06-23,853.7534587648745
1999-06-24,843.7033266635331
1999-06-25,841.3514705626816
1999-06-28,837.9871101613909
1999-06-29,836.8031907772516
1999-06-30,841.3494579493862
1999-07-01,847.1270283233747
1999-07-02,851.6188224483515
1999-07-05,846.8771505207081
1999-07-06,844.227398271954
1999-07-07,839.1030919765915
1999-07-08,839.6554020874985
1999-07-09,835.1890819427526
1999-07-12,822.0087074962538
1999-07-13,831.6730090550165
1999-07-14,840.281575285373
1999-07-15,852.5167878833726
1999-07-16,841.7977516483741
1999-07-19,845.7951046851524
1999-07-20,835.57009807727
1999-07-21,835.4006941387473
1999-07-22,822.6525094912922
1999-07-23,805.5611372778286
1999-07-26,790.7717481874346
1999-07-27,798.765583635181
1999-07-28,810.6314258530306
1999-07-29,800.0463932152312
1999-07-30,797.4390276571825
1999-08-02,797.3497710315728
1999-08-03,787.4674133620125
1999-08-04,783.7984990989248
1999-08-05,772.6502926016078
1999-08-06,766.9373685541183
1999-08-09,767.5070863961942
1999-08-10,757.9993125865832
1999-08-11,759.5031233037005
1999-08-12,767.7230502729254
1999-08-13,784.821523050622
1999-08-16,798.4892691757436
1999-08-17,812.9302160858595
1999-08-18,825.1637203376426
1999-08-19,822.3400434077221
1999-08-20,826.0922403957635
1999-08-23,838.71929229617
1999-08-24,824.6870201528703
1999-08-25,835.2560148374421
1999-08-26,848.2761312134804
1999-08-27,853.02095721662
1999-08-30,851.9680752203639
1999-08-31,847.9420475903466
1999-09-01,849.4859432411077
1999-09-02,835.7014576345017
1999-09-03,840.6845847872588
1999-09-06,842.1255155208619
1999-09-07,839.7918108582519
1999-09-08,835.1147706217945
1999-09-09,837.3645609875208
1999-09-10,831.9174577237281
1999-09-13,821.7437405143903
1999-09-14,817.3108684498128
1999-09-15,820.9085517615474
1999-09-16,819.6405991968248
