Date,USA IMI GROWTH
1998-12-31,1024.0345837388197
1999-01-01,1024.0345837388197
1999-01-04,1017.1158610684807
1999-01-05,1032.623971213522
1999-01-06,1060.2041947548428
1999-01-07,1062.9038387359187
1999-01-08,1074.163383184154
1999-01-11,1075.2178375124738
1999-01-12,1052.6662133715954
1999-01-13,1035.114884521388
1999-01-14,1021.2540327898995
1999-01-15,1057.6306873692424
1999-01-18,1056.9922968534552
1999-01-19,1070.1475768640562
1999-01-20,1079.3755376541387
1999-01-21,1053.8340269061866
1999-01-22,1045.1077883775508
1999-01-25,1058.6563947210998
1999-01-26,1081.6582800350113
1999-01-27,1086.6102358705443
1999-01-28,1116.8284817424817
1999-01-29,1136.6687283365707
1999-02-01,1138.9322310602588
1999-02-02,1123.9100083334565
1999-02-03,1135.255948851172
1999-02-04,1112.885430683199
1999-02-05,1097.4442701438145
1999-02-08,1105.3023638912914
1999-02-09,1066.273707529731
1999-02-10,1070.3169864301267
1999-02-11,1110.7956714578313
1999-02-12,1087.3266822584596
1999-02-15,1091.3425285908343
1999-02-16,1105.0064860293717
1999-02-17,1078.8473298984613
1999-02-18,1089.4673712571096
1999-02-19,1107.2800650332144
1999-02-22,1142.4034527891358
1999-02-23,1154.9919129657308
1999-02-24,1140.3863239574548
1999-02-25,1120.6412710079564
1999-02-26,1119.7751657068654
1999-03-01,1123.6922815511348
1999-03-02,1114.0723837807216
1999-03-03,1116.2704046348254
1999-03-04,1141.8488743870503
1999-03-05,1164.97524421516
1999-03-08,1176.9729311060328
1999-03-09,1175.3996823828857
1999-03-10,1168.9963198929022
1999-03-11,1191.4505606081486
1999-03-12,1174.7351319752215
1999-03-15,1190.1572527679846
1999-03-16,1195.1012513867336
1999-03-17,1176.9755692426515
1999-03-18,1193.9358209445968
1999-03-19,1185.1183059310158
1999-03-22,1182.4697557459974
1999-03-23,1149.0614724276443
1999-03-24,1154.333827341763
1999-03-25,1186.5221048498709
1999-03-26,1195.370344635908
1999-03-29,1227.9396023660322
1999-03-30,1221.502971273634
1999-03-31,1205.2266167181647
1999-04-01,1213.133530515749
1999-04-02,1215.8325066207206
1999-04-05,1252.0720657900345
1999-04-06,1246.121946563553
1999-04-07,1241.662870465495
1999-04-08,1253.3615591252142
1999-04-09,1267.3673532000578
1999-04-12,1264.8021506140442
1999-04-13,1264.0614180721043
1999-04-14,1231.720067690642
1999-04-15,1225.8809396247782
1999-04-16,1213.9458506313506
1999-04-19,1168.8936199450447
1999-04-20,1191.2609502735936
1999-04-21,1239.7753040414545
